Dates,FB
2019-10-07,20520300.0
2020-03-13,24069000.0
2019-10-10,18025700.0
2020-03-16,15787900.0
2020-06-03,31029600.0
2018-11-28,22378700.0
2018-09-25,20098400.0
2018-07-23,20955500.0
2018-08-24,22237200.0
2019-07-10,15508500.0
2019-05-07,17632100.0
2019-04-05,44613200.0
2019-03-04,77233600.0
2019-01-31,30806500.0
2019-09-12,20036000.0
2019-12-31,22557000.0
2020-03-19,13281200.0
2020-01-03,17517600.0
2020-06-09,12561400.0
2019-02-15,12811200.0
2019-01-14,16292300.0
2018-07-06,14205100.0
2018-08-07,12755200.0
2018-10-10,15504400.0
2018-12-13,14345400.0
2019-08-26,11770700.0
2019-07-25,15607800.0
2019-05-22,15858500.0
2019-03-19,18737100.0
2020-01-06,13784100.0
2020-03-25,12697500.0
2020-06-12,11114200.0
2019-10-22,11097800.0
2020-01-09,18894700.0
2020-06-15,28187900.0
2019-10-25,21531700.0
2020-03-31,18306500.0
2020-06-18,13184800.0
2019-04-03,18884000.0
2018-08-22,12155300.0
2018-10-25,11973300.0
2019-01-29,18037400.0
2018-12-28,37135400.0
2018-11-26,37524200.0
2019-08-09,25611500.0
2019-07-08,20211500.0
2019-06-06,16223000.0
2019-09-10,16389200.0
2020-01-15,12631200.0
2020-04-03,15437900.0
2019-10-31,10620300.0
2020-04-06,10689200.0
2020-06-24,13455500.0
2018-11-09,10381500.0
2019-07-23,23946500.0
2019-06-21,27590100.0
2019-05-20,17847700.0
2019-04-18,9594100.0
2018-09-06,7297400.0
2018-10-08,19751000.0
2019-02-13,11701500.0
2018-12-11,8071000.0
2019-09-25,12329800.0
2020-01-21,10834800.0
2020-04-09,11215200.0
2019-11-06,9973700.0
2020-01-24,11655600.0
2020-01-27,13389900.0
2020-04-15,19954800.0
2018-12-26,37289900.0
2019-08-07,54148800.0
2019-06-04,22075000.0
2018-09-21,19641300.0
2018-07-19,23494700.0
2018-08-20,15996600.0
2018-10-23,13209500.0
2019-05-03,14575400.0
2019-04-01,13994900.0
2019-02-28,16253000.0
2019-11-12,12505700.0
2020-01-30,12967000.0
2019-11-15,12578500.0
2020-04-21,16833300.0
2019-04-16,17628100.0
2019-03-15,16746900.0
2019-02-11,12953100.0
2019-01-10,10485400.0
2019-08-22,10352000.0
2018-11-07,7502800.0
2018-08-03,9213800.0
2018-09-04,12768800.0
2019-06-19,8807700.0
2019-09-23,14843300.0
2019-11-18,12797700.0
2020-02-05,8581500.0
2020-04-24,15226500.0
2019-03-29,56059600.0
2019-11-21,46044300.0
2020-04-27,19758300.0
2020-02-11,12446400.0
2020-04-30,16917300.0
2019-05-01,14767900.0
2019-02-26,15266600.0
2019-01-25,17681500.0
2018-12-24,12253600.0
2019-09-06,16773700.0
2018-07-17,29459900.0
2018-09-19,37571400.0
2019-08-05,21417100.0
2019-10-08,14635700.0
2019-12-11,22751200.0
2019-11-27,15509000.0
2020-02-14,16750300.0
2020-05-06,12808600.0
2019-01-08,11159000.0
2018-12-07,16378900.0
2019-08-20,14204700.0
2018-11-05,9050000.0
2019-07-19,10246100.0
2018-10-04,11164100.0
2019-06-17,9723900.0
2019-05-16,14698600.0
2018-08-01,20571700.0
2019-03-13,13678500.0
2019-12-03,15366300.0
2020-02-20,16030300.0
2019-12-06,12132700.0
2020-05-12,12083700.0
2019-12-09,11956600.0
2020-02-26,12098300.0
2020-05-15,13589000.0
2019-03-28,14583700.0
2018-09-17,32532500.0
2018-08-16,39889900.0
2018-10-19,24434000.0
2019-04-29,16530800.0
2019-01-23,11903600.0
2019-09-04,14593500.0
2018-11-20,17777000.0
2019-07-02,15297000.0
2019-05-31,23086700.0
2019-12-12,18035700.0
2020-05-18,15833200.0
2019-09-27,14828900.0
2020-03-03,11058800.0
2020-05-21,10936300.0
2019-05-14,13577000.0
2018-08-31,18903700.0
2018-07-30,12925900.0
2018-10-02,12654600.0
2019-04-12,9691200.0
2019-03-11,10083400.0
2019-02-07,8398200.0
2019-07-17,10821400.0
2019-09-19,17323400.0
2019-10-21,8773600.0
2019-12-18,14399600.0
2020-03-06,9386100.0
2019-10-03,10128700.0
2020-03-09,10774500.0
2020-05-27,9779400.0
2019-12-24,11308000.0
2020-03-12,13876700.0
2018-12-20,15226800.0
2019-08-01,14722400.0
2018-08-14,15455900.0
2018-07-13,11761700.0
2018-10-17,11419800.0
2019-05-29,11441100.0
2019-03-26,8444800.0
2019-02-22,9671100.0
2019-10-04,9681900.0
2019-11-05,10392700.0
2019-12-27,19934200.0
2020-06-02,13327600.0
2019-12-30,18546600.0
2020-03-18,18068300.0
2020-06-05,16083300.0
2019-07-15,14656200.0
2018-12-03,10740000.0
2019-06-13,17073000.0
2019-01-04,16151700.0
2018-08-29,16086300.0
2019-02-05,10430200.0
2018-11-01,9178300.0
2019-08-16,9466900.0
2019-04-10,7556900.0
2019-09-17,8605000.0
2019-10-15,14930500.0
2020-01-02,7006000.0
2020-06-08,15039100.0
2019-10-18,10516900.0
2020-03-24,9603000.0
2020-06-11,16874200.0
2020-01-08,8122600.0
2019-04-25,19537600.0
2019-07-30,12300400.0
2019-02-20,11413500.0
2018-07-11,8061200.0
2018-09-13,13657900.0
2018-10-15,13574900.0
2019-06-28,28734600.0
2018-12-18,42286500.0
2018-11-16,21711800.0
2019-10-02,16371300.0
2020-03-27,9942000.0
2020-01-10,10973000.0
2019-10-24,13473000.0
2020-03-30,10760800.0
2020-06-17,8631200.0
2020-01-14,17615500.0
2020-04-02,10860700.0
2019-01-02,9040500.0
2019-08-14,11524300.0
2018-10-30,16167200.0
2019-06-11,19056800.0
2019-05-10,12355400.0
2019-04-08,12131000.0
2018-08-27,9959800.0
2018-07-26,15272300.0
2018-09-28,11735500.0
2019-03-07,12736600.0
2019-10-30,7985200.0
2020-01-17,11503400.0
2020-06-23,11595300.0
2020-04-08,8456300.0
2020-06-26,9740400.0
2019-03-22,12270600.0
2019-01-17,11954800.0
2019-08-29,9475700.0
2018-11-14,8036800.0
2019-06-26,23734800.0
2018-09-11,18798000.0
2018-07-09,14911500.0
2018-08-10,10175700.0
2019-04-23,23274400.0
2019-09-30,16514600.0
2020-01-23,27306900.0
2019-11-08,13348900.0
2020-04-14,6046300.0
2019-11-11,9350700.0
2020-01-29,10284200.0
2020-04-17,10524300.0
2018-07-24,8953500.0
2018-09-26,12077100.0
2019-05-08,11188400.0
2019-03-05,17058900.0
2019-02-01,14912400.0
2018-12-31,13475000.0
2018-11-29,12642800.0
2019-08-12,12119400.0
2019-07-11,14463400.0
2019-09-13,13288900.0
2019-11-14,10036500.0
2020-04-20,10015300.0
2020-02-04,15905900.0
2020-04-23,14275800.0
2018-12-14,12212800.0
2019-08-27,11195000.0
2018-08-08,11905800.0
2018-10-11,13810700.0
2018-11-12,13413800.0
2019-07-26,33181300.0
2019-06-24,48775500.0
2019-05-23,31359900.0
2019-03-20,15510500.0
2019-01-15,19628900.0
2019-11-20,12538200.0
2020-02-07,10567500.0
2020-02-10,12242500.0
2020-04-29,11856400.0
2019-11-26,25030800.0
2020-02-13,13813700.0
2019-01-30,15396600.0
2018-08-23,10741700.0
2018-09-24,15609200.0
2018-11-27,12135100.0
2018-10-26,13109200.0
2019-07-09,14092300.0
2019-06-07,23080100.0
2019-05-06,21433500.0
2019-04-04,16524500.0
2019-09-11,21641800.0
2019-11-29,32583500.0
2020-05-05,24949000.0
2019-12-02,27984100.0
2020-02-19,23062500.0
2020-05-08,19333400.0
2019-05-21,24559600.0
2019-03-18,29949000.0
2018-09-07,24517800.0
2018-08-06,20373900.0
2018-10-09,43266300.0
2019-02-14,35028600.0
2018-12-12,39120400.0
2019-07-24,34255600.0
2019-09-26,37553100.0
2019-10-28,39862300.0
2019-12-05,32568400.0
2020-05-11,29830800.0
2019-07-03,30440400.0
2020-02-25,35184300.0
2020-05-14,26556800.0
2020-02-28,24879900.0
2019-08-08,22515200.0
2019-06-05,23676300.0
2018-07-20,19507600.0
2018-08-21,20886300.0
2018-10-24,25983300.0
2019-04-02,28453600.0
2019-03-01,31411900.0
2019-01-28,21664200.0
2018-12-27,23534300.0
2019-09-09,19355400.0
2020-03-02,21011800.0
2020-05-20,17423000.0
2019-12-17,23593200.0
2020-03-05,20974800.0
2019-02-12,16110700.0
2019-01-11,24850500.0
2018-12-10,33369900.0
2019-08-23,21426600.0
2018-11-08,28868500.0
2019-07-22,29197800.0
2019-06-20,21731000.0
2018-09-05,45954500.0
2019-04-17,46173300.0
2019-09-24,30415600.0
2019-12-20,19250700.0
2020-05-26,21071200.0
2019-04-30,21857000.0
2019-12-23,15152000.0
2020-03-11,12524000.0
2020-05-29,12911900.0
2019-12-26,14704600.0
2020-06-01,20684600.0
2019-05-02,17178900.0
2019-02-27,19383200.0
2018-11-23,20167400.0
2019-08-06,31843200.0
2018-07-18,50162900.0
2018-09-20,47782600.0
2018-10-22,33925600.0
2019-07-05,33178300.0
2019-06-03,34697600.0
2019-10-09,29377200.0
2019-10-11,23322500.0
2020-03-17,18223800.0
2020-06-04,20919000.0
2019-10-14,15380300.0
2020-03-20,17041500.0
2018-11-06,16750400.0
2019-06-18,15466500.0
2019-05-17,27462900.0
2019-04-15,20720700.0
2019-03-14,26708200.0
2019-01-09,22071700.0
2018-08-02,15340300.0
2018-10-05,15236700.0
2019-08-21,19552800.0
2019-10-17,15782500.0
2020-03-23,30081300.0
2020-06-10,18917800.0
2019-02-25,24017900.0
2020-01-07,20834900.0
2020-03-26,18704300.0
2019-10-23,76343900.0
