Dates,FB
2018-06-20,198.80999755859375
2018-06-21,200.08999633789062
2018-06-25,199.30999755859375
2018-06-22,193.11000061035156
2018-06-26,196.22999572753906
2018-06-27,195.8000030517578
2018-06-28,193.25999450683594
2018-06-29,193.9600067138672
2018-07-02,192.22000122070312
2018-07-03,192.52000427246094
2018-07-05,194.02999877929688
2018-07-16,197.6999969482422
2018-09-18,202.1199951171875
2019-01-24,202.25999450683594
2019-09-05,201.75
2018-11-21,203.19000244140625
2020-01-13,206.4499969482422
2020-04-01,206.83999633789062
2020-06-19,204.83999633789062
2019-10-29,208.44000244140625
2020-01-16,207.75999450683594
2020-06-22,208.5
2018-10-03,208.8000030517578
2018-07-31,212.60000610351562
2019-03-12,214.27000427246094
2019-02-08,173.75
2019-01-07,173.0
2018-12-06,166.55999755859375
2019-08-19,170.0
2019-07-18,170.89999389648438
2019-05-15,170.27000427246094
2019-09-20,176.14999389648438
2019-11-01,178.3800048828125
2020-04-07,183.72000122070312
2020-06-25,183.75999450683594
2020-06-16,182.47999572753906
2019-11-04,179.4199981689453
2020-01-22,178.89999389648438
2019-11-07,178.6199951171875
2020-04-13,174.77999877929688
2019-07-01,174.00999450683594
2019-05-30,172.0399932861328
2018-08-15,170.91000366210938
2018-10-18,171.38999938964844
2019-03-27,172.1300048828125
2019-01-22,172.8300018310547
2018-12-21,172.9199981689453
2019-09-03,175.7899932861328
2018-11-19,175.8300018310547
2019-08-02,174.75
2020-01-28,175.6999969482422
2020-04-16,174.97999572753906
2019-11-13,168.8000030517578
2020-01-31,166.6699981689453
2018-12-04,160.0
2018-11-02,160.16000366210938
2019-07-16,162.16000366210938
2018-08-30,163.72000122070312
2018-10-01,161.8000030517578
2019-06-14,160.86000061035156
2019-05-13,160.33999633789062
2019-04-11,159.77000427246094
2019-02-06,158.8699951171875
2019-09-18,159.47999572753906
2020-02-03,164.47000122070312
2020-04-22,162.80999755859375
2019-11-19,160.8800048828125
2020-02-06,161.14999389648438
2019-11-22,164.2100067138672
2019-03-25,167.2100067138672
2019-02-21,162.55999755859375
2018-12-19,161.25999450683594
2018-07-12,158.6699981689453
2018-09-14,159.52999877929688
2018-08-13,157.35000610351562
2018-10-16,156.1999969482422
2019-07-31,154.38999938964844
2019-05-28,157.4199981689453
2019-04-26,151.30999755859375
2020-04-28,149.16000366210938
2019-11-25,151.3000030517578
2020-02-12,152.5500030517578
2020-05-01,155.00999450683594
2020-05-04,157.9499969482422
2019-06-12,153.27999877929688
2019-04-09,153.5500030517578
2019-03-08,154.4600067138672
2019-02-04,150.85000610351562
2018-07-27,145.60000610351562
2018-08-28,147.0
2019-01-03,143.8000030517578
2019-08-15,139.02999877929688
2018-10-31,139.74000549316406
2019-09-16,148.9600067138672
2020-02-18,149.35000610351562
2020-05-07,148.9600067138672
2018-08-17,147.44000244140625
2019-12-04,148.0
2020-02-21,149.8300018310547
2018-12-17,146.74000549316406
2019-08-30,144.07000732421875
2018-11-15,140.49000549316406
2019-07-29,141.6199951171875
2019-06-27,141.5500030517578
2019-04-24,140.8300018310547
2018-07-10,137.77000427246094
2018-09-12,131.2100067138672
2019-02-19,126.8499984741211
2019-01-18,134.1300048828125
2020-02-24,131.25999450683594
2020-05-13,132.77999877929688
2019-12-10,133.7100067138672
2020-02-27,131.85000610351562
2019-12-13,135.66000366210938
2020-05-19,137.36000061035156
2019-03-06,140.75999450683594
2018-11-30,137.16000366210938
2019-08-13,133.6699981689453
2019-07-12,136.66000366210938
2019-06-10,139.00999450683594
2019-05-09,141.10000610351562
2018-07-25,142.50999450683594
2018-09-27,143.19000244140625
2018-10-29,142.50999450683594
2019-10-16,138.4199981689453
2019-12-16,139.8300018310547
2020-03-04,132.5
2020-05-22,130.0
2019-10-01,123.41999816894531
2019-12-19,123.0199966430664
2018-09-10,125.88999938964844
2019-05-24,129.6699981689453
2018-08-09,132.1999969482422
2019-04-22,129.9499969482422
2019-03-21,128.55999755859375
2019-01-16,131.1199951171875
2019-08-28,133.75
2018-11-13,135.91000366210938
2018-10-12,139.5399932861328
2019-06-25,141.27000427246094
2020-03-10,140.83999633789062
2020-05-28,142.57000732421875
2019-10-07,141.27000427246094
2020-03-13,145.99000549316406
2019-10-10,147.0
2020-03-16,146.5
2020-06-03,148.5500030517578
2018-11-28,146.3699951171875
2018-09-25,143.05999755859375
2018-07-23,142.52000427246094
2018-08-24,146.5399932861328
2019-07-10,146.2100067138672
2019-05-07,143.42999267578125
2019-04-05,145.6999969482422
2019-03-04,165.0
2019-01-31,165.66000366210938
2019-09-12,163.6199951171875
2019-12-31,168.69000244140625
2020-03-19,169.27000427246094
2020-01-03,165.25
2020-06-09,164.2100067138672
2019-02-15,165.0800018310547
2019-01-14,164.5
