Dates,FB
2018-06-20,199.10000610351562
2018-06-21,202.75999450683594
2018-06-25,201.16000366210938
2018-06-22,200.0
2018-06-26,197.60000610351562
2018-06-27,199.17999267578125
2018-06-28,195.17999267578125
2018-06-29,197.32000732421875
2018-07-02,193.3699951171875
2018-07-03,194.5500030517578
2018-07-05,194.74000549316406
2018-07-16,198.4499969482422
2018-09-18,204.92999267578125
2019-01-24,204.5
2019-09-05,202.22000122070312
2018-11-21,203.42999267578125
2020-01-13,207.80999755859375
2020-04-01,207.5
2020-06-19,204.89999389648438
2019-10-29,209.82000732421875
2020-01-16,208.77000427246094
2020-06-22,208.85000610351562
2018-10-03,210.5800018310547
2018-07-31,215.11000061035156
2019-03-12,215.72000122070312
2019-02-08,174.88999938964844
2019-01-07,179.8699951171875
2018-12-06,175.3000030517578
2019-08-19,170.6699981689453
2019-07-18,173.92999267578125
2019-05-15,170.67999267578125
2019-09-20,177.69000244140625
2019-11-01,178.97000122070312
2020-04-07,186.5
2020-06-25,184.75
2020-06-16,185.85000610351562
2019-11-04,182.0399932861328
2020-01-22,180.10000610351562
2019-11-07,180.7100067138672
2020-04-13,179.33999633789062
2019-07-01,180.4199981689453
2019-05-30,174.5
2018-08-15,174.0399932861328
2018-10-18,172.80999755859375
2019-03-27,172.2100067138672
2019-01-22,173.08999633789062
2018-12-21,173.6999969482422
2019-09-03,175.99000549316406
2018-11-19,178.10000610351562
2019-08-02,176.3000030517578
2020-01-28,175.89999389648438
2020-04-16,177.14999389648438
2019-11-13,173.5
2020-01-31,169.49000549316406
2018-12-04,166.97999572753906
2018-11-02,160.30999755859375
2019-07-16,163.50999450683594
2018-08-30,163.94000244140625
2018-10-01,163.25
2019-06-14,162.0
2019-05-13,161.72000122070312
2019-04-11,161.9199981689453
2019-02-06,159.38999938964844
2019-09-18,160.0800018310547
2020-02-03,164.5
2020-04-22,166.63999938964844
2019-11-19,161.02999877929688
2020-02-06,161.99000549316406
2019-11-22,164.3000030517578
2019-03-25,167.5500030517578
2019-02-21,168.3300018310547
2018-12-19,163.02999877929688
2018-07-12,161.5800018310547
2018-09-14,160.0
2018-08-13,161.4600067138672
2018-10-16,159.2100067138672
2019-07-31,155.5399932861328
2019-05-28,157.69000244140625
2019-04-26,156.82000732421875
2020-04-28,150.1300048828125
2019-11-25,156.72999572753906
2020-02-12,153.32000732421875
2020-05-01,155.39999389648438
2020-05-04,159.55999755859375
2019-06-12,158.50999450683594
2019-04-09,155.86000061035156
2019-03-08,154.75999450683594
2019-02-04,151.22000122070312
2018-07-27,154.27999877929688
2018-08-28,147.72999572753906
2019-01-03,145.82000732421875
2019-08-15,148.5
2018-10-31,139.94000244140625
2019-09-16,155.0
2020-02-18,151.52000427246094
2020-05-07,151.8000030517578
2018-08-17,150.10000610351562
2019-12-04,149.30999755859375
2020-02-21,151.57000732421875
2018-12-17,150.49000549316406
2019-08-30,146.75
2018-11-15,144.47999572753906
2019-07-29,142.0
2019-06-27,143.6999969482422
2019-04-24,142.3300018310547
2018-07-10,141.07000732421875
2018-09-12,137.61000061035156
2019-02-19,127.02999877929688
2019-01-18,134.39999389648438
2020-02-24,133.64999389648438
2020-05-13,133.0
2019-12-10,135.75
2020-02-27,136.27999877929688
2019-12-13,135.9199981689453
2020-05-19,138.25999450683594
2019-03-06,143.0
2018-11-30,140.72999572753906
2019-08-13,133.82000732421875
2019-07-12,139.25
2019-06-10,139.60000610351562
2019-05-09,143.8800048828125
2018-07-25,143.0800018310547
2018-09-27,145.57000732421875
2018-10-29,143.33999633789062
2019-10-16,143.0800018310547
2019-12-16,141.0800018310547
2020-03-04,141.2100067138672
2020-05-22,130.6999969482422
2019-10-01,133.38999938964844
2019-12-19,123.0999984741211
2018-09-10,126.0
2019-05-24,132.44000244140625
2018-08-09,135.33999633789062
2019-04-22,134.4499969482422
2019-03-21,128.99000549316406
2019-01-16,134.69000244140625
2019-08-28,134.00999450683594
2018-11-13,137.55999755859375
2018-10-12,139.88999938964844
2019-06-25,142.9499969482422
2020-03-10,143.0800018310547
2020-05-28,143.14999389648438
2019-10-07,142.0
2020-03-13,146.00999450683594
2019-10-10,149.0
2020-03-16,146.9499969482422
2020-06-03,149.75
2018-11-28,149.1999969482422
2018-09-25,148.27999877929688
2018-07-23,144.63999938964844
2018-08-24,147.47999572753906
2019-07-10,148.0500030517578
2019-05-07,148.08999633789062
2019-04-05,146.22000122070312
2019-03-04,165.60000610351562
