Dates,CNP
2018-06-20,2698500.0
2018-06-21,3477100.0
2018-06-25,3397100.0
2018-06-22,4149500.0
2018-06-26,5472300.0
2018-06-27,3143900.0
2018-06-28,4000800.0
2018-06-29,3354400.0
2018-07-02,3652500.0
2018-07-03,2342600.0
2018-07-05,3538600.0
2018-07-16,2294300.0
2018-09-18,4217200.0
2019-01-24,4669700.0
2019-09-05,3167800.0
2018-11-21,4647000.0
2020-01-13,1978400.0
2020-04-01,2036500.0
2020-06-19,1630200.0
2019-10-29,3113900.0
2020-01-16,3368600.0
2020-06-22,2364300.0
2018-10-03,3427700.0
2018-07-31,6294500.0
2019-03-12,3755600.0
2019-02-08,3062300.0
2019-01-07,2710500.0
2018-12-06,2546800.0
2019-08-19,4365600.0
2019-07-18,3618200.0
2019-05-15,2634800.0
2019-09-20,2751600.0
2019-11-01,3699200.0
2020-04-07,2449400.0
2020-06-25,2127100.0
2020-06-16,1866300.0
2019-11-04,2973300.0
2020-01-22,2091400.0
2019-11-07,2538600.0
2020-04-13,2572200.0
2019-07-01,4620600.0
2019-05-30,3546000.0
2018-08-15,2443400.0
2018-10-18,2138200.0
2019-03-27,1626000.0
2019-01-22,2074500.0
2018-12-21,2553600.0
2019-09-03,1376600.0
2018-11-19,2092500.0
2019-08-02,1886800.0
2020-01-28,2117000.0
2020-04-16,2625600.0
2019-11-13,3379600.0
2020-01-31,4729500.0
2018-12-04,2953200.0
2018-11-02,2139500.0
2019-07-16,1747600.0
2018-08-30,1960500.0
2018-10-01,2080700.0
2019-06-14,3485800.0
2019-05-13,4604100.0
2019-04-11,2741900.0
2019-02-06,2625500.0
2019-09-18,2459100.0
2020-02-03,2217300.0
2020-04-22,5666100.0
2019-11-19,2411100.0
2020-02-06,11382000.0
2019-11-22,57295500.0
2019-03-25,21037200.0
2019-02-21,16733300.0
2018-12-19,5079800.0
2018-07-12,10114600.0
2018-09-14,8010300.0
2018-08-13,6112000.0
2018-10-16,6178600.0
