Dates,CNP
2018-06-20,26.229999542236328
2018-06-21,26.239999771118164
2018-06-25,26.479999542236328
2018-06-22,26.639999389648438
2018-06-26,27.110000610351562
2018-06-27,27.190000534057617
2018-06-28,27.520000457763672
2018-06-29,27.420000076293945
2018-07-02,27.420000076293945
2018-07-03,27.540000915527344
2018-07-05,27.280000686645508
2018-07-16,27.729999542236328
2018-09-18,26.84000015258789
2019-01-24,26.549999237060547
2019-09-05,27.06999969482422
2018-11-21,27.510000228881836
2020-01-13,27.549999237060547
2020-04-01,27.649999618530273
2020-06-19,27.6200008392334
2019-10-29,27.3700008392334
2020-01-16,27.649999618530273
2020-06-22,27.610000610351562
2018-10-03,27.6200008392334
2018-07-31,27.260000228881836
2019-03-12,27.889999389648438
2019-02-08,28.0
2019-01-07,28.0
2018-12-06,27.899999618530273
2019-08-19,28.030000686645508
2019-07-18,27.829999923706055
2019-05-15,27.739999771118164
2019-09-20,27.799999237060547
2019-11-01,27.940000534057617
2020-04-07,28.09000015258789
2020-06-25,28.079999923706055
2020-06-16,28.059999465942383
2019-11-04,28.110000610351562
2020-01-22,28.049999237060547
2019-11-07,28.0
2020-04-13,27.790000915527344
2019-07-01,27.81999969482422
2019-05-30,28.260000228881836
2018-08-15,28.149999618530273
2018-10-18,28.0
2019-03-27,27.770000457763672
2019-01-22,27.610000610351562
2018-12-21,27.579999923706055
2019-09-03,27.510000228881836
2018-11-19,27.479999542236328
2019-08-02,27.520000457763672
2020-01-28,27.68000030517578
2020-04-16,27.690000534057617
2019-11-13,27.649999618530273
2020-01-31,28.200000762939453
2018-12-04,28.729999542236328
2018-11-02,28.5
2019-07-16,28.56999969482422
2018-08-30,28.670000076293945
2018-10-01,28.530000686645508
2019-06-14,28.3799991607666
2019-05-13,28.549999237060547
2019-04-11,28.579999923706055
2019-02-06,28.530000686645508
2019-09-18,27.84000015258789
2020-02-03,27.68000030517578
2020-04-22,27.860000610351562
2019-11-19,27.780000686645508
2020-02-06,26.8700008392334
2019-11-22,27.09000015258789
2019-03-25,27.200000762939453
2019-02-21,27.479999542236328
2018-12-19,27.43000030517578
