Dates,WBA
2018-06-20,13923900.0
2018-06-21,8303600.0
2018-06-25,10441300.0
2018-06-22,17147800.0
2018-06-26,8472900.0
2018-06-27,6327500.0
2018-06-28,40465700.0
2018-06-29,15725400.0
2018-07-02,11309700.0
2018-07-03,5602300.0
2018-07-05,12473000.0
2018-07-16,9741000.0
2018-09-18,7513000.0
2019-01-24,9250500.0
2019-09-05,9978800.0
2018-11-21,11650200.0
2020-01-13,7759800.0
2020-04-01,8619200.0
2020-06-19,8412700.0
2019-10-29,9201100.0
2020-01-16,9823400.0
2020-06-22,7553700.0
2018-10-03,6965900.0
2018-07-31,7542600.0
2019-03-12,7861900.0
2019-02-08,7506300.0
2019-01-07,6871900.0
2018-12-06,7866400.0
2019-08-19,7261900.0
2019-07-18,6514800.0
2019-05-15,5815900.0
2019-09-20,4307300.0
2019-11-01,5108900.0
2020-04-07,7143700.0
2020-06-25,7267900.0
2020-06-16,5795000.0
2019-11-04,4991200.0
2020-01-22,5171400.0
2019-11-07,6390800.0
2020-04-13,5944300.0
2019-07-01,9325700.0
2019-05-30,5884400.0
2018-08-15,4620200.0
2018-10-18,3683400.0
2019-03-27,3746600.0
2019-01-22,4548900.0
2018-12-21,5435000.0
2019-09-03,5326400.0
2018-11-19,4241200.0
2019-08-02,4407700.0
2020-01-28,4903200.0
2020-04-16,4421500.0
2019-11-13,5006800.0
2020-01-31,6131100.0
2018-12-04,5027400.0
2018-11-02,4350400.0
2019-07-16,3738000.0
2018-08-30,4087700.0
2018-10-01,6242400.0
2019-06-14,4375200.0
2019-05-13,3069700.0
2019-04-11,3891300.0
2019-02-06,4670800.0
2019-09-18,4552400.0
2020-02-03,5279600.0
2020-04-22,8826500.0
2019-11-19,3556700.0
2020-02-06,3111200.0
2019-11-22,5742900.0
2019-03-25,4111400.0
2019-02-21,4871200.0
2018-12-19,5408600.0
2018-07-12,3842900.0
2018-09-14,6075400.0
2018-08-13,3832800.0
2018-10-16,5663500.0
2019-07-31,6482000.0
2019-05-28,5194800.0
2019-04-26,8011200.0
2020-04-28,15407000.0
2019-11-25,9722500.0
2020-02-12,8308500.0
2020-05-01,7738900.0
2020-05-04,6256600.0
2019-06-12,5879800.0
2019-04-09,5934900.0
2019-03-08,5715500.0
2019-02-04,5094100.0
2018-07-27,9171400.0
2018-08-28,6434400.0
2019-01-03,12078400.0
2019-08-15,6398200.0
2018-10-31,6944100.0
2019-09-16,12973900.0
2020-02-18,6368700.0
2020-05-07,7197900.0
2018-08-17,6061200.0
2019-12-04,6265500.0
2020-02-21,6142200.0
2018-12-17,5344700.0
2019-08-30,3601900.0
2018-11-15,3544900.0
2019-07-29,4375300.0
2019-06-27,5366100.0
2019-04-24,4336100.0
2018-07-10,3603800.0
2018-09-12,6064500.0
2019-02-19,8267100.0
2019-01-18,6396900.0
2020-02-24,2716300.0
2020-05-13,5565200.0
2019-12-10,6047400.0
2020-02-27,6784200.0
2019-12-13,6090300.0
2020-05-19,8323400.0
2019-03-06,6223900.0
2018-11-30,8359400.0
2019-08-13,8093400.0
2019-07-12,6153000.0
2019-06-10,5626000.0
2019-05-09,5467500.0
2018-07-25,4844700.0
2018-09-27,4771100.0
2018-10-29,9282500.0
2019-10-16,12321500.0
2019-12-16,9124400.0
2020-03-04,11063800.0
2020-05-22,12686500.0
2019-10-01,22563900.0
2019-12-19,5608200.0
2018-09-10,6584700.0
2019-05-24,6873300.0
2018-08-09,5181800.0
2019-04-22,4870900.0
2019-03-21,5528100.0
2019-01-16,5853200.0
2019-08-28,6868600.0
2018-11-13,6192500.0
2018-10-12,6548100.0
2019-06-25,6318000.0
2020-03-10,5130500.0
2020-05-28,5684700.0
2019-10-07,5997700.0
2020-03-13,4260000.0
2019-10-10,3785200.0
2020-03-16,3625500.0
2020-06-03,5539900.0
2018-11-28,5578200.0
2018-09-25,4187700.0
2018-07-23,4153200.0
2018-08-24,5221800.0
2019-07-10,4088300.0
2019-05-07,3367100.0
2019-04-05,4122100.0
2019-03-04,8390800.0
2019-01-31,4642500.0
2019-09-12,5444300.0
2019-12-31,7128600.0
2020-03-19,4336400.0
2020-01-03,4631200.0
2020-06-09,4139400.0
2019-02-15,3482300.0
2019-01-14,3980000.0
2018-07-06,3856900.0
2018-08-07,3855100.0
2018-10-10,4670400.0
2018-12-13,6374600.0
2019-08-26,7882400.0
2019-07-25,4482200.0
2019-05-22,4928700.0
2019-03-19,4308200.0
2020-01-06,3498700.0
2020-03-25,3959900.0
2020-06-12,7775000.0
2019-10-22,10298900.0
2020-01-09,10870500.0
2020-06-15,11956100.0
2019-10-25,15392500.0
2020-03-31,9695800.0
2020-06-18,9909500.0
2019-04-03,5638000.0
2018-08-22,5638400.0
2018-10-25,5720000.0
2019-01-29,5792300.0
2018-12-28,9773500.0
2018-11-26,5296800.0
2019-08-09,5880900.0
2019-07-08,5171700.0
2019-06-06,3795200.0
2019-09-10,4855400.0
2020-01-15,4567200.0
2020-04-03,5582400.0
2019-10-31,5180900.0
2020-04-06,5768300.0
2020-06-24,4993100.0
2018-11-09,6328600.0
2019-07-23,36877800.0
2019-06-21,17901900.0
2019-05-20,14150500.0
2019-04-18,10509500.0
2018-09-06,7121000.0
2018-10-08,8987700.0
2019-02-13,5483200.0
2018-12-11,8194100.0
2019-09-25,7298800.0
2020-01-21,5963500.0
2020-04-09,7912100.0
2019-11-06,10103100.0
2020-01-24,7991300.0
2020-01-27,5445800.0
2020-04-15,8327000.0
2018-12-26,5997200.0
2019-08-07,6641200.0
2019-06-04,7253700.0
2018-09-21,5095200.0
2018-07-19,8175400.0
2018-08-20,5954200.0
2018-10-23,5301800.0
2019-05-03,5517000.0
2019-04-01,5520900.0
2019-02-28,6446200.0
2019-11-12,5347400.0
2020-01-30,4661200.0
2019-11-15,5039100.0
2020-04-21,5670200.0
2019-04-16,5458500.0
2019-03-15,4570200.0
2019-02-11,4722300.0
2019-01-10,4812300.0
2019-08-22,4641700.0
2018-11-07,4267700.0
2018-08-03,3372200.0
2018-09-04,5041400.0
2019-06-19,4296000.0
2019-09-23,6457800.0
2019-11-18,4208800.0
2020-02-05,3844400.0
2020-04-24,6568200.0
2019-03-29,6024200.0
2019-11-21,5978000.0
2020-04-27,4507500.0
2020-02-11,3418200.0
2020-04-30,4217700.0
2019-05-01,3673800.0
2019-02-26,4503900.0
2019-01-25,4212100.0
2018-12-24,3329000.0
2019-09-06,3246300.0
2018-07-17,4108700.0
2018-09-19,5977900.0
2019-08-05,4959100.0
2019-10-08,6157600.0
2019-12-11,13972800.0
2019-11-27,6725500.0
2020-02-14,8535100.0
2020-05-06,5951100.0
2019-01-08,12144500.0
2018-12-07,10395400.0
2019-08-20,5721500.0
2018-11-05,5108100.0
2019-07-19,3990500.0
2018-10-04,4120600.0
2019-06-17,3819600.0
2019-05-16,3517000.0
2018-08-01,5217900.0
2019-03-13,7161300.0
2019-12-03,3826100.0
2020-02-20,3581100.0
2019-12-06,3661100.0
2020-05-12,5185600.0
2019-12-09,4249200.0
2020-02-26,3639600.0
2020-05-15,3944900.0
2019-03-28,4583100.0
2018-09-17,4000500.0
2018-08-16,3071700.0
2018-10-19,3009300.0
2019-04-29,2793100.0
2019-01-23,2774000.0
2019-09-04,6642200.0
2018-11-20,5920900.0
2019-07-02,4524000.0
2019-05-31,6751700.0
2019-12-12,6742300.0
2020-05-18,6258400.0
2019-09-27,3400300.0
2020-03-03,2915900.0
2020-05-21,3729300.0
2019-05-14,5257300.0
2018-08-31,6193600.0
2018-07-30,6285300.0
2018-10-02,4333800.0
2019-04-12,5127600.0
2019-03-11,3312000.0
2019-02-07,2962100.0
2019-07-17,3772700.0
2019-09-19,5945400.0
2019-10-21,3645400.0
2019-12-18,5049500.0
2020-03-06,2610200.0
2019-10-03,3271100.0
2020-03-09,5194900.0
2020-05-27,3975100.0
2019-12-24,4680000.0
2020-03-12,3807100.0
2018-12-20,2565600.0
2019-08-01,9416400.0
2018-08-14,6930900.0
2018-07-13,6992300.0
2018-10-17,6771700.0
2019-05-29,3872200.0
2019-03-26,3660800.0
2019-02-22,4841900.0
2019-10-04,3903800.0
2019-11-05,4365100.0
2019-12-27,10823700.0
2020-06-02,3778300.0
2019-12-30,5408600.0
2020-03-18,3385400.0
2020-06-05,3836300.0
2019-07-15,3403100.0
2018-12-03,3218300.0
2019-06-13,4824700.0
2019-01-04,5016000.0
2018-08-29,3625100.0
2019-02-05,3895400.0
2018-11-01,4427000.0
2019-08-16,4129700.0
2019-04-10,4737200.0
2019-09-17,3334200.0
2019-10-15,4803400.0
2020-01-02,2495600.0
2020-06-08,3390100.0
2019-10-18,2975000.0
2020-03-24,4815200.0
2020-06-11,4682400.0
2020-01-08,5180800.0
2019-04-25,3747900.0
2019-07-30,4589600.0
2019-02-20,3522400.0
2018-07-11,4806500.0
2018-09-13,8066800.0
2018-10-15,5968900.0
2019-06-28,3684400.0
2018-12-18,6969900.0
2018-11-16,8239000.0
2019-10-02,10758500.0
2020-03-27,28677900.0
2020-01-10,13655100.0
2019-10-24,9861700.0
2020-03-30,5450100.0
2020-06-17,24417800.0
2020-01-14,6901800.0
2020-04-02,4917100.0
2019-01-02,4184100.0
2019-08-14,5317400.0
2018-10-30,4575400.0
2019-06-11,4199200.0
2019-05-10,5933300.0
2019-04-08,3963200.0
2018-08-27,3506800.0
2018-07-26,4656800.0
2018-09-28,7656500.0
2019-03-07,4033800.0
2019-10-30,2177900.0
2020-01-17,5695000.0
2020-06-23,4816600.0
2020-04-08,3765700.0
2020-06-26,3814800.0
2019-03-22,3477200.0
2019-01-17,3953500.0
2019-08-29,3400800.0
2018-11-14,2951000.0
2019-06-26,3139800.0
2018-09-11,4356400.0
2018-07-09,5461500.0
2018-08-10,5417500.0
2019-04-23,4906100.0
2019-09-30,5198900.0
2020-01-23,8433100.0
2019-11-08,4813200.0
2020-04-14,1475400.0
2019-11-11,2736100.0
2020-01-29,3647600.0
2020-04-17,3264500.0
2018-07-24,3305100.0
2018-09-26,5700500.0
2019-05-08,4892300.0
2019-03-05,6003300.0
2019-02-01,4365700.0
2018-12-31,17431800.0
2018-11-29,8469600.0
2019-08-12,6688000.0
2019-07-11,5517800.0
2019-09-13,4466800.0
2019-11-14,3495600.0
2020-04-20,4974700.0
2020-02-04,5048300.0
2020-04-23,5940600.0
2018-12-14,3703800.0
2019-08-27,4994000.0
2018-08-08,6415400.0
2018-10-11,5108500.0
2018-11-12,4771000.0
2019-07-26,3509800.0
2019-06-24,3790900.0
2019-05-23,6532300.0
2019-03-20,5153000.0
2019-01-15,4911100.0
2019-11-20,5386600.0
2020-02-07,4399700.0
2020-02-10,3378200.0
2020-04-29,4326600.0
2019-11-26,4054100.0
2020-02-13,5362500.0
2019-01-30,3669500.0
2018-08-23,5153800.0
2018-09-24,4334400.0
2018-11-27,3279500.0
2018-10-26,3368400.0
2019-07-09,4643000.0
2019-06-07,8049800.0
2019-05-06,6336300.0
2019-04-04,7211400.0
2019-09-11,10120800.0
2019-11-29,11856800.0
2020-05-05,11247800.0
2019-12-02,10385300.0
2020-02-19,7194200.0
2020-05-08,7237100.0
2019-05-21,11823800.0
2019-03-18,12341100.0
2018-09-07,11190400.0
2018-08-06,8593900.0
2018-10-09,11245700.0
2019-02-14,11181100.0
2018-12-12,10490600.0
2019-07-24,9242800.0
2019-09-26,16597800.0
2019-10-28,10334600.0
2019-12-05,11030000.0
2020-05-11,8977100.0
2019-07-03,9638400.0
2020-02-25,11040500.0
2020-05-14,11095700.0
2020-02-28,5898000.0
2019-08-08,7114900.0
2019-06-05,9305200.0
2018-07-20,6798000.0
2018-08-21,18891100.0
2018-10-24,6488800.0
2019-04-02,10857800.0
2019-03-01,6691700.0
2019-01-28,6206500.0
2018-12-27,7114200.0
2019-09-09,4412300.0
2020-03-02,6482400.0
2020-05-20,6050200.0
2019-12-17,6130400.0
2020-03-05,6288500.0
2019-02-12,5951600.0
2019-01-11,5915000.0
2018-12-10,4676800.0
2019-08-23,4232100.0
2018-11-08,4102400.0
2019-07-22,6705500.0
2019-06-20,5707200.0
2018-09-05,5062500.0
2019-04-17,7883600.0
2019-09-24,7066200.0
2019-12-20,7189100.0
2020-05-26,7716900.0
2019-04-30,6240400.0
2019-12-23,6894000.0
2020-03-11,5966600.0
2020-05-29,4922600.0
2019-12-26,6303500.0
2020-06-01,11850200.0
2019-05-02,13076700.0
2019-02-27,17309300.0
2018-11-23,9379500.0
2019-08-06,5201000.0
2018-07-18,4648900.0
2018-09-20,4439700.0
2018-10-22,3391200.0
2019-07-05,8179300.0
2019-06-03,7748100.0
2019-10-09,5938400.0
2019-10-11,8858000.0
2020-03-17,5770600.0
2020-06-04,4284700.0
2019-10-14,4681700.0
2020-03-20,4949600.0
2018-11-06,8052000.0
2019-06-18,7233600.0
2019-05-17,5066500.0
2019-04-15,4561400.0
2019-03-14,7899700.0
2019-01-09,5015000.0
2018-08-02,5275800.0
2018-10-05,5446100.0
2019-08-21,4765600.0
2019-10-17,3201500.0
2020-03-23,13680700.0
2020-06-10,5154100.0
2019-02-25,5418100.0
2020-01-07,6217900.0
2020-03-26,6660500.0
2019-10-23,7037000.0
