Dates,WBA
2018-06-20,65.62999725341797
2018-06-21,66.91999816894531
2018-06-25,67.47000122070312
2018-06-22,66.3499984741211
2018-06-26,65.41999816894531
2018-06-27,65.87000274658203
2018-06-28,59.06999969482422
2018-06-29,59.11000061035156
2018-07-02,59.5
2018-07-03,60.709999084472656
2018-07-05,60.81999969482422
2018-07-16,62.29999923706055
2018-09-18,63.099998474121094
2019-01-24,62.70000076293945
2019-09-05,62.18000030517578
2018-11-21,63.61000061035156
2020-01-13,63.95000076293945
2020-04-01,64.6500015258789
2020-06-19,64.80000305175781
2019-10-29,65.66000366210938
2020-01-16,64.77999877929688
2020-06-22,64.30999755859375
2018-10-03,64.2699966430664
2018-07-31,65.16000366210938
2019-03-12,65.45999908447266
2019-02-08,66.83999633789062
2019-01-07,67.51000213623047
2018-12-06,68.31999969482422
2019-08-19,67.56999969482422
2019-07-18,66.29000091552734
2019-05-15,65.77999877929688
2019-09-20,66.95999908447266
2019-11-01,66.43000030517578
2020-04-07,66.9000015258789
2020-06-25,65.80000305175781
2020-06-16,66.0199966430664
2019-11-04,65.54000091552734
2020-01-22,66.20999908447266
2019-11-07,66.51000213623047
2020-04-13,67.91999816894531
2019-07-01,68.9800033569336
2019-05-30,68.5999984741211
2018-08-15,69.91000366210938
2018-10-18,69.94000244140625
2019-03-27,69.62000274658203
2019-01-22,69.0199966430664
2018-12-21,69.05999755859375
2019-09-03,69.18000030517578
2018-11-19,69.02999877929688
2019-08-02,68.41000366210938
2020-01-28,67.66999816894531
2020-04-16,67.54000091552734
2019-11-13,67.41999816894531
2020-01-31,67.45999908447266
2018-12-04,67.77999877929688
2018-11-02,67.58000183105469
2019-07-16,68.51000213623047
2018-08-30,68.44000244140625
2018-10-01,68.66000366210938
2019-06-14,70.13999938964844
2019-05-13,69.9800033569336
2019-04-11,70.06999969482422
2019-02-06,70.31999969482422
2019-09-18,70.88999938964844
2020-02-03,71.5199966430664
2020-04-22,71.94000244140625
2019-11-19,71.76000213623047
2020-02-06,71.83000183105469
2019-11-22,72.2699966430664
2019-03-25,72.51000213623047
2019-02-21,72.75
2018-12-19,72.37000274658203
2018-07-12,72.01000213623047
2018-09-14,73.48999786376953
2018-08-13,72.91000366210938
2018-10-16,72.13999938964844
2019-07-31,72.48999786376953
2019-05-28,72.91000366210938
2019-04-26,72.30999755859375
2020-04-28,69.69000244140625
2019-11-25,70.43000030517578
2020-02-12,73.0
2020-05-01,74.37000274658203
2020-05-04,75.7300033569336
2019-06-12,76.29000091552734
2019-04-09,76.66999816894531
2019-03-08,77.08000183105469
2019-02-04,76.4000015258789
2018-07-27,74.06999969482422
2018-08-28,74.0999984741211
2019-01-03,73.5
2019-08-15,75.5
2018-10-31,76.5999984741211
2019-09-16,77.6500015258789
2020-02-18,79.19999694824219
2020-05-07,78.51000213623047
2018-08-17,79.02999877929688
2019-12-04,79.58000183105469
2020-02-21,80.55999755859375
2018-12-17,81.30999755859375
2019-08-30,81.7300033569336
2018-11-15,81.58000183105469
2019-07-29,81.43000030517578
2019-06-27,80.93000030517578
2019-04-24,80.83000183105469
2018-07-10,81.55999755859375
2018-09-12,81.72000122070312
2019-02-19,78.27999877929688
2019-01-18,79.68000030517578
2020-02-24,79.01000213623047
2020-05-13,80.9800033569336
2019-12-10,81.4000015258789
2020-02-27,82.80000305175781
2019-12-13,83.83999633789062
2020-05-19,83.80000305175781
2019-03-06,84.68000030517578
2018-11-30,82.4000015258789
2019-08-13,80.7699966430664
2019-07-12,80.91999816894531
2019-06-10,79.69000244140625
2019-05-09,80.75
2018-07-25,82.11000061035156
2018-09-27,81.68000030517578
2018-10-29,78.44000244140625
2019-10-16,75.80000305175781
2019-12-16,75.37000274658203
2020-03-04,72.58999633789062
2020-05-22,68.45999908447266
2019-10-01,66.79000091552734
2019-12-19,65.12000274658203
2018-09-10,64.51000213623047
2019-05-24,65.73999786376953
2018-08-09,67.58999633789062
2019-04-22,67.73999786376953
2019-03-21,66.69000244140625
2019-01-16,66.72000122070312
2019-08-28,68.0
2018-11-13,68.81999969482422
2018-10-12,70.13999938964844
2019-06-25,71.52999877929688
2020-03-10,71.25
2020-05-28,71.12999725341797
2019-10-07,70.3499984741211
2020-03-13,70.80000305175781
2019-10-10,71.83999633789062
2020-03-16,71.29000091552734
2020-06-03,71.95999908447266
2018-11-28,71.0999984741211
2018-09-25,71.01000213623047
2018-07-23,70.86000061035156
2018-08-24,71.58000183105469
2019-07-10,70.47000122070312
2019-05-07,70.87999725341797
2019-04-05,71.18000030517578
2019-03-04,71.5
2019-01-31,71.52999877929688
2019-09-12,70.9000015258789
2019-12-31,70.83000183105469
2020-03-19,70.87999725341797
2020-01-03,70.37999725341797
2020-06-09,69.52999877929688
2019-02-15,70.02999877929688
2019-01-14,70.69999694824219
2018-07-06,71.75
2018-08-07,71.29000091552734
2018-10-10,72.66000366210938
2018-12-13,73.4000015258789
2019-08-26,71.54000091552734
2019-07-25,70.26000213623047
2019-05-22,69.81999969482422
2019-03-19,70.73999786376953
2020-01-06,70.87999725341797
2020-03-25,70.88999938964844
2020-06-12,70.97000122070312
2019-10-22,66.08000183105469
2020-01-09,64.29000091552734
2020-06-15,62.970001220703125
2019-10-25,60.88999938964844
2020-03-31,59.56999969482422
2020-06-18,59.33000183105469
2019-04-03,59.84000015258789
2018-08-22,60.68000030517578
2018-10-25,61.02000045776367
2019-01-29,61.470001220703125
2018-12-28,61.709999084472656
2018-11-26,62.310001373291016
2019-08-09,63.290000915527344
2019-07-08,62.52000045776367
