Dates,CTSH
2018-06-20,3149700.0
2018-06-21,2714800.0
2018-06-25,5724100.0
2018-06-22,4442900.0
2018-06-26,2800400.0
2018-06-27,3712200.0
2018-06-28,3105200.0
2018-06-29,3668100.0
2018-07-02,2679900.0
2018-07-03,1637200.0
2018-07-05,3613100.0
2018-07-16,2050500.0
2018-09-18,2075000.0
2019-01-24,2276000.0
2019-09-05,3012000.0
2018-11-21,3599700.0
2020-01-13,4163100.0
2020-04-01,3032100.0
2020-06-19,2406100.0
2019-10-29,2223900.0
2020-01-16,2259400.0
2020-06-22,2338300.0
2018-10-03,1943100.0
2018-07-31,2611900.0
2019-03-12,3107100.0
2019-02-08,1813900.0
2019-01-07,2427300.0
2018-12-06,2830900.0
2019-08-19,3429000.0
2019-07-18,3571400.0
2019-05-15,12197300.0
2019-09-20,5647000.0
2019-11-01,3399700.0
2020-04-07,2220000.0
2020-06-25,2221400.0
2020-06-16,4262500.0
2019-11-04,2840700.0
2020-01-22,2933400.0
2019-11-07,3949800.0
2020-04-13,3155400.0
2019-07-01,3379300.0
2019-05-30,3337100.0
2018-08-15,3201600.0
2018-10-18,2258700.0
2019-03-27,2341200.0
2019-01-22,2207800.0
2018-12-21,2399000.0
2019-09-03,2786700.0
2018-11-19,2170700.0
2019-08-02,2790100.0
2020-01-28,2311700.0
2020-04-16,3343300.0
2019-11-13,6905600.0
2020-01-31,3336600.0
2018-12-04,2586600.0
2018-11-02,3110200.0
2019-07-16,2657400.0
2018-08-30,2481900.0
2018-10-01,2869000.0
2019-06-14,3990000.0
2019-05-13,3144100.0
2019-04-11,3075600.0
2019-02-06,2592800.0
2019-09-18,1773400.0
2020-02-03,2343800.0
2020-04-22,5358200.0
2019-11-19,2769800.0
2020-02-06,2281100.0
2019-11-22,2274900.0
2019-03-25,2549500.0
2019-02-21,2537200.0
2018-12-19,2252800.0
2018-07-12,2977300.0
2018-09-14,2081700.0
2018-08-13,3385400.0
2018-10-16,3011400.0
2019-07-31,3344200.0
2019-05-28,2248000.0
2019-04-26,4091300.0
2020-04-28,4659700.0
2019-11-25,4791000.0
2020-02-12,3262300.0
2020-05-01,3639200.0
2020-05-04,2594100.0
2019-06-12,3690200.0
2019-04-09,3106900.0
2019-03-08,2126000.0
2019-02-04,4217700.0
2018-07-27,3631900.0
2018-08-28,3582300.0
2019-01-03,3808300.0
2019-08-15,6742600.0
2018-10-31,9640300.0
2019-09-16,5550900.0
2020-02-18,5520700.0
2020-05-07,3746600.0
2018-08-17,3090500.0
2019-12-04,2481200.0
2020-02-21,2449500.0
2018-12-17,2103500.0
2019-08-30,3062200.0
2018-11-15,3490700.0
2019-07-29,3698100.0
2019-06-27,5022100.0
2019-04-24,4260400.0
2018-07-10,7992900.0
2018-09-12,4115000.0
2019-02-19,3786300.0
2019-01-18,4757300.0
2020-02-24,1290200.0
2020-05-13,2666700.0
2019-12-10,5236200.0
2020-02-27,3515100.0
2019-12-13,2555700.0
2020-05-19,4139100.0
2019-03-06,3567000.0
2018-11-30,3261300.0
2019-08-13,4303100.0
2019-07-12,3318600.0
2019-06-10,5324200.0
2019-05-09,3949800.0
2018-07-25,3135500.0
2018-09-27,4129900.0
2018-10-29,2945300.0
2019-10-16,5026200.0
2019-12-16,4206100.0
2020-03-04,3457700.0
2020-05-22,4413000.0
2019-10-01,10209700.0
2019-12-19,3542700.0
2018-09-10,3516800.0
2019-05-24,3386000.0
2018-08-09,2335400.0
2019-04-22,2338200.0
2019-03-21,3045600.0
2019-01-16,3895700.0
2019-08-28,4885600.0
2018-11-13,3940400.0
2018-10-12,3427500.0
2019-06-25,2783000.0
2020-03-10,3314000.0
2020-05-28,3320600.0
2019-10-07,4407500.0
2020-03-13,3550900.0
2019-10-10,3496900.0
2020-03-16,2367800.0
2020-06-03,3904900.0
2018-11-28,3698000.0
2018-09-25,3350200.0
2018-07-23,3336000.0
2018-08-24,4073900.0
2019-07-10,2771000.0
2019-05-07,2902300.0
2019-04-05,3646100.0
2019-03-04,3504100.0
2019-01-31,3218600.0
2019-09-12,3382100.0
2019-12-31,3978100.0
2020-03-19,7242000.0
2020-01-03,5880600.0
2020-06-09,4613200.0
2019-02-15,3986100.0
2019-01-14,3404000.0
2018-07-06,2998300.0
2018-08-07,1496200.0
2018-10-10,2875200.0
2018-12-13,3955700.0
2019-08-26,3171400.0
2019-07-25,4739000.0
2019-05-22,5585400.0
2019-03-19,4105300.0
2020-01-06,3629200.0
2020-03-25,5050400.0
2020-06-12,3699300.0
2019-10-22,2947800.0
2020-01-09,3278400.0
2020-06-15,2112900.0
2019-10-25,2691000.0
2020-03-31,5296300.0
2020-06-18,3912500.0
2019-04-03,3159200.0
2018-08-22,3622700.0
2018-10-25,3926900.0
2019-01-29,2577500.0
2018-12-28,4808900.0
2018-11-26,2376900.0
2019-08-09,2537300.0
