Dates,CTSH
2018-06-20,78.45999908447266
2018-06-21,77.55999755859375
2018-06-25,77.25
2018-06-22,77.3499984741211
2018-06-26,77.79000091552734
2018-06-27,77.3499984741211
2018-06-28,77.3499984741211
2018-06-29,78.80000305175781
2018-07-02,78.30000305175781
2018-07-03,79.3499984741211
2018-07-05,79.22000122070312
2018-07-16,79.70999908447266
2018-09-18,80.25
2019-01-24,81.33000183105469
2019-09-05,81.11000061035156
2018-11-21,81.44000244140625
2020-01-13,81.56999969482422
2020-04-01,81.66000366210938
2020-06-19,81.27999877929688
2019-10-29,81.86000061035156
2020-01-16,81.5
2020-06-22,81.94999694824219
2018-10-03,81.73999786376953
2018-07-31,82.01000213623047
2019-03-12,81.91000366210938
2019-02-08,82.62999725341797
2019-01-07,80.98999786376953
2018-12-06,80.33999633789062
2019-08-19,80.80999755859375
2019-07-18,81.36000061035156
2019-05-15,74.83000183105469
2019-09-20,76.2699966430664
2019-11-01,77.75
2020-04-07,77.80999755859375
2020-06-25,77.20999908447266
2020-06-16,76.20999908447266
2019-11-04,75.36000061035156
2020-01-22,75.33000183105469
2019-11-07,74.66000366210938
2020-04-13,74.12999725341797
2019-07-01,74.55000305175781
2019-05-30,74.91999816894531
2018-08-15,74.55000305175781
2018-10-18,74.73999786376953
2019-03-27,74.5999984741211
2019-01-22,75.0
2018-12-21,75.06999969482422
2019-09-03,75.98999786376953
2018-11-19,76.16000366210938
2019-08-02,76.61000061035156
2020-01-28,77.05999755859375
2020-04-16,77.36000061035156
2019-11-13,74.0199966430664
2020-01-31,74.68000030517578
2018-12-04,74.94000244140625
2018-11-02,75.3499984741211
2019-07-16,75.4000015258789
2018-08-30,75.2300033569336
2018-10-01,75.36000061035156
2019-06-14,75.81999969482422
2019-05-13,76.08000183105469
2019-04-11,75.80999755859375
2019-02-06,75.73999786376953
2019-09-18,76.01000213623047
2020-02-03,76.38999938964844
2020-04-22,77.19000244140625
2019-11-19,76.87999725341797
2020-02-06,76.75
2019-11-22,76.45999908447266
2019-03-25,76.5
2019-02-21,76.44999694824219
2018-12-19,76.72000122070312
2018-07-12,76.54000091552734
2018-09-14,76.48999786376953
2018-08-13,75.7699966430664
2018-10-16,74.77999877929688
2019-07-31,73.36000061035156
2019-05-28,73.58000183105469
2019-04-26,71.38999938964844
2020-04-28,69.98999786376953
2019-11-25,70.81999969482422
2020-02-12,70.94999694824219
2020-05-01,72.51000213623047
2020-05-04,72.73999786376953
2019-06-12,73.27999877929688
