Dates,DISH
2018-09-21,2272500.0
2018-07-19,2258700.0
2018-08-20,2020900.0
2018-10-23,4002400.0
2019-05-03,4159300.0
2019-04-01,2385800.0
2019-02-28,2575800.0
2019-11-12,2846100.0
2020-01-30,1594700.0
2019-11-15,2282500.0
2020-04-21,2152900.0
2019-04-16,1691600.0
2019-03-15,1828300.0
2019-02-11,1532600.0
2019-01-10,1429200.0
2019-08-22,8866300.0
2018-11-07,3577100.0
2018-08-03,1852600.0
2018-09-04,2398900.0
2019-06-19,1321300.0
2019-09-23,2316300.0
2019-11-18,1993500.0
2020-02-05,3947300.0
2020-04-24,4089400.0
2019-03-29,3509100.0
2019-11-21,3142800.0
2020-04-27,2743500.0
2020-02-11,1767300.0
2020-04-30,4272800.0
2019-05-01,2816100.0
2019-02-26,1821400.0
2019-01-25,1555500.0
2018-12-24,1878300.0
2019-09-06,2351100.0
2018-07-17,5006600.0
2018-09-19,6266400.0
2019-08-05,4980000.0
2019-10-08,4286300.0
2019-12-11,3398100.0
2019-11-27,1928400.0
2020-02-14,2894100.0
2020-05-06,1408100.0
2019-01-08,1511100.0
2018-12-07,2627800.0
2019-08-20,1672800.0
2018-11-05,3984700.0
2019-07-19,1810700.0
2018-10-04,1236700.0
2019-06-17,2025300.0
2019-05-16,2312100.0
2018-08-01,1974100.0
2019-03-13,1898100.0
2019-12-03,1528500.0
2020-02-20,1779800.0
2019-12-06,1531100.0
2020-05-12,1117300.0
2019-12-09,1768700.0
2020-02-26,2512900.0
2020-05-15,3400300.0
2019-03-28,4420100.0
2018-09-17,7531900.0
2018-08-16,4948100.0
2018-10-19,4890500.0
2019-04-29,5299500.0
2019-01-23,8483500.0
2019-09-04,5526100.0
2018-11-20,4973800.0
2019-07-02,3250900.0
2019-05-31,3123700.0
2019-12-12,3582700.0
2020-05-18,4002300.0
2019-09-27,3620000.0
2020-03-03,1695100.0
2020-05-21,1591200.0
2019-05-14,2169600.0
2018-08-31,2215000.0
2018-07-30,1794400.0
2018-10-02,1536500.0
2019-04-12,2172900.0
2019-03-11,2221900.0
2019-02-07,1449000.0
2019-07-17,1649300.0
2019-09-19,2843100.0
2019-10-21,2353600.0
2019-12-18,2494500.0
2020-03-06,2192200.0
2019-10-03,2423200.0
2020-03-09,1489500.0
2020-05-27,1677100.0
2019-12-24,2021100.0
2020-03-12,2121600.0
2018-12-20,2537600.0
2019-08-01,2202700.0
2018-08-14,3048900.0
2018-07-13,4271100.0
2018-10-17,2577600.0
2019-05-29,3123100.0
2019-03-26,5370000.0
2019-02-22,4658000.0
2019-10-04,1980700.0
2019-11-05,2859200.0
2019-12-27,4072200.0
2020-06-02,1791800.0
2019-12-30,2251000.0
2020-03-18,1460900.0
2020-06-05,3153800.0
2019-07-15,1959000.0
2018-12-03,1756100.0
2019-06-13,1463500.0
2019-01-04,1537700.0
2018-08-29,1432700.0
2019-02-05,1055000.0
2018-11-01,1421100.0
2019-08-16,1414000.0
2019-04-10,1282600.0
2019-09-17,1507600.0
2019-10-15,1900600.0
2020-01-02,923300.0
2020-06-08,967100.0
2019-10-18,1549500.0
2020-03-24,979000.0
2020-06-11,1227000.0
2020-01-08,1217200.0
2019-04-25,1123100.0
2019-07-30,1202700.0
2019-02-20,2044400.0
2018-07-11,1443800.0
2018-09-13,1429900.0
2018-10-15,1079300.0
2019-06-28,1399900.0
2018-12-18,1918300.0
2018-11-16,1295000.0
2019-10-02,1449100.0
2020-03-27,1451900.0
2020-01-10,2464000.0
2019-10-24,5566700.0
2020-03-30,2285400.0
2020-06-17,2589700.0
2020-01-14,2547200.0
2020-04-02,1613700.0
2019-01-02,1075800.0
2019-08-14,1605800.0
2018-10-30,2114400.0
2019-06-11,1408600.0
2019-05-10,1698700.0
2019-04-08,3484000.0
2018-08-27,3549500.0
2018-07-26,2772700.0
2018-09-28,2625200.0
2019-03-07,2059900.0
2019-10-30,1725300.0
2020-01-17,2849700.0
2020-06-23,2584100.0
2020-04-08,2414200.0
2020-06-26,2642200.0
2019-03-22,3243900.0
2019-01-17,2670200.0
2019-08-29,1638400.0
2018-11-14,2631800.0
2019-06-26,2545800.0
2018-09-11,1366000.0
2018-07-09,1569700.0
2018-08-10,1585100.0
2019-04-23,4240400.0
2019-09-30,3317600.0
2020-01-23,4031800.0
2019-11-08,1197400.0
2020-04-14,412500.0
2019-11-11,1195600.0
2020-01-29,1440900.0
2020-04-17,1227900.0
2018-07-24,1946100.0
2018-09-26,1763500.0
2019-05-08,1277600.0
2019-03-05,1833900.0
2019-02-01,2108800.0
2018-12-31,1829100.0
2018-11-29,1341600.0
2019-08-12,1656800.0
2019-07-11,1305700.0
2019-09-13,2426500.0
2019-11-14,1547600.0
2020-04-20,1326700.0
2020-02-04,3427500.0
2020-04-23,3111400.0
2018-12-14,2177600.0
2019-08-27,1895300.0
2018-08-08,3801200.0
2018-10-11,3666700.0
2018-11-12,2278300.0
2019-07-26,2437200.0
2019-06-24,2099000.0
2019-05-23,2880400.0
2019-03-20,1865600.0
2019-01-15,2413800.0
2019-11-20,3596500.0
2020-02-07,2459900.0
2020-02-10,2712800.0
2020-04-29,2790900.0
2019-11-26,15537300.0
2020-02-13,9039600.0
2019-01-30,5598800.0
2018-08-23,3277900.0
2018-09-24,5293000.0
2018-11-27,5084700.0
2018-10-26,3135500.0
2019-07-09,2387500.0
2019-06-07,3718200.0
2019-05-06,3702600.0
2019-04-04,2622900.0
2019-09-11,6592600.0
2019-11-29,7459000.0
2020-05-05,3272200.0
2019-12-02,3534000.0
2020-02-19,4409600.0
2020-05-08,3994400.0
2019-05-21,6281400.0
2019-03-18,6161800.0
2018-09-07,3380400.0
2018-08-06,4436800.0
2018-10-09,5897100.0
2019-02-14,5995900.0
2018-12-12,4947700.0
2019-07-24,5977400.0
2019-09-26,3880600.0
2019-10-28,5842300.0
2019-12-05,7205500.0
2020-05-11,4815400.0
2019-07-03,3781000.0
2020-02-25,5072300.0
2020-05-14,5171400.0
2020-02-28,2741700.0
2019-08-08,3242900.0
2019-06-05,4078300.0
2018-07-20,3652500.0
2018-08-21,3260500.0
