Dates,AFL
2018-06-20,2995300.0
2018-06-21,2251400.0
2018-06-25,3291100.0
2018-06-22,2880500.0
2018-06-26,2112100.0
2018-06-27,2441600.0
2018-06-28,3349900.0
2018-06-29,4264100.0
2018-07-02,2289000.0
2018-07-03,1478000.0
2018-07-05,3091600.0
2018-07-16,2610400.0
2018-09-18,3045200.0
2019-01-24,2323400.0
2019-09-05,3894000.0
2018-11-21,3002700.0
2020-01-13,2321700.0
2020-04-01,3541000.0
2020-06-19,2616100.0
2019-10-29,2868200.0
2020-01-16,2741900.0
2020-06-22,2756100.0
2018-10-03,2853000.0
2018-07-31,2665200.0
2019-03-12,2272600.0
2019-02-08,2637800.0
2019-01-07,5349000.0
2018-12-06,3707500.0
2019-08-19,5180600.0
2019-07-18,3958700.0
2019-05-15,2520200.0
2019-09-20,3059200.0
2019-11-01,2051000.0
2020-04-07,2137300.0
2020-06-25,1884900.0
2020-06-16,2060200.0
2019-11-04,2491500.0
2020-01-22,4607100.0
2019-11-07,2392200.0
2020-04-13,2603500.0
2019-07-01,3037700.0
2019-05-30,2895400.0
2018-08-15,2003100.0
2018-10-18,2982800.0
2019-03-27,2404700.0
2019-01-22,1775600.0
2018-12-21,1624700.0
2019-09-03,1814400.0
2018-11-19,2271100.0
2019-08-02,2369700.0
2020-01-28,1776400.0
2020-04-16,4738400.0
2019-11-13,2545700.0
2020-01-31,2444700.0
2018-12-04,2346800.0
2018-11-02,2546700.0
2019-07-16,3073400.0
2018-08-30,2390500.0
2018-10-01,2249100.0
2019-06-14,1965900.0
2019-05-13,2480800.0
2019-04-11,2724600.0
2019-02-06,2830600.0
2019-09-18,3455300.0
2020-02-03,2464400.0
2020-04-22,4231500.0
2019-11-19,2243300.0
2020-02-06,1853600.0
2019-11-22,3656800.0
2019-03-25,1893900.0
2019-02-21,2587700.0
2018-12-19,1867800.0
2018-07-12,2137300.0
2018-09-14,2230800.0
2018-08-13,4248000.0
2018-10-16,2855000.0
2019-07-31,2797700.0
2019-05-28,2502700.0
2019-04-26,5452500.0
2020-04-28,6241100.0
2019-11-25,4444400.0
2020-02-12,3796700.0
2020-05-01,2307500.0
2020-05-04,3328800.0
2019-06-12,2941100.0
2019-04-09,3048700.0
2019-03-08,3740100.0
2019-02-04,4169200.0
2018-07-27,4830700.0
2018-08-28,4449700.0
2019-01-03,4573700.0
2019-08-15,3727000.0
2018-10-31,4293800.0
2019-09-16,4087100.0
2020-02-18,3257400.0
2020-05-07,3519100.0
2018-08-17,3075200.0
2019-12-04,2302100.0
2020-02-21,2974300.0
2018-12-17,2895200.0
2019-08-30,2256100.0
2018-11-15,3852100.0
2019-07-29,3894700.0
2019-06-27,4685400.0
2019-04-24,3102000.0
2018-07-10,3513700.0
2018-09-12,3476900.0
2019-02-19,4743000.0
2019-01-18,3737200.0
2020-02-24,1347900.0
2020-05-13,2222500.0
2019-12-10,2559300.0
2020-02-27,3527300.0
2019-12-13,2626800.0
2020-05-19,5432100.0
2019-03-06,5199900.0
2018-11-30,4680700.0
2019-08-13,5326700.0
2019-07-12,3814800.0
2019-06-10,3516400.0
2019-05-09,3246800.0
2018-07-25,2859600.0
2018-09-27,7666400.0
2018-10-29,4709000.0
2019-10-16,5062500.0
2019-12-16,4482100.0
2020-03-04,5454300.0
2020-05-22,4935300.0
2019-10-01,8134500.0
2019-12-19,2204300.0
2018-09-10,3960100.0
2019-05-24,3986600.0
2018-08-09,3314600.0
2019-04-22,2702200.0
2019-03-21,4022100.0
2019-01-16,4239700.0
2019-08-28,4761500.0
2018-11-13,3414400.0
2018-10-12,3017000.0
2019-06-25,4501100.0
2020-03-10,3734400.0
2020-05-28,2381800.0
2019-10-07,3603200.0
