Dates,KEY
2018-06-20,20.530000686645508
2018-06-21,20.280000686645508
2018-06-25,20.34000015258789
2018-06-22,19.899999618530273
2018-06-26,19.719999313354492
2018-06-27,19.489999771118164
2018-06-28,19.450000762939453
2018-06-29,19.530000686645508
2018-07-02,19.389999389648438
2018-07-03,19.65999984741211
2018-07-05,19.5
2018-07-16,19.3799991607666
2018-09-18,19.75
2019-01-24,19.950000762939453
2019-09-05,19.90999984741211
2018-11-21,19.68000030517578
2020-01-13,19.399999618530273
2020-04-01,19.6200008392334
2020-06-19,19.790000915527344
2019-10-29,20.040000915527344
2020-01-16,20.1200008392334
2020-06-22,20.489999771118164
2018-10-03,20.540000915527344
2018-07-31,20.799999237060547
2019-03-12,20.690000534057617
2019-02-08,20.889999389648438
2019-01-07,21.020000457763672
2018-12-06,21.139999389648438
2019-08-19,20.860000610351562
2019-07-18,20.989999771118164
2019-05-15,20.889999389648438
2019-09-20,21.200000762939453
2019-11-01,21.15999984741211
2020-04-07,21.350000381469727
2020-06-25,21.43000030517578
2020-06-16,21.510000228881836
2019-11-04,21.219999313354492
2020-01-22,21.170000076293945
2019-11-07,21.290000915527344
2020-04-13,21.100000381469727
2019-07-01,21.25
2019-05-30,21.40999984741211
2018-08-15,21.520000457763672
2018-10-18,21.610000610351562
2019-03-27,21.489999771118164
2019-01-22,21.270000457763672
2018-12-21,21.270000457763672
2019-09-03,21.190000534057617
2018-11-19,21.100000381469727
2019-08-02,21.0
2020-01-28,20.940000534057617
2020-04-16,20.850000381469727
2019-11-13,21.0
2020-01-31,21.229999542236328
2018-12-04,21.15999984741211
2018-11-02,21.06999969482422
2019-07-16,20.90999984741211
2018-08-30,20.8700008392334
2018-10-01,20.700000762939453
2019-06-14,19.829999923706055
2019-05-13,19.81999969482422
2019-04-11,19.799999237060547
2019-02-06,19.65999984741211
2019-09-18,19.739999771118164
2020-02-03,20.260000228881836
2020-04-22,20.670000076293945
2019-11-19,20.559999465942383
2020-02-06,20.530000686645508
2019-11-22,20.190000534057617
2019-03-25,19.959999084472656
2019-02-21,19.81999969482422
2018-12-19,19.809999465942383
2018-07-12,19.709999084472656
2018-09-14,19.809999465942383
2018-08-13,20.25
2018-10-16,20.190000534057617
2019-07-31,20.219999313354492
2019-05-28,20.309999465942383
2019-04-26,19.899999618530273
2020-04-28,19.229999542236328
2019-11-25,18.329999923706055
2020-02-12,18.43000030517578
2020-05-01,18.229999542236328
2020-05-04,18.34000015258789
2019-06-12,17.600000381469727
2019-04-09,17.81999969482422
2019-03-08,17.200000762939453
2019-02-04,16.81999969482422
2018-07-27,16.479999542236328
2018-08-28,16.610000610351562
2019-01-03,16.790000915527344
2019-08-15,17.239999771118164
2018-10-31,17.40999984741211
2019-09-16,18.0
2020-02-18,18.139999389648438
2020-05-07,18.270000457763672
2018-08-17,18.200000762939453
2019-12-04,18.25
2020-02-21,18.350000381469727
2018-12-17,18.59000015258789
2019-08-30,18.690000534057617
2018-11-15,18.43000030517578
2019-07-29,18.270000457763672
2019-06-27,17.920000076293945
2019-04-24,17.81999969482422
2018-07-10,18.219999313354492
2018-09-12,18.100000381469727
2019-02-19,17.760000228881836
2019-01-18,17.649999618530273
2020-02-24,17.729999542236328
2020-05-13,18.030000686645508
2019-12-10,18.06999969482422
2020-02-27,17.889999389648438
2019-12-13,18.06999969482422
2020-05-19,18.06999969482422
2019-03-06,18.18000030517578
2018-11-30,17.299999237060547
2019-08-13,16.690000534057617
2019-07-12,16.6299991607666
2019-06-10,15.84000015258789
2019-05-09,15.84000015258789
2018-07-25,15.84000015258789
2018-09-27,15.420000076293945
2018-10-29,15.09000015258789
2019-10-16,14.880000114440918
2019-12-16,14.670000076293945
2020-03-04,14.239999771118164
2020-05-22,14.15999984741211
2019-10-01,14.229999542236328
2019-12-19,13.819999694824219
2018-09-10,13.65999984741211
2019-05-24,14.069999694824219
2018-08-09,14.539999961853027
2019-04-22,14.510000228881836
2019-03-21,14.5
2019-01-16,14.899999618530273
2019-08-28,15.329999923706055
2018-11-13,15.420000076293945
2018-10-12,15.430000305175781
2019-06-25,15.5600004196167
2020-03-10,15.609999656677246
2020-05-28,15.680000305175781
2019-10-07,15.760000228881836
2020-03-13,15.930000305175781
2019-10-10,16.420000076293945
2020-03-16,15.90999984741211
2020-06-03,16.239999771118164
2018-11-28,16.719999313354492
2018-09-25,16.75
2018-07-23,16.6200008392334
2018-08-24,16.790000915527344
2019-07-10,16.639999389648438
2019-05-07,16.739999771118164
2019-04-05,16.6200008392334
2019-03-04,16.219999313354492
2019-01-31,16.510000228881836
2019-09-12,16.389999389648438
2019-12-31,16.280000686645508
2020-03-19,16.270000457763672
2020-01-03,16.799999237060547
2020-06-09,16.719999313354492
2019-02-15,16.920000076293945
2019-01-14,17.170000076293945
2018-07-06,17.059999465942383
2018-08-07,16.809999465942383
2018-10-10,17.170000076293945
2018-12-13,17.299999237060547
2019-08-26,17.610000610351562
2019-07-25,17.59000015258789
2019-05-22,17.450000762939453
2019-03-19,17.579999923706055
2020-01-06,17.389999389648438
2020-03-25,17.3799991607666
2020-06-12,17.579999923706055
2019-10-22,17.40999984741211
2020-01-09,17.059999465942383
2020-06-15,16.860000610351562
2019-10-25,16.8799991607666
2020-03-31,16.579999923706055
2020-06-18,16.479999542236328
2019-04-03,16.780000686645508
2018-08-22,17.0
2018-10-25,17.09000015258789
2019-01-29,17.280000686645508
2018-12-28,17.329999923706055
2018-11-26,17.399999618530273
2019-08-09,17.43000030517578
2019-07-08,16.510000228881836
2019-06-06,15.899999618530273
