Dates,WAT
2018-06-20,364000.0
2018-06-21,677100.0
2018-06-25,510500.0
2018-06-22,781300.0
2018-06-26,441800.0
2018-06-27,711500.0
2018-06-28,387200.0
2018-06-29,583500.0
2018-07-02,381900.0
2018-07-03,207600.0
2018-07-05,600100.0
2018-07-16,369800.0
2018-09-18,438200.0
2019-01-24,427500.0
2019-09-05,425300.0
2018-11-21,417700.0
2020-01-13,564500.0
2020-04-01,715100.0
2020-06-19,763300.0
2019-10-29,652800.0
2020-01-16,512100.0
2020-06-22,532200.0
2018-10-03,659800.0
2018-07-31,1220800.0
2019-03-12,922300.0
2019-02-08,519400.0
2019-01-07,675300.0
2018-12-06,420000.0
2019-08-19,784500.0
2019-07-18,339200.0
2019-05-15,380400.0
2019-09-20,293800.0
2019-11-01,430900.0
2020-04-07,518100.0
2020-06-25,293600.0
2020-06-16,424000.0
2019-11-04,327700.0
2020-01-22,582800.0
2019-11-07,480700.0
2020-04-13,410200.0
2019-07-01,491300.0
2019-05-30,355900.0
2018-08-15,414100.0
2018-10-18,509600.0
2019-03-27,390400.0
2019-01-22,459200.0
2018-12-21,378800.0
2019-09-03,450500.0
2018-11-19,367300.0
2019-08-02,386100.0
2020-01-28,335400.0
2020-04-16,435000.0
2019-11-13,519200.0
2020-01-31,472900.0
2018-12-04,546500.0
2018-11-02,430700.0
2019-07-16,349500.0
2018-08-30,425300.0
2018-10-01,678200.0
2019-06-14,539600.0
2019-05-13,559500.0
2019-04-11,531800.0
2019-02-06,493300.0
2019-09-18,406500.0
2020-02-03,630700.0
2020-04-22,791100.0
2019-11-19,417600.0
2020-02-06,365500.0
2019-11-22,336700.0
2019-03-25,302800.0
2019-02-21,429300.0
2018-12-19,505600.0
2018-07-12,494300.0
2018-09-14,292900.0
2018-08-13,493900.0
2018-10-16,595200.0
2019-07-31,1032000.0
2019-05-28,739100.0
2019-04-26,736100.0
2020-04-28,1223800.0
2019-11-25,728600.0
2020-02-12,596400.0
2020-05-01,550800.0
2020-05-04,485600.0
2019-06-12,655700.0
2019-04-09,738400.0
2019-03-08,735700.0
2019-02-04,2671300.0
2018-07-27,1223700.0
2018-08-28,825100.0
2019-01-03,1061600.0
2019-08-15,831100.0
2018-10-31,712400.0
2019-09-16,709700.0
2020-02-18,545600.0
2020-05-07,529500.0
2018-08-17,548500.0
2019-12-04,410900.0
2020-02-21,579500.0
2018-12-17,390500.0
2019-08-30,374200.0
2018-11-15,446100.0
2019-07-29,379100.0
2019-06-27,523700.0
2019-04-24,475600.0
2018-07-10,500100.0
2018-09-12,495600.0
2019-02-19,518600.0
2019-01-18,562200.0
2020-02-24,227100.0
2020-05-13,476700.0
2019-12-10,506600.0
2020-02-27,761300.0
2019-12-13,933600.0
2020-05-19,1044100.0
2019-03-06,677200.0
2018-11-30,661100.0
2019-08-13,794600.0
2019-07-12,593200.0
2019-06-10,562900.0
2019-05-09,522400.0
2018-07-25,601100.0
2018-09-27,350400.0
2018-10-29,468300.0
2019-10-16,700700.0
2019-12-16,544800.0
2020-03-04,703700.0
2020-05-22,494300.0
2019-10-01,1126500.0
2019-12-19,302800.0
2018-09-10,478900.0
2019-05-24,491600.0
2018-08-09,390100.0
2019-04-22,375000.0
2019-03-21,641600.0
2019-01-16,830900.0
2019-08-28,754600.0
2018-11-13,634200.0
2018-10-12,689200.0
2019-06-25,494800.0
2020-03-10,503500.0
2020-05-28,300200.0
2019-10-07,484600.0
2020-03-13,441800.0
2019-10-10,776200.0
2020-03-16,539600.0
2020-06-03,723900.0
2018-11-28,771600.0
2018-09-25,2384500.0
2018-07-23,1110300.0
2018-08-24,1003000.0
2019-07-10,813400.0
2019-05-07,702100.0
2019-04-05,852100.0
2019-03-04,751000.0
2019-01-31,680300.0
2019-09-12,826600.0
2019-12-31,414000.0
2020-03-19,544200.0
2020-01-03,507300.0
2020-06-09,543800.0
2019-02-15,419300.0
2019-01-14,576600.0
2018-07-06,540700.0
2018-08-07,647700.0
2018-10-10,592100.0
2018-12-13,498500.0
2019-08-26,402200.0
2019-07-25,451200.0
2019-05-22,330100.0
2019-03-19,753100.0
2020-01-06,648600.0
2020-03-25,443900.0
2020-06-12,797700.0
2019-10-22,760600.0
2020-01-09,608100.0
2020-06-15,522700.0
2019-10-25,462100.0
2020-03-31,532000.0
2020-06-18,456300.0
2019-04-03,481100.0
2018-08-22,548600.0
2018-10-25,577400.0
2019-01-29,539000.0
2018-12-28,1308200.0
2018-11-26,522000.0
2019-08-09,466300.0
2019-07-08,465500.0
2019-06-06,363800.0
2019-09-10,421300.0
2020-01-15,415400.0
2020-04-03,391600.0
2019-10-31,414700.0
2020-04-06,350200.0
2020-06-24,455700.0
2018-11-09,384500.0
2019-07-23,382200.0
2019-06-21,500500.0
2019-05-20,564300.0
2019-04-18,430200.0
2018-09-06,296800.0
2018-10-08,659900.0
2019-02-13,399700.0
2018-12-11,310300.0
2019-09-25,389400.0
2020-01-21,346300.0
2020-04-09,697100.0
2019-11-06,826200.0
2020-01-24,577500.0
2020-01-27,601700.0
2020-04-15,3500800.0
2018-12-26,1513700.0
2019-08-07,1212600.0
2019-06-04,524300.0
2018-09-21,457000.0
2018-07-19,514400.0
2018-08-20,391700.0
2018-10-23,470800.0
2019-05-03,455200.0
2019-04-01,438500.0
2019-02-28,652600.0
2019-11-12,511500.0
2020-01-30,534800.0
2019-11-15,912300.0
2020-04-21,583800.0
2019-04-16,536500.0
2019-03-15,882400.0
2019-02-11,618600.0
2019-01-10,494000.0
2019-08-22,460200.0
2018-11-07,623000.0
2018-08-03,441100.0
2018-09-04,560700.0
2019-06-19,436000.0
2019-09-23,771700.0
2019-11-18,637300.0
2020-02-05,412400.0
2020-04-24,526000.0
2019-03-29,575300.0
2019-11-21,592300.0
2020-04-27,534800.0
2020-02-11,712300.0
2020-04-30,345700.0
2019-05-01,389300.0
2019-02-26,558600.0
2019-01-25,870100.0
2018-12-24,695700.0
2019-09-06,502900.0
2018-07-17,685000.0
2018-09-19,565600.0
2019-08-05,611500.0
2019-10-08,604200.0
2019-12-11,993500.0
2019-11-27,588500.0
2020-02-14,539600.0
2020-05-06,527700.0
2019-01-08,617900.0
2018-12-07,870100.0
2019-08-20,716700.0
2018-11-05,627600.0
2019-07-19,388900.0
2018-10-04,505800.0
2019-06-17,530600.0
2019-05-16,737000.0
2018-08-01,572900.0
2019-03-13,573800.0
2019-12-03,624300.0
2020-02-20,573400.0
2019-12-06,532600.0
2020-05-12,740300.0
2019-12-09,532400.0
2020-02-26,560200.0
2020-05-15,420500.0
2019-03-28,437300.0
2018-09-17,587200.0
2018-08-16,344300.0
2018-10-19,623800.0
2019-04-29,804400.0
2019-01-23,1168600.0
2019-09-04,675500.0
2018-11-20,553600.0
2019-07-02,472000.0
2019-05-31,644000.0
2019-12-12,521700.0
2020-05-18,541100.0
2019-09-27,399700.0
2020-03-03,490400.0
2020-05-21,590300.0
2019-05-14,548800.0
2018-08-31,561000.0
2018-07-30,463400.0
2018-10-02,651800.0
2019-04-12,542900.0
2019-03-11,376400.0
2019-02-07,287100.0
2019-07-17,362800.0
2019-09-19,657200.0
2019-10-21,449200.0
2019-12-18,370100.0
2020-03-06,281000.0
2019-10-03,437500.0
2020-03-09,497200.0
2020-05-27,641000.0
2019-12-24,466400.0
2020-03-12,607400.0
2018-12-20,482100.0
2019-08-01,373300.0
2018-08-14,607900.0
2018-07-13,845200.0
2018-10-17,690900.0
2019-05-29,481600.0
2019-03-26,478800.0
2019-02-22,439600.0
2019-10-04,509500.0
2019-11-05,521600.0
2019-12-27,1334100.0
2020-06-02,449300.0
2019-12-30,616000.0
2020-03-18,501700.0
2020-06-05,509400.0
2019-07-15,557800.0
2018-12-03,459600.0
2019-06-13,497100.0
2019-01-04,528400.0
2018-08-29,695700.0
2019-02-05,420900.0
2018-11-01,394000.0
2019-08-16,1008800.0
2019-04-10,626800.0
2019-09-17,584400.0
2019-10-15,538600.0
2020-01-02,574100.0
2020-06-08,374000.0
2019-10-18,327300.0
2020-03-24,325600.0
2020-06-11,348900.0
2020-01-08,498500.0
2019-04-25,628400.0
2019-07-30,817100.0
2019-02-20,537200.0
2018-07-11,447400.0
2018-09-13,658800.0
2018-10-15,1122100.0
2019-06-28,566800.0
2018-12-18,525000.0
2018-11-16,496200.0
2019-10-02,764000.0
2020-03-27,399900.0
2020-01-10,365400.0
2019-10-24,423000.0
2020-03-30,395500.0
2020-06-17,289700.0
2020-01-14,377400.0
2020-04-02,407900.0
2019-01-02,283100.0
2019-08-14,362600.0
2018-10-30,439100.0
2019-06-11,313100.0
2019-05-10,438700.0
2019-04-08,327900.0
2018-08-27,329300.0
2018-07-26,487300.0
2018-09-28,386700.0
2019-03-07,233900.0
2019-10-30,215800.0
2020-01-17,322400.0
2020-06-23,341500.0
2020-04-08,599100.0
2020-06-26,425100.0
2019-03-22,400700.0
2019-01-17,350700.0
2019-08-29,330300.0
2018-11-14,340600.0
2019-06-26,460100.0
2018-09-11,441200.0
2018-07-09,600000.0
2018-08-10,450300.0
2019-04-23,579200.0
2019-09-30,561700.0
2020-01-23,1189500.0
2019-11-08,403500.0
2020-04-14,232700.0
2019-11-11,280600.0
2020-01-29,284500.0
2020-04-17,246500.0
2018-07-24,340400.0
2018-09-26,420100.0
2019-05-08,389700.0
2019-03-05,406500.0
2019-02-01,420800.0
2018-12-31,682500.0
2018-11-29,466100.0
2019-08-12,451100.0
2019-07-11,386400.0
2019-09-13,478900.0
2019-11-14,445800.0
2020-04-20,363000.0
2020-02-04,473000.0
2020-04-23,735600.0
2018-12-14,409800.0
2019-08-27,517100.0
2018-08-08,513800.0
2018-10-11,537000.0
2018-11-12,411900.0
2019-07-26,316300.0
2019-06-24,781500.0
2019-05-23,537900.0
2019-03-20,627000.0
2019-01-15,1387500.0
2019-11-20,799700.0
2020-02-07,463800.0
2020-02-10,467800.0
2020-04-29,378500.0
2019-11-26,463000.0
2020-02-13,294700.0
2019-01-30,379300.0
2018-08-23,352800.0
2018-09-24,694400.0
2018-11-27,336900.0
2018-10-26,523200.0
2019-07-09,471100.0
2019-06-07,398400.0
2019-05-06,581200.0
2019-04-04,685400.0
2019-09-11,576900.0
2019-11-29,1167500.0
2020-05-05,961100.0
2019-12-02,719700.0
2020-02-19,467000.0
2020-05-08,731500.0
2019-05-21,596800.0
2019-03-18,691700.0
2018-09-07,559000.0
2018-08-06,661000.0
2018-10-09,1081800.0
2019-02-14,1024900.0
2018-12-12,740400.0
2019-07-24,1050700.0
2019-09-26,669900.0
2019-10-28,679600.0
2019-12-05,811700.0
2020-05-11,635400.0
2019-07-03,732700.0
2020-02-25,622600.0
2020-05-14,532600.0
2020-02-28,499100.0
2019-08-08,538400.0
2019-06-05,505100.0
2018-07-20,579800.0
2018-08-21,443600.0
2018-10-24,591100.0
2019-04-02,682400.0
2019-03-01,574100.0
2019-01-28,432300.0
2018-12-27,605800.0
2019-09-09,436000.0
2020-03-02,475300.0
2020-05-20,546100.0
2019-12-17,585200.0
2020-03-05,362800.0
