Dates,NFLX
2007-02-12,3.2842857837677
2007-02-13,3.2614285945892334
2007-02-15,3.171428680419922
2007-02-14,3.2014286518096924
2007-02-16,3.1971428394317627
2007-02-20,3.27571439743042
2007-02-21,3.317142963409424
2007-02-22,3.3457143306732178
2007-02-23,3.357142925262451
2007-02-26,3.0714285373687744
2007-02-27,3.1571428775787354
2007-03-28,3.155714273452759
2007-11-07,3.1571428775787354
2007-09-04,3.1814286708831787
2007-08-03,3.0071427822113037
2008-04-15,2.98714280128479
2008-05-21,3.009999990463257
2008-08-08,3.0299999713897705
2008-08-11,2.981428623199463
2008-01-25,2.9571428298950195
2007-05-14,2.9285714626312256
2007-04-12,2.9000000953674316
2007-12-24,2.984285831451416
2007-09-19,2.9671428203582764
2008-04-30,3.0114285945892334
2007-07-17,3.0485713481903076
2007-06-15,3.1685714721679688
2008-02-26,3.2585713863372803
2008-05-27,3.27571439743042
2008-08-14,3.281428575515747
2008-05-30,3.319999933242798
2008-08-20,3.2957143783569336
2007-08-01,3.268571376800537
2008-03-12,3.299999952316284
2007-03-26,3.312857151031494
2007-05-29,3.3585715293884277
2007-04-27,3.338571310043335
2008-01-08,3.440000057220459
2007-12-07,3.461428642272949
2007-11-05,3.497142791748047
2007-10-04,3.4757142066955566
2008-05-15,3.4514286518096924
2008-06-05,3.4857141971588135
2008-08-26,3.4914286136627197
2007-10-19,3.405714273452759
2007-09-17,2.9828572273254395
2007-08-16,2.997142791748047
2008-04-28,3.1114284992218018
2007-04-10,3.091428518295288
2007-03-09,3.0514285564422607
2007-06-13,3.054285764694214
2008-03-27,3.0714285373687744
2008-01-23,3.132857084274292
2007-11-20,3.1385715007781982
2008-06-11,3.117142915725708
2008-08-29,3.127142906188965
2007-12-05,3.1414284706115723
2007-10-02,3.142857074737549
2007-04-25,3.1628570556640625
2007-08-31,3.1285715103149414
2007-07-30,3.1371428966522217
2008-04-11,3.117142915725708
2007-06-28,3.091428518295288
2008-03-10,3.1028571128845215
2008-02-07,3.088571310043335
2008-05-13,3.031428575515747
2008-06-23,3.0742857456207275
2007-07-13,3.101428508758545
2008-03-25,3.122857093811035
2008-02-22,3.182857036590576
2007-12-20,3.2571427822113037
2007-05-10,3.1985714435577393
2007-03-07,3.2014286518096924
2007-06-11,3.0485713481903076
2007-10-17,3.0814285278320312
2007-08-14,3.1242856979370117
2008-05-28,3.049999952316284
2008-06-26,3.049999952316284
2007-05-31,3.0299999713897705
2008-07-02,3.044285774230957
2007-08-29,3.2542858123779297
2008-04-09,3.291428565979004
2007-06-26,3.1157143115997314
2008-02-05,2.841428518295288
2008-01-04,2.721428632736206
2007-03-22,2.727142810821533
2007-05-25,2.8028571605682373
2007-04-23,2.8428571224212646
2007-12-03,2.8428571224212646
2007-11-01,2.787142753601074
2008-07-08,2.787142753601074
2007-12-18,2.799999952316284
2007-11-16,2.794285774230957
2007-10-15,2.7857143878936768
2007-09-13,2.787142753601074
2008-04-24,2.825714349746704
2007-07-11,2.765714168548584
2008-02-20,2.7671427726745605
2007-03-05,2.7985713481903076
2007-05-08,2.8242857456207275
2008-06-27,2.8342857360839844
2008-07-11,2.901428461074829
2008-07-14,2.857142925262451
2008-03-06,2.8428571224212646
2007-05-23,2.841428518295288
2008-01-02,2.859999895095825
2007-03-20,2.857142925262451
2007-10-30,2.8585715293884277
2007-09-28,2.8214285373687744
2007-08-27,2.8214285373687744
2007-07-26,2.799999952316284
2008-04-07,2.452857255935669
2008-05-09,2.231428623199463
2008-07-23,2.2842857837677
2007-09-11,2.3214285373687744
2007-04-04,2.4128570556640625
2007-06-07,2.427142858505249
2007-08-10,2.442857027053833
2008-04-22,2.3971428871154785
2007-07-09,2.421428680419922
2008-01-17,2.3628571033477783
2007-11-14,2.357142925262451
2008-06-25,2.421428680419922
2008-08-28,2.4785714149475098
2008-07-29,2.3742856979370117
2007-11-29,2.390000104904175
2007-05-21,2.452857255935669
