Dates,NSC
2018-06-20,152.25999450683594
2018-06-21,151.25
2018-06-25,153.07000732421875
2018-06-22,154.2100067138672
2018-06-26,152.5399932861328
2018-06-27,153.67999267578125
2018-06-28,150.75999450683594
2018-06-29,152.94000244140625
2018-07-02,152.7899932861328
2018-07-03,153.77000427246094
2018-07-05,153.22000122070312
2018-07-16,155.27999877929688
2018-09-18,157.3699951171875
2019-01-24,159.0399932861328
2019-09-05,157.33999633789062
2018-11-21,158.3300018310547
2020-01-13,160.36000061035156
2020-04-01,160.30999755859375
2020-06-19,155.75999450683594
2019-10-29,161.0
2020-01-16,160.83999633789062
2020-06-22,162.6699981689453
2018-10-03,163.9499969482422
2018-07-31,164.4499969482422
2019-03-12,168.75999450683594
2019-02-08,172.80999755859375
2019-01-07,169.74000549316406
2018-12-06,170.94000244140625
2019-08-19,171.3699951171875
2019-07-18,169.74000549316406
2019-05-15,169.72000122070312
2019-09-20,171.7100067138672
2019-11-01,173.5
2020-04-07,174.42999267578125
2020-06-25,173.49000549316406
2020-06-16,173.17999267578125
2019-11-04,172.6199951171875
2020-01-22,173.22999572753906
2019-11-07,173.75
2020-04-13,172.97999572753906
2019-07-01,174.1699981689453
2019-05-30,175.0
2018-08-15,176.1199951171875
2018-10-18,176.69000244140625
2019-03-27,176.24000549316406
2019-01-22,174.82000732421875
2018-12-21,175.86000061035156
2019-09-03,177.0
2018-11-19,176.7899932861328
2019-08-02,177.0800018310547
2020-01-28,175.61000061035156
2020-04-16,174.3699951171875
2019-11-13,174.80999755859375
2020-01-31,175.1699981689453
2018-12-04,176.05999755859375
2018-11-02,177.85000610351562
2019-07-16,180.32000732421875
2018-08-30,179.9600067138672
2018-10-01,179.6300048828125
2019-06-14,178.7899932861328
2019-05-13,180.13999938964844
2019-04-11,180.9600067138672
2019-02-06,186.91000366210938
2019-09-18,186.8000030517578
2020-02-03,186.8300018310547
2020-04-22,185.80999755859375
2019-11-19,185.11000061035156
2020-02-06,184.1199951171875
2019-11-22,182.8699951171875
2019-03-25,182.9600067138672
2019-02-21,182.5500030517578
2018-12-19,185.50999450683594
2018-07-12,183.99000549316406
2018-09-14,183.49000549316406
2018-08-13,183.77000427246094
2018-10-16,184.6300048828125
2019-07-31,184.5399932861328
2019-05-28,184.75
2019-04-26,181.72000122070312
2020-04-28,174.3699951171875
2019-11-25,172.42999267578125
2020-02-12,171.32000732421875
2020-05-01,173.52999877929688
2020-05-04,173.97000122070312
2019-06-12,168.02999877929688
2019-04-09,165.3800048828125
2019-03-08,165.0500030517578
2019-02-04,161.35000610351562
2018-07-27,164.0
2018-08-28,167.41000366210938
2019-01-03,163.5399932861328
2019-08-15,165.89999389648438
2018-10-31,166.75
2019-09-16,170.30999755859375
2020-02-18,169.69000244140625
2020-05-07,171.60000610351562
2018-08-17,169.77000427246094
2019-12-04,168.94000244140625
2020-02-21,173.47999572753906
2018-12-17,173.66000366210938
2019-08-30,172.5399932861328
2018-11-15,171.47999572753906
2019-07-29,169.16000366210938
2019-06-27,170.47000122070312
2019-04-24,173.27999877929688
2018-07-10,174.64999389648438
2018-09-12,172.02000427246094
2019-02-19,167.4499969482422
2019-01-18,168.3300018310547
2020-02-24,165.6300048828125
