Dates,NSC
2018-06-20,151.75999450683594
2018-06-21,150.83999633789062
2018-06-25,151.3800048828125
2018-06-22,154.1999969482422
2018-06-26,152.5399932861328
2018-06-27,151.4199981689453
2018-06-28,149.1300048828125
2018-06-29,149.89999389648438
2018-07-02,150.3699951171875
2018-07-03,152.7899932861328
2018-07-05,151.7100067138672
2018-07-16,153.3800048828125
2018-09-18,155.6199951171875
2019-01-24,157.10000610351562
2019-09-05,157.14999389648438
2018-11-21,157.3800048828125
2020-01-13,157.2100067138672
2020-04-01,160.30999755859375
2020-06-19,155.1999969482422
2019-10-29,158.4499969482422
2020-01-16,157.85000610351562
2020-06-22,159.4600067138672
2018-10-03,161.88999938964844
2018-07-31,163.88999938964844
2019-03-12,156.75
2019-02-08,170.5
2019-01-07,169.5800018310547
2018-12-06,168.32000732421875
2019-08-19,169.22999572753906
2019-07-18,169.0399932861328
2019-05-15,167.16000366210938
2019-09-20,169.5399932861328
2019-11-01,171.47000122070312
2020-04-07,173.05999755859375
2020-06-25,172.85000610351562
2020-06-16,172.52000427246094
2019-11-04,171.0
2020-01-22,172.86000061035156
2019-11-07,171.66000366210938
2020-04-13,172.5
2019-07-01,172.74000549316406
2019-05-30,173.7899932861328
2018-08-15,174.4199981689453
2018-10-18,175.3300018310547
2019-03-27,175.88999938964844
2019-01-22,174.1199951171875
2018-12-21,174.24000549316406
2019-09-03,176.00999450683594
2018-11-19,176.57000732421875
2019-08-02,175.7100067138672
2020-01-28,174.19000244140625
2020-04-16,173.72000122070312
2019-11-13,173.8000030517578
2020-01-31,174.24000549316406
2018-12-04,174.88999938964844
2018-11-02,174.08999633789062
2019-07-16,177.8800048828125
2018-08-30,179.82000732421875
2018-10-01,177.7899932861328
2019-06-14,178.61000061035156
2019-05-13,177.83999633789062
2019-04-11,179.52999877929688
2019-02-06,183.47000122070312
2019-09-18,186.0
2020-02-03,186.2100067138672
2020-04-22,183.99000549316406
2019-11-19,184.0399932861328
2020-02-06,183.33999633789062
2019-11-22,182.2899932861328
2019-03-25,181.38999938964844
2019-02-21,182.0
2018-12-19,182.38999938964844
2018-07-12,183.8800048828125
2018-09-14,182.0800018310547
2018-08-13,183.77000427246094
2018-10-16,183.00999450683594
2019-07-31,182.99000549316406
2019-05-28,184.10000610351562
2019-04-26,181.72000122070312
2020-04-28,171.60000610351562
2019-11-25,170.8000030517578
2020-02-12,170.1699981689453
2020-05-01,170.8800048828125
2020-05-04,173.22999572753906
2019-06-12,166.55999755859375
2019-04-09,164.5500030517578
2019-03-08,163.2899932861328
2019-02-04,161.0500030517578
2018-07-27,160.3699951171875
2018-08-28,165.5500030517578
2019-01-03,161.7899932861328
2019-08-15,163.35000610351562
2018-10-31,161.4600067138672
2019-09-16,167.69000244140625
2020-02-18,168.13999938964844
2020-05-07,169.1999969482422
2018-08-17,169.5
2019-12-04,166.63999938964844
2020-02-21,169.3800048828125
2018-12-17,172.22999572753906
2019-08-30,171.75
2018-11-15,170.66000366210938
2019-07-29,167.75
2019-06-27,167.9199981689453
2019-04-24,166.14999389648438
2018-07-10,172.02999877929688
2018-09-12,171.11000061035156
2019-02-19,167.4499969482422
2019-01-18,163.39999389648438
2020-02-24,164.0399932861328
2020-05-13,164.89999389648438
2019-12-10,163.77000427246094
2020-02-27,163.25999450683594
2019-12-13,167.3699951171875
2020-05-19,168.14999389648438
2019-03-06,173.27000427246094
2018-11-30,171.24000549316406
2019-08-13,163.02999877929688
2019-07-12,162.69000244140625
2019-06-10,156.02999877929688
2019-05-09,159.13999938964844
2018-07-25,158.5500030517578
2018-09-27,157.10000610351562
2018-10-29,155.8300018310547
2019-10-16,150.10000610351562
2019-12-16,148.33999633789062
2020-03-04,148.36000061035156
2020-05-22,146.11000061035156
2019-10-01,146.3300018310547
2019-12-19,143.41000366210938
2018-09-10,140.66000366210938
2019-05-24,145.13999938964844
2018-08-09,149.85000610351562
2019-04-22,148.7899932861328
2019-03-21,146.9600067138672
2019-01-16,148.8699951171875
2019-08-28,146.77000427246094
2018-11-13,150.52000427246094
2018-10-12,154.10000610351562
2019-06-25,156.75999450683594
2020-03-10,158.13999938964844
2020-05-28,160.49000549316406
2019-10-07,162.3300018310547
2020-03-13,163.82000732421875
2019-10-10,163.1300048828125
2020-03-16,162.72000122070312
2020-06-03,166.22999572753906
2018-11-28,168.1199951171875
2018-09-25,165.74000549316406
2018-07-23,166.75
2018-08-24,161.0
2019-07-10,163.9600067138672
2019-05-07,165.77999877929688
2019-04-05,167.92999267578125
2019-03-04,168.25
2019-01-31,167.5
