Dates,OIL
2008-05-06,3108500
2008-07-09,2030500
2009-02-18,2493300
2008-12-16,2123000
2009-05-12,2385700
2009-05-18,2339000
2008-05-21,1305600
2008-12-31,1958300
2008-10-28,3540300
2008-03-18,1292700
2008-02-15,1297600
2008-09-26,1615200
2008-08-25,1687500
2008-07-24,1386500
2009-03-05,1925000
2009-04-06,1367900
2009-05-21,1432600
2008-08-08,954500
2008-07-07,666600
2008-06-05,4673000
2009-01-15,3105000
2008-04-02,1863500
2008-01-29,1353300
2008-11-12,1745600
2008-09-09,2795800
2009-03-20,1127300
2009-04-21,1202200
2009-05-27,2233900
2008-02-11,1755300
2008-09-24,1782000
2008-07-22,1201100
2008-06-20,3156800
2009-03-03,2652500
2008-05-19,1917800
2009-01-30,1694700
2008-02-13,1603800
2008-04-17,1948300
2008-12-29,1437100
2009-05-06,1587100
2008-05-02,1402000
2009-01-13,973600
2008-12-12,1968600
2008-11-10,1037700
2008-10-09,649900
2008-08-06,4135500
2009-03-18,1582400
2008-02-28,2312500
2008-03-31,1727300
2008-06-03,1618800
