Dates,HBI
2018-06-20,21.010000228881836
2018-06-21,21.389999389648438
2018-06-25,22.0
2018-06-22,21.899999618530273
2018-06-26,22.229999542236328
2018-06-27,22.260000228881836
2018-06-28,21.790000915527344
2018-06-29,22.299999237060547
2018-07-02,21.90999984741211
2018-07-03,22.040000915527344
2018-07-05,22.209999084472656
2018-07-16,22.299999237060547
2018-09-18,22.43000030517578
2019-01-24,22.459999084472656
2019-09-05,22.06999969482422
2018-11-21,22.0
2020-01-13,21.68000030517578
2020-04-01,21.690000534057617
2020-06-19,21.84000015258789
2019-10-29,22.020000457763672
2020-01-16,21.8700008392334
2020-06-22,22.149999618530273
2018-10-03,22.270000457763672
2018-07-31,22.110000610351562
2019-03-12,21.610000610351562
2019-02-08,21.809999465942383
2019-01-07,21.90999984741211
2018-12-06,21.75
2019-08-19,22.09000015258789
2019-07-18,18.600000381469727
2019-05-15,18.040000915527344
2019-09-20,18.299999237060547
2019-11-01,17.860000610351562
2020-04-07,18.219999313354492
2020-06-25,18.25
2020-06-16,18.6200008392334
2019-11-04,18.670000076293945
2020-01-22,18.5
2019-11-07,18.360000610351562
2020-04-13,18.110000610351562
2019-07-01,18.299999237060547
2019-05-30,18.329999923706055
2018-08-15,18.540000915527344
2018-10-18,18.969999313354492
2019-03-27,19.049999237060547
2019-01-22,18.350000381469727
2018-12-21,17.709999084472656
2019-09-03,17.6200008392334
2018-11-19,17.5
2019-08-02,17.520000457763672
2020-01-28,17.959999084472656
2020-04-16,17.489999771118164
2019-11-13,17.489999771118164
2020-01-31,17.610000610351562
2018-12-04,17.850000381469727
2018-11-02,17.65999984741211
2019-07-16,17.68000030517578
2018-08-30,17.799999237060547
2018-10-01,17.790000915527344
2019-06-14,17.950000762939453
2019-05-13,17.579999923706055
2019-04-11,17.75
2019-02-06,17.969999313354492
2019-09-18,18.079999923706055
2020-02-03,18.31999969482422
2020-04-22,18.639999389648438
2019-11-19,18.649999618530273
2020-02-06,18.110000610351562
2019-11-22,17.899999618530273
2019-03-25,18.1200008392334
2019-02-21,18.079999923706055
2018-12-19,18.5
2018-07-12,17.969999313354492
2018-09-14,17.950000762939453
2018-08-13,17.780000686645508
2018-10-16,17.329999923706055
2019-07-31,17.09000015258789
2019-05-28,17.40999984741211
2019-04-26,17.31999969482422
2020-04-28,16.59000015258789
2019-11-25,16.389999389648438
2020-02-12,16.350000381469727
2020-05-01,16.709999084472656
2020-05-04,16.989999771118164
2019-06-12,16.809999465942383
2019-04-09,16.540000915527344
2019-03-08,16.309999465942383
2019-02-04,16.399999618530273
2018-07-27,16.75
2018-08-28,16.68000030517578
2019-01-03,16.600000381469727
2019-08-15,16.6299991607666
2018-10-31,16.739999771118164
2019-09-16,17.709999084472656
2020-02-18,16.600000381469727
2020-05-07,16.31999969482422
2018-08-17,15.930000305175781
2019-12-04,16.479999542236328
2020-02-21,16.770000457763672
2018-12-17,16.860000610351562
2019-08-30,16.459999084472656
2018-11-15,16.540000915527344
2019-07-29,16.200000762939453
2019-06-27,16.030000686645508
2019-04-24,15.699999809265137
2018-07-10,15.510000228881836
2018-09-12,14.899999618530273
2019-02-19,14.600000381469727
2019-01-18,15.119999885559082
2020-02-24,15.619999885559082
2020-05-13,15.420000076293945
2019-12-10,15.5600004196167
2020-02-27,15.579999923706055
2019-12-13,15.829999923706055
2020-05-19,15.619999885559082
2019-03-06,16.110000610351562
2018-11-30,16.200000762939453
2019-08-13,15.279999732971191
2019-07-12,15.619999885559082
2019-06-10,15.130000114440918
2019-05-09,15.199999809265137
2018-07-25,14.989999771118164
2018-09-27,14.8100004196167
2018-10-29,13.699999809265137
2019-10-16,13.479999542236328
2019-12-16,13.09000015258789
2020-03-04,12.800000190734863
2020-05-22,12.130000114440918
2019-10-01,12.15999984741211
2019-12-19,11.800000190734863
2018-09-10,11.699999809265137
2019-05-24,12.239999771118164
2018-08-09,12.270000457763672
2019-04-22,12.3100004196167
2019-03-21,12.319999694824219
2019-01-16,12.600000381469727
2019-08-28,12.699999809265137
2018-11-13,12.949999809265137
2018-10-12,13.420000076293945
2019-06-25,13.850000381469727
2020-03-10,13.479999542236328
2020-05-28,13.5
2019-10-07,13.649999618530273
2020-03-13,13.779999732971191
2019-10-10,13.760000228881836
2020-03-16,13.800000190734863
2020-06-03,14.59000015258789
2018-11-28,14.84000015258789
2018-09-25,14.710000038146973
2018-07-23,14.760000228881836
2018-08-24,14.930000305175781
2019-07-10,15.140000343322754
2019-05-07,15.3100004196167
2019-04-05,15.300000190734863
2019-03-04,14.9399995803833
2019-01-31,15.029999732971191
2019-09-12,15.1899995803833
2019-12-31,15.5
2020-03-19,15.579999923706055
2020-01-03,16.670000076293945
2020-06-09,18.6299991607666
2019-02-15,17.84000015258789
2019-01-14,18.469999313354492
2018-07-06,18.68000030517578
2018-08-07,18.6299991607666
2018-10-10,18.700000762939453
2018-12-13,18.75
2019-08-26,18.889999389648438
2019-07-25,19.0
2019-05-22,19.1200008392334
2019-03-19,19.34000015258789
2020-01-06,19.049999237060547
2020-03-25,18.6299991607666
2020-06-12,18.799999237060547
2019-10-22,18.809999465942383
2020-01-09,18.59000015258789
2020-06-15,18.479999542236328
2019-10-25,18.559999465942383
2020-03-31,18.190000534057617
2020-06-18,18.15999984741211
2019-04-03,18.3799991607666
2018-08-22,17.950000762939453
2018-10-25,17.780000686645508
2019-01-29,17.770000457763672
2018-12-28,17.739999771118164
2018-11-26,17.68000030517578
2019-08-09,17.690000534057617
2019-07-08,17.860000610351562
2019-06-06,17.6200008392334
2019-09-10,17.639999389648438
2020-01-15,16.809999465942383
2020-04-03,17.030000686645508
2019-10-31,17.139999389648438
2020-04-06,17.43000030517578
2020-06-24,17.790000915527344
2018-11-09,17.950000762939453
2019-07-23,18.219999313354492
2019-06-21,18.079999923706055
2019-05-20,17.860000610351562
2019-04-18,18.469999313354492
2018-09-06,18.43000030517578
2018-10-08,18.25
2019-02-13,17.979999542236328
2018-12-11,18.09000015258789
2019-09-25,18.3799991607666
2020-01-21,18.520000457763672
2020-04-09,18.549999237060547
2019-11-06,18.809999465942383
2020-01-24,18.739999771118164
2020-01-27,18.850000381469727
2020-04-15,18.729999542236328
2018-12-26,18.90999984741211
2019-08-07,18.8799991607666
2019-06-04,18.780000686645508
2018-09-21,18.729999542236328
2018-07-19,18.440000534057617
2018-08-20,18.110000610351562
2018-10-23,18.40999984741211
2019-05-03,17.309999465942383
2019-04-01,17.5
2019-02-28,17.700000762939453
2019-11-12,17.68000030517578
2020-01-30,17.6299991607666
2019-11-15,17.459999084472656
2020-04-21,16.540000915527344
2019-04-16,16.190000534057617
2019-03-15,16.40999984741211
2019-02-11,16.510000228881836
2019-01-10,16.649999618530273
2019-08-22,16.719999313354492
2018-11-07,16.579999923706055
2018-08-03,16.690000534057617
2018-09-04,16.229999542236328
2019-06-19,16.0
2019-09-23,15.819999694824219
2019-11-18,15.65999984741211
2020-02-05,15.430000305175781
2020-04-24,14.960000038146973
2019-03-29,14.760000228881836
2019-11-21,15.09000015258789
2020-04-27,15.970000267028809
2020-02-11,15.859999656677246
2020-04-30,16.059999465942383
2019-05-01,16.350000381469727
2019-02-26,16.5
2019-01-25,16.420000076293945
2018-12-24,16.15999984741211
2019-09-06,16.31999969482422
2018-07-17,16.559999465942383
2018-09-19,17.0
2019-08-05,17.329999923706055
