Dates,SJM
2018-06-20,1184700.0
2018-06-21,804200.0
2018-06-25,1152200.0
2018-06-22,1147200.0
2018-06-26,3509100.0
2018-06-27,2133900.0
2018-06-28,1462200.0
2018-06-29,1001900.0
2018-07-02,956900.0
2018-07-03,687000.0
2018-07-05,1524500.0
2018-07-16,935500.0
2018-09-18,1155900.0
2019-01-24,1730700.0
2019-09-05,859700.0
2018-11-21,734100.0
2020-01-13,770500.0
2020-04-01,828800.0
2020-06-19,679400.0
2019-10-29,995600.0
2020-01-16,797100.0
2020-06-22,803900.0
2018-10-03,694700.0
2018-07-31,990200.0
2019-03-12,970100.0
2019-02-08,886300.0
2019-01-07,784800.0
2018-12-06,699900.0
2019-08-19,1294200.0
2019-07-18,1235400.0
2019-05-15,967600.0
2019-09-20,3459600.0
2019-11-01,1136400.0
2020-04-07,1563400.0
2020-06-25,665400.0
2020-06-16,1066500.0
2019-11-04,803100.0
2020-01-22,712700.0
2019-11-07,662600.0
2020-04-13,1026100.0
2019-07-01,1242900.0
2019-05-30,1464800.0
2018-08-15,1889600.0
2018-10-18,4402000.0
2019-03-27,2820900.0
2019-01-22,2102500.0
2018-12-21,1174900.0
2019-09-03,912500.0
2018-11-19,1310200.0
2019-08-02,921200.0
2020-01-28,1104000.0
2020-04-16,1258700.0
2019-11-13,1096100.0
2020-01-31,1404500.0
2018-12-04,1557400.0
2018-11-02,998600.0
2019-07-16,964400.0
2018-08-30,665800.0
2018-10-01,803300.0
2019-06-14,572700.0
2019-05-13,513100.0
2019-04-11,671100.0
2019-02-06,1143900.0
2019-09-18,659100.0
2020-02-03,922200.0
2020-04-22,1026600.0
2019-11-19,630100.0
2020-02-06,758600.0
2019-11-22,1098400.0
2019-03-25,1268600.0
2019-02-21,1099000.0
2018-12-19,796300.0
2018-07-12,734800.0
2018-09-14,1049000.0
2018-08-13,1380100.0
2018-10-16,1306500.0
2019-07-31,1068200.0
2019-05-28,1186400.0
2019-04-26,1572600.0
2020-04-28,1201800.0
2019-11-25,724500.0
2020-02-12,580000.0
2020-05-01,615300.0
2020-05-04,709100.0
2019-06-12,852500.0
2019-04-09,846000.0
2019-03-08,607200.0
2019-02-04,1038400.0
2018-07-27,1130600.0
2018-08-28,1164500.0
2019-01-03,1180800.0
2019-08-15,847300.0
2018-10-31,1963100.0
2019-09-16,2108900.0
2020-02-18,1098600.0
2020-05-07,2741500.0
2018-08-17,1349300.0
2019-12-04,812800.0
2020-02-21,1523800.0
2018-12-17,1289500.0
2019-08-30,1053300.0
2018-11-15,1526600.0
2019-07-29,1328300.0
2019-06-27,1884400.0
2019-04-24,1212100.0
2018-07-10,784100.0
2018-09-12,840900.0
2019-02-19,1193200.0
2019-01-18,918100.0
2020-02-24,302500.0
2020-05-13,1628700.0
2019-12-10,1745600.0
2020-02-27,4997300.0
2019-12-13,2594700.0
2020-05-19,2051800.0
2019-03-06,1593800.0
2018-11-30,1827600.0
2019-08-13,2109300.0
2019-07-12,1417800.0
2019-06-10,1459600.0
2019-05-09,1059700.0
2018-07-25,1195600.0
2018-09-27,1577200.0
2018-10-29,1123000.0
2019-10-16,1226200.0
2019-12-16,1305200.0
2020-03-04,1023900.0
2020-05-22,1459800.0
2019-10-01,2960800.0
2019-12-19,971600.0
2018-09-10,2366200.0
2019-05-24,1275200.0
2018-08-09,1186900.0
2019-04-22,1062900.0
2019-03-21,1031200.0
2019-01-16,1818100.0
2019-08-28,1381500.0
2018-11-13,937900.0
2018-10-12,1214400.0
2019-06-25,1097200.0
2020-03-10,765600.0
2020-05-28,718900.0
2019-10-07,973900.0
2020-03-13,754500.0
2019-10-10,655200.0
2020-03-16,469100.0
2020-06-03,935900.0
2018-11-28,756100.0
2018-09-25,900700.0
2018-07-23,844800.0
2018-08-24,651400.0
2019-07-10,939900.0
2019-05-07,579500.0
2019-04-05,423500.0
2019-03-04,930400.0
2019-01-31,737800.0
2019-09-12,867900.0
2019-12-31,776900.0
2020-03-19,758800.0
2020-01-03,1055500.0
2020-06-09,799800.0
2019-02-15,843800.0
2019-01-14,719600.0
2018-07-06,940500.0
2018-08-07,1011600.0
2018-10-10,1238700.0
2018-12-13,834700.0
2019-08-26,1952300.0
2019-07-25,739500.0
2019-05-22,1732600.0
2019-03-19,1307700.0
2020-01-06,2792500.0
2020-03-25,2055300.0
2020-06-12,1573700.0
2019-10-22,1301300.0
2020-01-09,2548800.0
2020-06-15,4625400.0
2019-10-25,2269200.0
2020-03-31,1067600.0
2020-06-18,798500.0
2019-04-03,903300.0
2018-08-22,708500.0
2018-10-25,784600.0
2019-01-29,947000.0
2018-12-28,2424500.0
2018-11-26,1482500.0
2019-08-09,918700.0
2019-07-08,933300.0
2019-06-06,1324800.0
2019-09-10,1983300.0
2020-01-15,1409300.0
2020-04-03,994800.0
2019-10-31,998700.0
2020-04-06,861000.0
2020-06-24,1624800.0
2018-11-09,1047700.0
2019-07-23,1214600.0
2019-06-21,836700.0
2019-05-20,862500.0
2019-04-18,891000.0
2018-09-06,1010500.0
2018-10-08,1167900.0
2019-02-13,930000.0
2018-12-11,626000.0
2019-09-25,735200.0
2020-01-21,616500.0
2020-04-09,498800.0
2019-11-06,505100.0
2020-01-24,709000.0
2020-01-27,448000.0
2020-04-15,634200.0
2018-12-26,594000.0
2019-08-07,636400.0
2019-06-04,639600.0
2018-09-21,573900.0
2018-07-19,1240600.0
2018-08-20,705100.0
2018-10-23,478300.0
2019-05-03,387000.0
