Dates,SJM
2018-06-20,106.36000061035156
2018-06-21,105.38999938964844
2018-06-25,105.70999908447266
2018-06-22,108.2300033569336
2018-06-26,109.12000274658203
2018-06-27,110.04000091552734
2018-06-28,109.05000305175781
2018-06-29,107.4800033569336
2018-07-02,105.16000366210938
2018-07-03,107.29000091552734
2018-07-05,110.63999938964844
2018-07-16,111.73999786376953
2018-09-18,110.91000366210938
2019-01-24,109.13999938964844
2019-09-05,109.8499984741211
2018-11-21,109.7300033569336
2020-01-13,111.05999755859375
2020-04-01,108.41000366210938
2020-06-19,110.98999786376953
2019-10-29,109.01000213623047
2020-01-16,109.56999969482422
2020-06-22,109.47000122070312
2018-10-03,108.69999694824219
2018-07-31,107.61000061035156
2019-03-12,108.5199966430664
2019-02-08,110.1500015258789
2019-01-07,110.0199966430664
2018-12-06,111.04000091552734
2019-08-19,111.12000274658203
2019-07-18,109.4000015258789
2019-05-15,112.31999969482422
2019-09-20,116.23999786376953
2019-11-01,114.47000122070312
2020-04-07,112.80999755859375
2020-06-25,111.91000366210938
2020-06-16,110.69999694824219
2019-11-04,110.83000183105469
2020-01-22,111.0999984741211
2019-11-07,111.44000244140625
2020-04-13,112.58999633789062
2019-07-01,112.08999633789062
2019-05-30,114.58999633789062
2018-08-15,115.87000274658203
2018-10-18,108.19999694824219
2019-03-27,105.4000015258789
2019-01-22,104.44999694824219
2018-12-21,105.05000305175781
2019-09-03,105.83000183105469
2018-11-19,104.25
2019-08-02,103.66000366210938
2020-01-28,102.97000122070312
2020-04-16,103.37999725341797
2019-11-13,103.69000244140625
2020-01-31,107.1500015258789
2018-12-04,109.7699966430664
2018-11-02,109.52999877929688
2019-07-16,110.16999816894531
2018-08-30,109.19000244140625
2018-10-01,110.19999694824219
2019-06-14,110.93000030517578
2019-05-13,111.08000183105469
2019-04-11,111.6500015258789
2019-02-06,110.47000122070312
2019-09-18,109.16999816894531
2020-02-03,109.6500015258789
2020-04-22,110.16000366210938
2019-11-19,108.69999694824219
2020-02-06,108.37000274658203
2019-11-22,105.66000366210938
