Dates,SJM
2018-06-20,104.9000015258789
2018-06-21,105.98999786376953
2018-06-25,105.66000366210938
2018-06-22,106.79000091552734
2018-06-26,108.66999816894531
2018-06-27,108.95999908447266
2018-06-28,109.54000091552734
2018-06-29,108.9800033569336
2018-07-02,107.2300033569336
2018-07-03,106.05999755859375
2018-07-05,108.1500015258789
2018-07-16,110.93000030517578
2018-09-18,111.9000015258789
2019-01-24,110.44000244140625
2019-09-05,109.27999877929688
2018-11-21,110.69999694824219
2020-01-13,109.30000305175781
2020-04-01,111.0199966430664
2020-06-19,108.41999816894531
2019-10-29,110.94999694824219
2020-01-16,108.75
2020-06-22,109.80000305175781
2018-10-03,109.4800033569336
2018-07-31,108.0199966430664
2019-03-12,107.55999755859375
2019-02-08,110.22000122070312
2019-01-07,110.22000122070312
2018-12-06,109.33999633789062
2019-08-19,111.37000274658203
2019-07-18,111.5
2019-05-15,109.38999938964844
2019-09-20,113.31999969482422
2019-11-01,115.94999694824219
2020-04-07,114.55999755859375
2020-06-25,112.81999969482422
2020-06-16,112.30999755859375
2019-11-04,110.27999877929688
2020-01-22,110.55000305175781
2019-11-07,111.08000183105469
2020-04-13,111.38999938964844
2019-07-01,112.62999725341797
2019-05-30,111.91000366210938
2018-08-15,114.4000015258789
2018-10-18,112.87999725341797
2019-03-27,107.94000244140625
2019-01-22,105.0
2018-12-21,104.73999786376953
2019-09-03,105.66999816894531
2018-11-19,105.52999877929688
2019-08-02,104.56999969482422
2020-01-28,103.27999877929688
2020-04-16,103.22000122070312
2019-11-13,103.37999725341797
2020-01-31,103.33000183105469
2018-12-04,107.18000030517578
2018-11-02,109.38999938964844
2019-07-16,110.08999633789062
2018-08-30,110.12000274658203
2018-10-01,109.0
2019-06-14,110.29000091552734
2019-05-13,110.75
2019-04-11,111.08000183105469
2019-02-06,111.23999786376953
2019-09-18,110.83999633789062
2020-02-03,109.19000244140625
2020-04-22,109.76000213623047
2019-11-19,110.0199966430664
2020-02-06,108.8499984741211
2019-11-22,106.19999694824219
2019-03-25,104.5
2019-02-21,102.19000244140625
2018-12-19,103.0
2018-07-12,102.83000183105469
2018-09-14,103.56999969482422
2018-08-13,101.58000183105469
2018-10-16,101.9000015258789
2019-07-31,102.69000244140625
2019-05-28,104.4000015258789
2019-04-26,102.12999725341797
2020-04-28,104.0
2019-11-25,102.2300033569336
2020-02-12,103.0199966430664
2020-05-01,103.66000366210938
2020-05-04,105.19000244140625
2019-06-12,103.80999755859375
2019-04-09,103.7300033569336
2019-03-08,105.2300033569336
2019-02-04,104.05999755859375
2018-07-27,105.87999725341797
