Dates,ROK
2018-06-20,171.72999572753906
2018-06-21,170.8300018310547
2018-06-25,169.66000366210938
2018-06-22,167.89999389648438
2018-06-26,167.47000122070312
2018-06-27,169.05999755859375
2018-06-28,165.6699981689453
2018-06-29,168.08999633789062
2018-07-02,167.8800048828125
2018-07-03,170.61000061035156
2018-07-05,169.72999572753906
2018-07-16,170.1699981689453
2018-09-18,171.52000427246094
2019-01-24,171.92999267578125
2019-09-05,170.17999267578125
2018-11-21,169.22999572753906
2020-01-13,171.5399932861328
2020-04-01,169.5399932861328
2020-06-19,169.4600067138672
2019-10-29,171.1699981689453
2020-01-16,172.63999938964844
2020-06-22,172.11000061035156
2018-10-03,171.1999969482422
2018-07-31,171.39999389648438
2019-03-12,183.6999969482422
2019-02-08,186.2899932861328
2019-01-07,185.72999572753906
2018-12-06,186.36000061035156
2019-08-19,188.36000061035156
2019-07-18,187.08999633789062
2019-05-15,183.16000366210938
2019-09-20,181.52000427246094
2019-11-01,180.5
2020-04-07,182.02999877929688
2020-06-25,181.60000610351562
2020-06-16,178.41000366210938
2019-11-04,174.92999267578125
2020-01-22,173.38999938964844
2019-11-07,173.60000610351562
2020-04-13,172.32000732421875
2019-07-01,174.39999389648438
2019-05-30,174.38999938964844
2018-08-15,175.17999267578125
2018-10-18,174.67999267578125
2019-03-27,173.58999633789062
2019-01-22,173.33999633789062
2018-12-21,175.42999267578125
2019-09-03,177.7899932861328
2018-11-19,179.77000427246094
2019-08-02,178.92999267578125
2020-01-28,179.3699951171875
2020-04-16,181.36000061035156
2019-11-13,182.0500030517578
2020-01-31,182.77999877929688
2018-12-04,183.0
2018-11-02,184.19000244140625
2019-07-16,185.5399932861328
2018-08-30,185.3000030517578
2018-10-01,186.47000122070312
2019-06-14,188.47999572753906
2019-05-13,191.91000366210938
2019-04-11,191.94000244140625
2019-02-06,194.50999450683594
2019-09-18,195.4600067138672
2020-02-03,197.16000366210938
2020-04-22,198.22999572753906
2019-11-19,195.8300018310547
2020-02-06,193.60000610351562
2019-11-22,192.02000427246094
2019-03-25,189.88999938964844
2019-02-21,190.1699981689453
2018-12-19,189.88999938964844
2018-07-12,189.97000122070312
2018-09-14,191.9600067138672
2018-08-13,191.6699981689453
2018-10-16,190.30999755859375
2019-07-31,185.39999389648438
2019-05-28,184.75999450683594
2019-04-26,183.2899932861328
2020-04-28,177.02000427246094
2019-11-25,175.99000549316406
2020-02-12,171.5500030517578
2020-05-01,172.57000732421875
2020-05-04,172.66000366210938
2019-06-12,170.99000549316406
2019-04-09,166.89999389648438
2019-03-08,165.14999389648438
2019-02-04,162.17999267578125
2018-07-27,161.41000366210938
2018-08-28,159.2100067138672
2019-01-03,163.39999389648438
2019-08-15,163.8800048828125
2018-10-31,164.14999389648438
2019-09-16,167.94000244140625
2020-02-18,173.60000610351562
2020-05-07,174.9600067138672
2018-08-17,174.30999755859375
2019-12-04,177.6199951171875
2020-02-21,179.69000244140625
2018-12-17,177.8000030517578
2019-08-30,171.72000122070312
2018-11-15,169.55999755859375
2019-07-29,170.0399932861328
2019-06-27,170.25
2019-04-24,172.88999938964844
2018-07-10,174.22999572753906
2018-09-12,170.75
2019-02-19,168.92999267578125
2019-01-18,172.55999755859375
2020-02-24,170.16000366210938
