Dates,ROK
2018-06-20,171.1699981689453
2018-06-21,170.8300018310547
2018-06-25,169.42999267578125
2018-06-22,167.57000732421875
2018-06-26,165.7899932861328
2018-06-27,165.8699951171875
2018-06-28,164.38999938964844
2018-06-29,165.74000549316406
2018-07-02,164.24000549316406
2018-07-03,169.47000122070312
2018-07-05,169.0500030517578
2018-07-16,169.22000122070312
2018-09-18,169.97000122070312
2019-01-24,171.55999755859375
2019-09-05,169.44000244140625
2018-11-21,168.7899932861328
2020-01-13,169.11000061035156
2020-04-01,168.75999450683594
2020-06-19,166.9199981689453
2019-10-29,169.52000427246094
2020-01-16,169.5399932861328
2020-06-22,170.69000244140625
2018-10-03,170.6999969482422
2018-07-31,169.25999450683594
2019-03-12,175.5
2019-02-08,183.97999572753906
2019-01-07,184.3000030517578
2018-12-06,184.89999389648438
2019-08-19,183.85000610351562
2019-07-18,187.0800018310547
2019-05-15,182.6300048828125
2019-09-20,181.39999389648438
2019-11-01,179.07000732421875
2020-04-07,180.0500030517578
2020-06-25,181.25999450683594
2020-06-16,177.2899932861328
2019-11-04,174.47000122070312
2020-01-22,173.10000610351562
2019-11-07,172.0
2020-04-13,171.63999938964844
2019-07-01,172.38999938964844
2019-05-30,173.44000244140625
2018-08-15,173.89999389648438
2018-10-18,173.92999267578125
2019-03-27,172.5800018310547
2019-01-22,171.14999389648438
2018-12-21,173.1999969482422
2019-09-03,175.83999633789062
2018-11-19,177.7100067138672
2019-08-02,177.3000030517578
2020-01-28,178.1300048828125
2020-04-16,177.66000366210938
2019-11-13,180.3300018310547
2020-01-31,181.0
2018-12-04,182.27000427246094
2018-11-02,181.86000061035156
2019-07-16,184.0399932861328
2018-08-30,184.0800018310547
2018-10-01,184.5500030517578
2019-06-14,186.47999572753906
2019-05-13,188.7899932861328
2019-04-11,191.6999969482422
2019-02-06,191.75
2019-09-18,194.25
2020-02-03,195.69000244140625
2020-04-22,196.60000610351562
2019-11-19,195.8300018310547
2020-02-06,193.3800048828125
2019-11-22,191.24000549316406
2019-03-25,189.5
2019-02-21,189.4600067138672
2018-12-19,188.7100067138672
2018-07-12,188.19000244140625
2018-09-14,190.0
2018-08-13,189.5500030517578
2018-10-16,189.66000366210938
2019-07-31,184.85000610351562
2019-05-28,184.5399932861328
2019-04-26,183.0
2020-04-28,176.1999969482422
2019-11-25,173.4199981689453
2020-02-12,170.11000061035156
2020-05-01,171.16000366210938
2020-05-04,172.5399932861328
2019-06-12,170.99000549316406
2019-04-09,165.77000427246094
2019-03-08,164.42999267578125
2019-02-04,158.75
2018-07-27,160.30999755859375
2018-08-28,156.14999389648438
2019-01-03,155.74000549316406
2019-08-15,163.6999969482422
2018-10-31,158.42999267578125
2019-09-16,165.64999389648438
2020-02-18,166.08999633789062
2020-05-07,174.72000122070312
2018-08-17,173.36000061035156
2019-12-04,172.1300048828125
2020-02-21,174.89999389648438
2018-12-17,176.74000549316406
2019-08-30,170.69000244140625
2018-11-15,169.5500030517578
2019-07-29,165.86000061035156
2019-06-27,167.94000244140625
2019-04-24,166.5
2018-07-10,171.82000732421875
2018-09-12,170.5
2019-02-19,165.89999389648438
2019-01-18,169.41000366210938
2020-02-24,167.8699951171875
2020-05-13,169.11000061035156
2019-12-10,169.19000244140625
2020-02-27,168.8699951171875
2019-12-13,171.85000610351562
2020-05-19,171.19000244140625
2019-03-06,179.6300048828125
2018-11-30,178.2100067138672
2019-08-13,169.00999450683594
2019-07-12,167.7100067138672
2019-06-10,161.60000610351562
2019-05-09,163.44000244140625
2018-07-25,160.2899932861328
2018-09-27,159.6699981689453
2018-10-29,155.80999755859375
2019-10-16,156.22000122070312
2019-12-16,154.72000122070312
2020-03-04,153.9600067138672
2020-05-22,150.0
2019-10-01,148.13999938964844
2019-12-19,143.72000122070312
2018-09-10,142.77999877929688
2019-05-24,146.07000732421875
2018-08-09,151.0
2019-04-22,149.47000122070312
2019-03-21,148.52000427246094
2019-01-16,149.36000061035156
2019-08-28,148.1999969482422
2018-11-13,150.39999389648438
2018-10-12,152.1999969482422
2019-06-25,154.7100067138672
2020-03-10,153.1699981689453
2020-05-28,152.13999938964844
2019-10-07,154.74000549316406
2020-03-13,156.2899932861328
2019-10-10,156.60000610351562
2020-03-16,156.64999389648438
2020-06-03,161.4199981689453
2018-11-28,163.7100067138672
2018-09-25,163.6999969482422
2018-07-23,161.85000610351562
2018-08-24,166.72999572753906
2019-07-10,164.25999450683594
2019-05-07,179.8000030517578
2019-04-05,173.7899932861328
2019-03-04,171.9600067138672
2019-01-31,170.0800018310547
2019-09-12,168.36000061035156
2019-12-31,169.0800018310547
2020-03-19,170.24000549316406
2020-01-03,169.19000244140625
2020-06-09,168.27000427246094
2019-02-15,169.35000610351562
2019-01-14,170.80999755859375
2018-07-06,173.2899932861328
2018-08-07,175.83999633789062
2018-10-10,177.24000549316406
2018-12-13,176.52999877929688
2019-08-26,177.75999450683594
2019-07-25,178.27000427246094
2019-05-22,178.44000244140625
2019-03-19,180.05999755859375
2020-01-06,179.16000366210938
2020-03-25,178.66000366210938
2020-06-12,179.80999755859375
2019-10-22,179.97999572753906
2020-01-09,180.0
2020-06-15,178.00999450683594
2019-10-25,178.14999389648438
2020-03-31,177.86000061035156
2020-06-18,174.08999633789062
2019-04-03,174.41000366210938
2018-08-22,178.9600067138672
2018-10-25,179.5800018310547
2019-01-29,181.00999450683594
2018-12-28,180.74000549316406
2018-11-26,179.72999572753906
2019-08-09,180.8800048828125
2019-07-08,177.6699981689453
2019-06-06,175.08999633789062
2019-09-10,175.88999938964844
2020-01-15,169.67999267578125
2020-04-03,171.49000549316406
2019-10-31,171.3000030517578
2020-04-06,171.63999938964844
2020-06-24,175.14999389648438
2018-11-09,177.41000366210938
2019-07-23,181.00999450683594
2019-06-21,182.8000030517578
2019-05-20,182.8800048828125
2019-04-18,185.0
2018-09-06,185.35000610351562
2018-10-08,184.64999389648438
2019-02-13,182.61000061035156
2018-12-11,183.4499969482422
2019-09-25,183.83999633789062
2020-01-21,184.75
2020-04-09,186.3300018310547
2019-11-06,188.83999633789062
2020-01-24,189.00999450683594
2020-01-27,189.08999633789062
2020-04-15,189.8000030517578
2018-12-26,189.5399932861328
2019-08-07,178.27000427246094
2019-06-04,176.22000122070312
2018-09-21,178.4199981689453
2018-07-19,181.4600067138672
2018-08-20,181.67999267578125
2018-10-23,177.44000244140625
2019-05-03,177.14999389648438
2019-04-01,175.5
2019-02-28,175.0800018310547
2019-11-12,172.3800048828125
2020-01-30,168.42999267578125
2019-11-15,167.47000122070312
2020-04-21,163.33999633789062
2019-04-16,161.64999389648438
2019-03-15,160.8699951171875
2019-02-11,162.86000061035156
2019-01-10,161.10000610351562
2019-08-22,158.77000427246094
2018-11-07,159.9499969482422
2018-08-03,160.89999389648438
2018-09-04,156.4499969482422
2019-06-19,156.38999938964844
2019-09-23,155.25
2019-11-18,151.6300048828125
2020-02-05,153.80999755859375
2020-04-24,153.10000610351562
2019-03-29,148.6999969482422
2019-11-21,154.02999877929688
2020-04-27,158.07000732421875
2020-02-11,157.52999877929688
2020-04-30,157.30999755859375
2019-05-01,158.05999755859375
2019-02-26,161.02000427246094
2019-01-25,158.85000610351562
2018-12-24,159.00999450683594
2019-09-06,158.36000061035156
2018-07-17,156.6199951171875
2018-09-19,157.27000427246094
2019-08-05,159.47999572753906
2019-10-08,161.0800018310547
2019-12-11,163.52000427246094
2019-11-27,162.0800018310547
2020-02-14,162.94000244140625
2020-05-06,161.8300018310547
2019-01-08,162.3699951171875
2018-12-07,162.74000549316406
2019-08-20,166.0500030517578
2018-11-05,164.25999450683594
2019-07-19,163.0
2018-10-04,162.58999633789062
2019-06-17,158.58999633789062
2019-05-16,156.1199951171875
2018-08-01,155.9499969482422
2019-03-13,154.11000061035156
2019-12-03,157.25
2020-02-20,160.35000610351562
2019-12-06,158.92999267578125
2020-05-12,161.99000549316406
2019-12-09,159.47000122070312
2020-02-26,159.5399932861328
2020-05-15,159.99000549316406
2019-03-28,160.25
2018-09-17,165.3000030517578
2018-08-16,160.5500030517578
2018-10-19,167.25999450683594
2019-04-29,164.47000122070312
2019-01-23,161.92999267578125
2019-09-04,165.3300018310547
2018-11-20,160.3300018310547
2019-07-02,155.07000732421875
2019-05-31,151.00999450683594
2019-12-12,151.8300018310547
2020-05-18,150.3000030517578
2019-09-27,153.07000732421875
2020-03-03,154.35000610351562
2020-05-21,152.72999572753906
2019-05-14,149.47999572753906
2018-08-31,150.0
2018-07-30,147.33999633789062
2018-10-02,147.32000732421875
2019-04-12,152.86000061035156
2019-03-11,152.99000549316406
2019-02-07,153.02000427246094
2019-07-17,152.50999450683594
2019-09-19,151.2100067138672
2019-10-21,148.8800048828125
2019-12-18,146.0
2020-03-06,145.64999389648438
2019-10-03,149.9199981689453
2020-03-09,152.88999938964844
2020-05-27,150.9499969482422
2019-12-24,150.10000610351562
2020-03-12,153.1300048828125
2018-12-20,158.66000366210938
2019-08-01,162.00999450683594
2018-08-14,161.97000122070312
2018-07-13,161.77000427246094
2018-10-17,165.0
2019-05-29,167.5800018310547
2019-03-26,166.0800018310547
2019-02-22,164.41000366210938
2019-10-04,163.0399932861328
2019-11-05,163.6699981689453
2019-12-27,164.24000549316406
2020-06-02,160.9499969482422
2019-12-30,164.3699951171875
2020-03-18,160.72999572753906
2020-06-05,162.22999572753906
2019-07-15,164.7899932861328
