Dates,ADI
2018-06-20,1419200.0
2018-06-21,1691500.0
2018-06-25,6226500.0
2018-06-22,4653500.0
2018-06-26,2365600.0
2018-06-27,4415200.0
2018-06-28,2349500.0
2018-06-29,3116700.0
2018-07-02,2058400.0
2018-07-03,876000.0
2018-07-05,1977700.0
2018-07-16,1551000.0
2018-09-18,1861300.0
2019-01-24,2229000.0
2019-09-05,1509700.0
2018-11-21,2328900.0
2020-01-13,1130200.0
2020-04-01,1380000.0
2020-06-19,1928500.0
2019-10-29,1635200.0
2020-01-16,1389500.0
2020-06-22,1387500.0
2018-10-03,1403700.0
2018-07-31,2964600.0
2019-03-12,2612700.0
2019-02-08,2546000.0
2019-01-07,2147600.0
2018-12-06,2545000.0
2019-08-19,2500900.0
2019-07-18,1717700.0
2019-05-15,1711800.0
2019-09-20,1017800.0
2019-11-01,1322200.0
2020-04-07,1128800.0
2020-06-25,1256600.0
2020-06-16,1451100.0
2019-11-04,2817400.0
2020-01-22,1939300.0
2019-11-07,1761600.0
2020-04-13,2022300.0
2019-07-01,1828700.0
2019-05-30,2869400.0
2018-08-15,2161000.0
2018-10-18,4051300.0
2019-03-27,7540400.0
2019-01-22,2666100.0
2018-12-21,2674800.0
2019-09-03,2907200.0
2018-11-19,3673300.0
2019-08-02,2370100.0
2020-01-28,1891700.0
2020-04-16,1710000.0
2019-11-13,4053200.0
2020-01-31,2689000.0
2018-12-04,2809800.0
2018-11-02,5451300.0
2019-07-16,3120100.0
2018-08-30,3229900.0
2018-10-01,5793600.0
2019-06-14,3516800.0
2019-05-13,2843300.0
2019-04-11,1976300.0
2019-02-06,2354900.0
2019-09-18,1843200.0
2020-02-03,3494900.0
2020-04-22,4416500.0
2019-11-19,2558800.0
2020-02-06,6037200.0
2019-11-22,3802500.0
2019-03-25,1963500.0
2019-02-21,1650200.0
2018-12-19,1728800.0
2018-07-12,1737100.0
2018-09-14,2915000.0
2018-08-13,4047400.0
2018-10-16,5815600.0
2019-07-31,2879400.0
2019-05-28,3950200.0
2019-04-26,8523800.0
2020-04-28,4849900.0
2019-11-25,3600600.0
2020-02-12,3153700.0
2020-05-01,3397300.0
2020-05-04,3529100.0
2019-06-12,4923200.0
2019-04-09,2564400.0
2019-03-08,2337000.0
2019-02-04,4656400.0
2018-07-27,7790900.0
2018-08-28,4192500.0
2019-01-03,4536600.0
2019-08-15,5055500.0
2018-10-31,4698800.0
2019-09-16,3498700.0
2020-02-18,3669500.0
2020-05-07,3754900.0
2018-08-17,2143600.0
2019-12-04,1751300.0
2020-02-21,2253800.0
2018-12-17,2551100.0
2019-08-30,3043200.0
2018-11-15,3334300.0
2019-07-29,3042500.0
2019-06-27,2395700.0
2019-04-24,4772900.0
2018-07-10,3167900.0
2018-09-12,6808500.0
2019-02-19,6660100.0
2019-01-18,3561100.0
2020-02-24,1163000.0
2020-05-13,2474600.0
2019-12-10,2614600.0
2020-02-27,3864600.0
2019-12-13,2831700.0
2020-05-19,3335800.0
2019-03-06,3563800.0
2018-11-30,3858000.0
2019-08-13,2957300.0
2019-07-12,2961000.0
2019-06-10,2600600.0
