Dates,ADI
2018-06-20,101.06999969482422
2018-06-21,101.33999633789062
2018-06-25,99.87999725341797
2018-06-22,98.5
2018-06-26,99.41000366210938
2018-06-27,99.3499984741211
2018-06-28,96.69000244140625
2018-06-29,97.83000183105469
2018-07-02,96.37000274658203
2018-07-03,96.83999633789062
2018-07-05,96.54000091552734
2018-07-16,97.41000366210938
2018-09-18,97.86000061035156
2019-01-24,98.66999816894531
2019-09-05,97.91000366210938
2018-11-21,98.58000183105469
2020-01-13,98.73999786376953
2020-04-01,98.38999938964844
2020-06-19,98.33999633789062
2019-10-29,99.4000015258789
2020-01-16,98.95999908447266
2020-06-22,98.69000244140625
2018-10-03,97.95999908447266
2018-07-31,99.18000030517578
2019-03-12,98.1500015258789
2019-02-08,98.55999755859375
2019-01-07,99.08999633789062
2018-12-06,97.56999969482422
2019-08-19,96.86000061035156
2019-07-18,96.73999786376953
2019-05-15,96.55000305175781
2019-09-20,96.69999694824219
2019-11-01,97.41999816894531
2020-04-07,98.69000244140625
2020-06-25,98.70999908447266
2020-06-16,98.66999816894531
2019-11-04,96.70999908447266
2020-01-22,96.12999725341797
2019-11-07,96.23999786376953
2020-04-13,94.5199966430664
2019-07-01,95.06999969482422
2019-05-30,94.83000183105469
2018-08-15,94.91000366210938
2018-10-18,96.45999908447266
2019-03-27,98.12000274658203
2019-01-22,98.9800033569336
2018-12-21,98.88999938964844
2019-09-03,100.72000122070312
2018-11-19,100.87000274658203
2019-08-02,100.41999816894531
2020-01-28,100.16999816894531
2020-04-16,99.23999786376953
2019-11-13,98.88999938964844
2020-01-31,98.83999633789062
2018-12-04,98.08999633789062
2018-11-02,95.91999816894531
2019-07-16,95.18000030517578
2018-08-30,94.38999938964844
2018-10-01,92.55999755859375
2019-06-14,93.06999969482422
2019-05-13,93.43000030517578
2019-04-11,92.81999969482422
2019-02-06,92.47000122070312
2019-09-18,92.80999755859375
2020-02-03,95.66000366210938
2020-04-22,95.69999694824219
2019-11-19,95.37000274658203
2020-02-06,93.48999786376953
2019-11-22,93.75
2019-03-25,92.54000091552734
2019-02-21,92.5199966430664
2018-12-19,93.38999938964844
2018-07-12,93.91999816894531
2018-09-14,93.04000091552734
2018-08-13,91.5999984741211
2018-10-16,89.4800033569336
2019-07-31,87.2300033569336
2019-05-28,86.94999694824219
2019-04-26,86.04000091552734
2020-04-28,86.58999633789062
2019-11-25,85.7699966430664
2020-02-12,84.66999816894531
2020-05-01,85.83999633789062
2020-05-04,86.41999816894531
2019-06-12,84.29000091552734
2019-04-09,84.22000122070312
2019-03-08,83.38999938964844
2019-02-04,83.01000213623047
2018-07-27,80.73999786376953
2018-08-28,79.9000015258789
2019-01-03,80.0999984741211
2019-08-15,81.94999694824219
2018-10-31,82.86000061035156
2019-09-16,84.30000305175781
2020-02-18,88.5
2020-05-07,89.01000213623047
2018-08-17,87.41999816894531
2019-12-04,88.0
2020-02-21,89.0199966430664
2018-12-17,90.08000183105469
2019-08-30,89.7300033569336
2018-11-15,86.62000274658203
2019-07-29,86.80999755859375
2019-06-27,87.11000061035156
2019-04-24,89.87000274658203
2018-07-10,89.95999908447266
2018-09-12,89.97000122070312
2019-02-19,89.87000274658203
2019-01-18,90.83000183105469
2020-02-24,89.4000015258789
2020-05-13,90.62999725341797
2019-12-10,90.13999938964844
2020-02-27,90.79000091552734
2019-12-13,90.58999633789062
2020-05-19,91.97000122070312
2019-03-06,94.62000274658203
2018-11-30,93.37999725341797
2019-08-13,89.55000305175781
2019-07-12,89.9800033569336
2019-06-10,88.63999938964844
2019-05-09,91.04000091552734
2018-07-25,90.5199966430664
2018-09-27,89.98999786376953
2018-10-29,88.38999938964844
2019-10-16,88.95999908447266
2019-12-16,89.36000061035156
2020-03-04,87.91999816894531
2020-05-22,84.55000305175781
2019-10-01,85.11000061035156
2019-12-19,82.91000366210938
2018-09-10,84.43000030517578
2019-05-24,85.43000030517578
