Dates,BIIB
2018-06-20,298.44000244140625
2018-06-21,298.04998779296875
2018-06-25,298.3800048828125
2018-06-22,297.1499938964844
2018-06-26,293.57000732421875
2018-06-27,293.4800109863281
2018-06-28,290.3299865722656
2018-06-29,292.67999267578125
2018-07-02,296.1199951171875
2018-07-03,296.9200134277344
2018-07-05,299.7300109863281
2018-07-16,367.8900146484375
2018-09-18,360.3500061035156
2019-01-24,347.8999938964844
2019-09-05,346.20001220703125
2018-11-21,348.07000732421875
2020-01-13,351.6700134277344
2020-04-01,353.20001220703125
2020-06-19,356.0199890136719
2019-10-29,358.75
2020-01-16,360.2699890136719
2020-06-22,360.5
2018-10-03,362.2200012207031
2018-07-31,383.0
2019-03-12,388.6700134277344
2019-02-08,353.4100036621094
2019-01-07,346.4700012207031
2018-12-06,341.3699951171875
2019-08-19,338.739990234375
2019-07-18,344.739990234375
2019-05-15,350.0
2019-09-20,350.57000732421875
2019-11-01,344.2200012207031
2020-04-07,352.4599914550781
2020-06-25,352.3299865722656
2020-06-16,352.25
2019-11-04,347.3999938964844
2020-01-22,344.3699951171875
2019-11-07,347.760009765625
2020-04-13,343.9200134277344
2019-07-01,345.3299865722656
2019-05-30,346.8299865722656
2018-08-15,347.55999755859375
2018-10-18,346.3900146484375
2019-03-27,346.4700012207031
2019-01-22,344.9700012207031
2018-12-21,343.0299987792969
2019-09-03,343.32000732421875
2018-11-19,348.0
2019-08-02,352.0199890136719
2020-01-28,355.94000244140625
2020-04-16,354.1300048828125
2019-11-13,355.0
2020-01-31,349.42999267578125
2018-12-04,346.989990234375
2018-11-02,341.69000244140625
2019-07-16,342.8500061035156
2018-08-30,341.4800109863281
2018-10-01,340.42999267578125
2019-06-14,342.4100036621094
2019-05-13,342.05999755859375
2019-04-11,338.55999755859375
2019-02-06,338.4800109863281
2019-09-18,339.9800109863281
2020-02-03,342.6400146484375
2020-04-22,345.4100036621094
2019-11-19,347.760009765625
2020-02-06,347.489990234375
2019-11-22,353.2099914550781
2019-03-25,357.5
2019-02-21,357.0
2018-12-19,358.4100036621094
2018-07-12,353.989990234375
2018-09-14,353.80999755859375
2018-08-13,351.9800109863281
2018-10-16,347.7799987792969
2019-07-31,345.57000732421875
2019-05-28,346.4200134277344
2019-04-26,346.7200012207031
2020-04-28,340.8500061035156
2019-11-25,333.29998779296875
