Dates,BIIB
2018-06-20,1273600.0
2018-06-21,1206700.0
2018-06-25,1334600.0
2018-06-22,1685500.0
2018-06-26,943300.0
2018-06-27,1116200.0
2018-06-28,1405900.0
2018-06-29,1394300.0
2018-07-02,1116400.0
2018-07-03,452900.0
2018-07-05,746300.0
2018-07-16,12857000.0
2018-09-18,3872800.0
2019-01-24,3425600.0
2019-09-05,1786600.0
2018-11-21,1304400.0
2020-01-13,1168600.0
2020-04-01,1460100.0
2020-06-19,1486100.0
2019-10-29,1399800.0
2020-01-16,1650600.0
2020-06-22,1666300.0
2018-10-03,1884600.0
2018-07-31,4191700.0
2019-03-12,4686600.0
2019-02-08,4924000.0
2019-01-07,2426100.0
2018-12-06,2408400.0
2019-08-19,2052700.0
2019-07-18,1688400.0
2019-05-15,1414600.0
2019-09-20,1164400.0
2019-11-01,1034200.0
2020-04-07,1614900.0
2020-06-25,969200.0
2020-06-16,1322300.0
2019-11-04,1359100.0
2020-01-22,1077700.0
2019-11-07,883400.0
2020-04-13,953200.0
2019-07-01,882500.0
2019-05-30,917300.0
2018-08-15,821700.0
2018-10-18,625200.0
2019-03-27,597500.0
2019-01-22,750000.0
2018-12-21,620000.0
2019-09-03,704600.0
2018-11-19,1125900.0
2019-08-02,1291300.0
2020-01-28,875900.0
2020-04-16,867200.0
2019-11-13,1296800.0
2020-01-31,1039000.0
2018-12-04,833800.0
2018-11-02,997600.0
2019-07-16,1105500.0
2018-08-30,906700.0
2018-10-01,869400.0
2019-06-14,862300.0
2019-05-13,882000.0
2019-04-11,944100.0
2019-02-06,1243300.0
2019-09-18,844800.0
2020-02-03,1085000.0
2020-04-22,3874500.0
2019-11-19,1016300.0
2020-02-06,1232300.0
2019-11-22,1595600.0
2019-03-25,1219500.0
2019-02-21,1542900.0
2018-12-19,974900.0
2018-07-12,1340100.0
2018-09-14,1119400.0
2018-08-13,1079200.0
2018-10-16,989100.0
2019-07-31,852400.0
2019-05-28,778900.0
2019-04-26,1420200.0
2020-04-28,1395700.0
2019-11-25,1264900.0
2020-02-12,921000.0
2020-05-01,1151000.0
2020-05-04,939800.0
2019-06-12,1002500.0
2019-04-09,1885000.0
2019-03-08,1736300.0
2019-02-04,2414500.0
2018-07-27,2766800.0
2018-08-28,3001700.0
2019-01-03,2174300.0
2019-08-15,1567600.0
2018-10-31,1482700.0
2019-09-16,1328600.0
2020-02-18,1331100.0
2020-05-07,1197900.0
