Dates,MXIM
2018-06-20,1469000.0
2018-06-21,2161200.0
2018-06-25,2285500.0
2018-06-22,3087800.0
2018-06-26,2623600.0
2018-06-27,1993300.0
2018-06-28,1753700.0
2018-06-29,2466500.0
2018-07-02,1502600.0
2018-07-03,1179600.0
2018-07-05,3321000.0
2018-07-16,1596700.0
2018-09-18,1404000.0
2019-01-24,1380700.0
2019-09-05,1426400.0
2018-11-21,2109200.0
2020-01-13,1597800.0
2020-04-01,1256500.0
2020-06-19,1146900.0
2019-10-29,1125700.0
2020-01-16,1372900.0
2020-06-22,1414700.0
2018-10-03,1898000.0
2018-07-31,2736100.0
2019-03-12,3498500.0
2019-02-08,3244400.0
2019-01-07,4532500.0
2018-12-06,3180300.0
2019-08-19,2677900.0
2019-07-18,1624900.0
2019-05-15,2498500.0
2019-09-20,1545000.0
2019-11-01,1002600.0
2020-04-07,1961700.0
2020-06-25,1229400.0
2020-06-16,999800.0
2019-11-04,1413700.0
2020-01-22,1174600.0
2019-11-07,2041300.0
2020-04-13,1665300.0
2019-07-01,1882000.0
2019-05-30,2034000.0
2018-08-15,1903900.0
2018-10-18,2199600.0
2019-03-27,1504700.0
2019-01-22,1228500.0
2018-12-21,1370800.0
2019-09-03,1982100.0
2018-11-19,2076200.0
2019-08-02,1212300.0
2020-01-28,1582000.0
2020-04-16,2246900.0
2019-11-13,1908900.0
2020-01-31,1447800.0
2018-12-04,1763300.0
2018-11-02,2061600.0
2019-07-16,1523500.0
2018-08-30,3652600.0
2018-10-01,5589800.0
2019-06-14,4549000.0
2019-05-13,1667000.0
2019-04-11,1629800.0
2019-02-06,2044000.0
2019-09-18,1428400.0
2020-02-03,1967900.0
2020-04-22,3505000.0
2019-11-19,1221200.0
2020-02-06,2082200.0
2019-11-22,2768100.0
2019-03-25,3238400.0
2019-02-21,2340500.0
2018-12-19,1563400.0
2018-07-12,1834500.0
2018-09-14,2383300.0
2018-08-13,3156100.0
2018-10-16,3317200.0
2019-07-31,2635000.0
2019-05-28,1451100.0
2019-04-26,2853300.0
2020-04-28,3245100.0
2019-11-25,2138000.0
2020-02-12,1668600.0
2020-05-01,1957300.0
2020-05-04,1466000.0
2019-06-12,4339800.0
2019-04-09,2845000.0
2019-03-08,1930600.0
2019-02-04,3627300.0
2018-07-27,8139200.0
2018-08-28,4561800.0
2019-01-03,3967400.0
2019-08-15,3487700.0
2018-10-31,4003200.0
2019-09-16,6387300.0
2020-02-18,4847900.0
2020-05-07,4178800.0
2018-08-17,2332100.0
2019-12-04,2430200.0
2020-02-21,2407700.0
2018-12-17,3031900.0
2019-08-30,5706100.0
2018-11-15,2871100.0
2019-07-29,2941300.0
2019-06-27,2805900.0
2019-04-24,2323300.0
2018-07-10,2453800.0
2018-09-12,2313300.0
2019-02-19,2426700.0
2019-01-18,2342600.0
2020-02-24,641100.0
2020-05-13,2530200.0
2019-12-10,11138600.0
2020-02-27,5484800.0
2019-12-13,5939000.0
2020-05-19,55822900.0
2019-03-06,5665800.0
2018-11-30,6388700.0
2019-08-13,6208000.0
2019-07-12,3005000.0
2019-06-10,4062400.0
2019-05-09,5511600.0
2018-07-25,2561500.0
2018-09-27,2765100.0
2018-10-29,2424300.0
2019-10-16,2831800.0
2019-12-16,2688200.0
2020-03-04,4399000.0
2020-05-22,3602500.0
2019-10-01,5079200.0
2019-12-19,1799900.0
2018-09-10,3229500.0
2019-05-24,2305900.0
2018-08-09,2013000.0
2019-04-22,2021900.0
2019-03-21,3147100.0
2019-01-16,3801200.0
2019-08-28,3600000.0
2018-11-13,2775400.0
2018-10-12,2974800.0
2019-06-25,1985600.0
2020-03-10,1553900.0
2020-05-28,2139300.0
2019-10-07,2790200.0
2020-03-13,1539600.0
2019-10-10,1866600.0
2020-03-16,1790500.0
2020-06-03,1971800.0
2018-11-28,3165200.0
2018-09-25,2483600.0
2018-07-23,3138800.0
2018-08-24,2633500.0
2019-07-10,2729400.0
2019-05-07,2366600.0
2019-04-05,4613500.0
2019-03-04,2557500.0
2019-01-31,2548900.0
2019-09-12,1801300.0
2019-12-31,2204100.0
2020-03-19,2900400.0
2020-01-03,1901600.0
2020-06-09,1908200.0
2019-02-15,1004500.0
2019-01-14,1386300.0
2018-07-06,1003100.0
2018-08-07,1158200.0
2018-10-10,1620500.0
2018-12-13,1563900.0
2019-08-26,1115600.0
2019-07-25,1695000.0
2019-05-22,1274200.0
2019-03-19,1350000.0
2020-01-06,1259600.0
2020-03-25,1667600.0
2020-06-12,2056500.0
2019-10-22,1993700.0
2020-01-09,1801700.0
2020-06-15,2801900.0
2019-10-25,2349400.0
2020-03-31,2747900.0
2020-06-18,2897700.0
2019-04-03,2059400.0
2018-08-22,2648600.0
2018-10-25,3435100.0
2019-01-29,2358900.0
2018-12-28,6035400.0
2018-11-26,1948100.0
2019-08-09,1655200.0
2019-07-08,1316900.0
2019-06-06,1684300.0
2019-09-10,1343600.0
2020-01-15,1752200.0
2020-04-03,1003900.0
2019-10-31,1510300.0
2020-04-06,1103600.0
2020-06-24,1686300.0
2018-11-09,1586000.0
2019-07-23,1128900.0
2019-06-21,3097600.0
2019-05-20,1230800.0
2019-04-18,1174900.0
2018-09-06,1630000.0
2018-10-08,1292800.0
2019-02-13,1310900.0
2018-12-11,806800.0
2019-09-25,1499500.0
2020-01-21,1510500.0
2020-04-09,1965200.0
2019-11-06,1359400.0
2020-01-24,1070100.0
2020-01-27,1378500.0
2020-04-15,1311100.0
2018-12-26,1343700.0
2019-08-07,1806900.0
2019-06-04,1352700.0
2018-09-21,1214200.0
2018-07-19,1974300.0
2018-08-20,2922900.0
2018-10-23,2090500.0
2019-05-03,1292800.0
2019-04-01,1560800.0
2019-02-28,1997500.0
2019-11-12,1760800.0
2020-01-30,1960400.0
2019-11-15,1763500.0
2020-04-21,2905300.0
2019-04-16,1701500.0
2019-03-15,1477900.0
2019-02-11,1877500.0
2019-01-10,1883100.0
2019-08-22,2064600.0
2018-11-07,1674900.0
2018-08-03,1887500.0
2018-09-04,2692200.0
2019-06-19,1192100.0
2019-09-23,2185700.0
2019-11-18,2212900.0
2020-02-05,1266400.0
2020-04-24,1696800.0
2019-03-29,2224100.0
2019-11-21,2666800.0
2020-04-27,1567200.0
2020-02-11,1487600.0
2020-04-30,1717400.0
2019-05-01,1676300.0
2019-02-26,1864200.0
2019-01-25,1206600.0
2018-12-24,1458800.0
2019-09-06,2209800.0
2018-07-17,1410500.0
2018-09-19,2047200.0
2019-08-05,1038900.0
2019-10-08,1436900.0
2019-12-11,3101800.0
2019-11-27,931100.0
2020-02-14,1325300.0
2020-05-06,1490700.0
2019-01-08,1322700.0
2018-12-07,4081100.0
2019-08-20,2068500.0
2018-11-05,1708900.0
2019-07-19,643800.0
2018-10-04,655800.0
2019-06-17,971900.0
2019-05-16,1272800.0
2018-08-01,1128300.0
2019-03-13,1141800.0
2019-12-03,1064100.0
2020-02-20,859400.0
2019-12-06,1257900.0
2020-05-12,1253100.0
2019-12-09,1073500.0
2020-02-26,1039400.0
2020-05-15,968500.0
2019-03-28,1310300.0
2018-09-17,2197300.0
2018-08-16,1430800.0
2018-10-19,1109500.0
2019-04-29,1296600.0
2019-01-23,1859100.0
2019-09-04,4016300.0
2018-11-20,3629700.0
2019-07-02,2525500.0
2019-05-31,2840000.0
2019-12-12,1973900.0
2020-05-18,1675800.0
2019-09-27,1679900.0
2020-03-03,1389400.0
2020-05-21,1226500.0
2019-05-14,1950200.0
2018-08-31,1903500.0
2018-07-30,2113400.0
2018-10-02,1853200.0
2019-04-12,2070900.0
2019-03-11,1181100.0
2019-02-07,1113600.0
2019-07-17,1430000.0
2019-09-19,3197600.0
2019-10-21,1718700.0
2019-12-18,1780900.0
2020-03-06,1245300.0
2019-10-03,2230900.0
2020-03-09,1976700.0
2020-05-27,1746700.0
2019-12-24,1838300.0
2020-03-12,1928000.0
2018-12-20,1537700.0
2019-08-01,1087500.0
2018-08-14,2141600.0
2018-07-13,2466300.0
2018-10-17,1741700.0
2019-05-29,1482700.0
2019-03-26,1482500.0
2019-02-22,1416700.0
2019-10-04,1437100.0
2019-11-05,1134300.0
2019-12-27,3105100.0
2020-06-02,1304900.0
2019-12-30,1671900.0
2020-03-18,1341700.0
2020-06-05,925400.0
2019-07-15,1578100.0
2018-12-03,1124200.0
2019-06-13,1442300.0
2019-01-04,1314900.0
2018-08-29,1243300.0
2019-02-05,972800.0
2018-11-01,895900.0
2019-08-16,1202200.0
2019-04-10,846000.0
2019-09-17,814500.0
2019-10-15,1806500.0
2020-01-02,983000.0
2020-06-08,1015600.0
2019-10-18,1174600.0
2020-03-24,659300.0
2020-06-11,1013700.0
2020-01-08,1381500.0
2019-04-25,1142900.0
2019-07-30,2773700.0
2019-02-20,1795200.0
2018-07-11,1826800.0
2018-09-13,2202100.0
2018-10-15,3616500.0
2019-06-28,3354000.0
2018-12-18,2024100.0
2018-11-16,1516200.0
2019-10-02,1664600.0
2020-03-27,1758800.0
2020-01-10,1788400.0
2019-10-24,1398700.0
2020-03-30,1366100.0
2020-06-17,1159300.0
2020-01-14,2419300.0
2020-04-02,2072600.0
2019-01-02,3042000.0
2019-08-14,3465100.0
2018-10-30,1954000.0
2019-06-11,4021500.0
2019-05-10,2138000.0
2019-04-08,2486900.0
2018-08-27,1863200.0
2018-07-26,3581900.0
2018-09-28,1804300.0
2019-03-07,1391800.0
2019-10-30,894900.0
2020-01-17,2233200.0
2020-06-23,1899600.0
2020-04-08,2201400.0
2020-06-26,1215300.0
2019-03-22,1535100.0
2019-01-17,1417800.0
2019-08-29,1663800.0
2018-11-14,1202000.0
2019-06-26,2115100.0
2018-09-11,2147100.0
2018-07-09,2096300.0
2018-08-10,1513100.0
2019-04-23,2510400.0
2019-09-30,1781600.0
2020-01-23,5127500.0
2019-11-08,1485000.0
2020-04-14,473100.0
2019-11-11,714200.0
2020-01-29,838000.0
2020-04-17,953500.0
2018-07-24,1456100.0
2018-09-26,2274200.0
2019-05-08,2021400.0
2019-03-05,2222600.0
2019-02-01,2342600.0
2018-12-31,1240000.0
2018-11-29,1585000.0
2019-08-12,1723300.0
2019-07-11,1646400.0
2019-09-13,2123500.0
2019-11-14,1320000.0
2020-04-20,1559000.0
2020-02-04,2484900.0
2020-04-23,2805400.0
2018-12-14,1957000.0
2019-08-27,2182100.0
2018-08-08,1833700.0
2018-10-11,1962000.0
2018-11-12,3671400.0
2019-07-26,3785100.0
2019-06-24,2747700.0
2019-05-23,2145900.0
2019-03-20,1711700.0
2019-01-15,2410600.0
2019-11-20,1873000.0
2020-02-07,1305900.0
2020-02-10,1443200.0
2020-04-29,956700.0
2019-11-26,1006500.0
2020-02-13,1678100.0
2019-01-30,1238500.0
2018-08-23,1299200.0
2018-09-24,1344000.0
2018-11-27,1338400.0
2018-10-26,1164200.0
2019-07-09,1433400.0
2019-06-07,2065700.0
2019-05-06,2138100.0
2019-04-04,2151500.0
2019-09-11,2359700.0
2019-11-29,3740100.0
2020-05-05,2277100.0
2019-12-02,2497500.0
2020-02-19,2095800.0
2020-05-08,1699200.0
2019-05-21,2127000.0
2019-03-18,3102600.0
2018-09-07,3061500.0
2018-08-06,2492200.0
2018-10-09,4219600.0
2019-02-14,4608000.0
2018-12-12,4099800.0
2019-07-24,5207800.0
2019-09-26,3158400.0
2019-10-28,2324800.0
2019-12-05,4074900.0
2020-05-11,3548900.0
2019-07-03,5047600.0
2020-02-25,3753600.0
2020-05-14,3799100.0
2020-02-28,2357900.0
2019-08-08,2221200.0
2019-06-05,2852300.0
2018-07-20,2006000.0
2018-08-21,2480900.0
2018-10-24,3003400.0
2019-04-02,4110200.0
2019-03-01,3279600.0
2019-01-28,2641600.0
2018-12-27,2654100.0
2019-09-09,1485200.0
2020-03-02,4330100.0
2020-05-20,2116600.0
2019-12-17,5314900.0
2020-03-05,5588400.0
2019-02-12,3502000.0
2019-01-11,1969000.0
2018-12-10,4591500.0
2019-08-23,2031500.0
2018-11-08,4460300.0
2019-07-22,4551600.0
2019-06-20,5545800.0
2018-09-05,4543300.0
2019-04-17,3493000.0
2019-09-24,2519400.0
2019-12-20,2460000.0
2020-05-26,1951500.0
2019-04-30,1962900.0
2019-12-23,1506000.0
2020-03-11,1799100.0
2020-05-29,2453000.0
2019-12-26,2540500.0
2020-06-01,3213800.0
2019-05-02,2043700.0
2019-02-27,2435300.0
2018-11-23,2632100.0
2019-08-06,2152500.0
2018-07-18,2268200.0
2018-09-20,2167700.0
2018-10-22,1603000.0
2019-07-05,3527200.0
2019-06-03,1997600.0
2019-10-09,1418900.0
2019-10-11,2468100.0
2020-03-17,1535700.0
2020-06-04,1793400.0
2019-10-14,2586600.0
2020-03-20,1240700.0
2018-11-06,2111700.0
2019-06-18,2004800.0
2019-05-17,1483200.0
2019-04-15,2005000.0
2019-03-14,2945700.0
2019-01-09,2170200.0
2018-08-02,2109200.0
2018-10-05,2825000.0
2019-08-21,2003100.0
2019-10-17,2000000.0
2020-03-23,5481400.0
2020-06-10,1554100.0
2019-02-25,2198200.0
2020-01-07,2411500.0
2020-03-26,2158400.0
2019-10-23,2372700.0
