Dates,JPM
2018-06-20,107.54000091552734
2018-06-21,107.51000213623047
2018-06-25,105.75
2018-06-22,104.79000091552734
2018-06-26,104.86000061035156
2018-06-27,103.23999786376953
2018-06-28,104.93000030517578
2018-06-29,104.19999694824219
2018-07-02,105.08000183105469
2018-07-03,103.61000061035156
2018-07-05,103.72000122070312
2018-07-16,104.05999755859375
2018-09-18,107.27999877929688
2019-01-24,106.62000274658203
2019-09-05,106.38999938964844
2018-11-21,106.8499984741211
2020-01-13,106.36000061035156
2020-04-01,110.58000183105469
2020-06-19,110.5
2019-10-29,111.52999877929688
2020-01-16,109.88999938964844
2020-06-22,111.27999877929688
2018-10-03,113.3499984741211
2018-07-31,114.1500015258789
2019-03-12,115.18000030517578
2019-02-08,114.8499984741211
2019-01-07,116.02999877929688
2018-12-06,116.7300033569336
2019-08-19,114.94999694824219
2019-07-18,115.66000366210938
2019-05-15,116.1500015258789
2019-09-20,117.08999633789062
2019-11-01,117.12000274658203
2020-04-07,117.55000305175781
2020-06-25,117.79000091552734
2020-06-16,116.87999725341797
2019-11-04,115.7300033569336
2020-01-22,113.88999938964844
2019-11-07,114.6500015258789
2020-04-13,113.69999694824219
2019-07-01,114.7699966430664
2019-05-30,114.7699966430664
2018-08-15,114.62000274658203
2018-10-18,115.31999969482422
2019-03-27,114.97000122070312
2019-01-22,114.7300033569336
2018-12-21,114.68000030517578
2019-09-03,116.70999908447266
2018-11-19,116.13999938964844
2019-08-02,115.76000213623047
2020-01-28,115.19000244140625
2020-04-16,114.58000183105469
2019-11-13,115.1500015258789
2020-01-31,114.58999633789062
2018-12-04,114.0999984741211
2018-11-02,114.31999969482422
2019-07-16,113.70999908447266
2018-08-30,114.43000030517578
2018-10-01,113.08000183105469
2019-06-14,113.5199966430664
2019-05-13,113.5
2019-04-11,113.83999633789062
2019-02-06,114.30000305175781
2019-09-18,117.62000274658203
2020-02-03,118.62999725341797
2020-04-22,117.8499984741211
2019-11-19,116.72000122070312
2020-02-06,116.38999938964844
2019-11-22,115.0199966430664
2019-03-25,114.5199966430664
2019-02-21,112.83999633789062
2018-12-19,113.5
2018-07-12,113.97000122070312
2018-09-14,115.04000091552734
2018-08-13,115.2699966430664
2018-10-16,114.62000274658203
2019-07-31,115.31999969482422
2019-05-28,114.5199966430664
2019-04-26,111.47000122070312
2020-04-28,108.12999725341797
2019-11-25,106.94999694824219
2020-02-12,106.33999633789062
2020-05-01,108.62000274658203
2020-05-04,109.83000183105469
2019-06-12,108.08999633789062
2019-04-09,107.91000366210938
2019-03-08,106.36000061035156
2019-02-04,105.25
2018-07-27,103.29000091552734
2018-08-28,104.86000061035156
2019-01-03,103.41999816894531
2019-08-15,104.8499984741211
2018-10-31,106.69999694824219
2019-09-16,109.0199966430664
2020-02-18,108.9800033569336
2020-05-07,108.37999725341797
2018-08-17,109.08999633789062
2019-12-04,109.5999984741211
2020-02-21,111.4800033569336
2018-12-17,112.37999725341797
2019-08-30,111.29000091552734
2018-11-15,108.94999694824219
2019-07-29,109.58999633789062
2019-06-27,107.33000183105469
2019-04-24,110.06999969482422
2018-07-10,109.98999786376953
2018-09-12,110.83000183105469
2019-02-19,108.44999694824219
2019-01-18,107.63999938964844
2020-02-24,106.6500015258789
2020-05-13,109.26000213623047
2019-12-10,109.72000122070312
2020-02-27,110.94000244140625
2019-12-13,110.05999755859375
2020-05-19,111.19000244140625
2019-03-06,112.23999786376953
2018-11-30,107.2300033569336
2019-08-13,105.19000244140625
2019-07-12,103.29000091552734
2019-06-10,101.36000061035156
2019-05-09,100.37000274658203
2018-07-25,101.0199966430664
2018-09-27,101.12000274658203
2018-10-29,100.29000091552734
2019-10-16,99.01000213623047
2019-12-16,98.54000091552734
