Dates,JPM
2018-09-21,14242200.0
2018-07-19,11389100.0
2018-08-20,10412900.0
2018-10-23,8613300.0
2019-05-03,8185400.0
2019-04-01,9387000.0
2019-02-28,15017700.0
2019-11-12,9575800.0
2020-01-30,12205900.0
2019-11-15,13189000.0
2020-04-21,13783700.0
2019-04-16,10503600.0
2019-03-15,10142000.0
2019-02-11,9672700.0
2019-01-10,9570100.0
2019-08-22,8518200.0
2018-11-07,7967900.0
2018-08-03,7918900.0
2018-09-04,14558000.0
2019-06-19,8537300.0
2019-09-23,11665500.0
2019-11-18,9966400.0
2020-02-05,10367800.0
2020-04-24,10952800.0
2019-03-29,11680700.0
2019-11-21,12858600.0
2020-04-27,8340500.0
2020-02-11,8726700.0
2020-04-30,10618900.0
2019-05-01,11380600.0
2019-02-26,9847700.0
2019-01-25,9669000.0
2018-12-24,8406900.0
2019-09-06,9077400.0
2018-07-17,8128600.0
2018-09-19,11057300.0
2019-08-05,13126500.0
2019-10-08,13638000.0
2019-12-11,27089500.0
2019-11-27,13039600.0
2020-02-14,18660100.0
2020-05-06,10324600.0
2019-01-08,10906600.0
2018-12-07,21634700.0
2019-08-20,12762500.0
2018-11-05,10174900.0
2019-07-19,6849400.0
2018-10-04,7929400.0
2019-06-17,6917200.0
2019-05-16,8947300.0
2018-08-01,9242300.0
2019-03-13,11595200.0
2019-12-03,10783400.0
2020-02-20,12946600.0
2019-12-06,16945000.0
2020-05-12,13120900.0
2019-12-09,9400700.0
2020-02-26,10402800.0
2020-05-15,9061100.0
2019-03-28,12752200.0
2018-09-17,10011000.0
2018-08-16,10138400.0
2018-10-19,12800400.0
2019-04-29,8500400.0
2019-01-23,7121100.0
2019-09-04,13648000.0
2018-11-20,15664500.0
2019-07-02,11025500.0
2019-05-31,15855300.0
2019-12-12,10203500.0
2020-05-18,17320900.0
2019-09-27,10903300.0
2020-03-03,9980800.0
2020-05-21,8437200.0
2019-05-14,12124700.0
2018-08-31,19491800.0
2018-07-30,13365600.0
2018-10-02,11830600.0
2019-04-12,8265400.0
2019-03-11,8374000.0
2019-02-07,8189300.0
2019-07-17,9343400.0
2019-09-19,14762300.0
2019-10-21,8209500.0
2019-12-18,14331800.0
2020-03-06,10585500.0
2019-10-03,10002200.0
2020-03-09,10170300.0
2020-05-27,9868800.0
2019-12-24,6929200.0
2020-03-12,13224700.0
2018-12-20,7836600.0
2019-08-01,13985100.0
2018-08-14,14333100.0
2018-07-13,9919200.0
2018-10-17,12283500.0
2019-05-29,16257200.0
2019-03-26,11993900.0
2019-02-22,10735400.0
2019-10-04,10665600.0
2019-11-05,9382600.0
2019-12-27,21862800.0
2020-06-02,9135100.0
2019-12-30,11696500.0
2020-03-18,9389400.0
2020-06-05,9899200.0
2019-07-15,10207800.0
2018-12-03,9755000.0
2019-06-13,11250300.0
2019-01-04,12548700.0
2018-08-29,12735200.0
2019-02-05,9453100.0
2018-11-01,6771600.0
2019-08-16,10806300.0
2019-04-10,7273700.0
2019-09-17,10994100.0
2019-10-15,15076500.0
2020-01-02,8779000.0
2020-06-08,23379000.0
2019-10-18,11087700.0
2020-03-24,10818500.0
2020-06-11,10417400.0
2020-01-08,12714600.0
2019-04-25,12549100.0
2019-07-30,8828300.0
2019-02-20,8020500.0
2018-07-11,9055700.0
2018-09-13,9522200.0
2018-10-15,9797300.0
2019-06-28,8513300.0
2018-12-18,11589000.0
2018-11-16,11682600.0
2019-10-02,9159900.0
2020-03-27,13747600.0
2020-01-10,11231100.0
2019-10-24,13528900.0
2020-03-30,9293400.0
2020-06-17,8679000.0
2020-01-14,9099000.0
2020-04-02,8023300.0
2019-01-02,8483400.0
2019-08-14,10163600.0
2018-10-30,8749300.0
2019-06-11,8824500.0
2019-05-10,11782800.0
2019-04-08,7705100.0
2018-08-27,8167900.0
2018-07-26,10068500.0
2018-09-28,10490700.0
2019-03-07,6607900.0
2019-10-30,5712000.0
2020-01-17,8615600.0
2020-06-23,10361300.0
2020-04-08,10318200.0
2020-06-26,9587400.0
2019-03-22,10170600.0
2019-01-17,8498200.0
2019-08-29,7532900.0
2018-11-14,9011900.0
2019-06-26,13717400.0
2018-09-11,10592100.0
2018-07-09,11372000.0
2018-08-10,11546800.0
2019-04-23,10381500.0
2019-09-30,9350400.0
2020-01-23,29992600.0
