Dates,JPM
2018-06-20,108.18000030517578
2018-06-21,107.0999984741211
2018-06-25,108.16000366210938
2018-06-22,105.66000366210938
2018-06-26,104.70999908447266
2018-06-27,104.68000030517578
2018-06-28,103.68000030517578
2018-06-29,106.68000030517578
2018-07-02,103.72000122070312
2018-07-03,105.41000366210938
2018-07-05,104.12999725341797
2018-07-16,103.12000274658203
2018-09-18,104.70999908447266
2019-01-24,108.0199966430664
2019-09-05,106.30999755859375
2018-11-21,107.41999816894531
2020-01-13,107.30000305175781
2020-04-01,107.05000305175781
2020-06-19,110.69000244140625
2019-10-29,110.41999816894531
2020-01-16,111.05999755859375
2020-06-22,110.0
2018-10-03,111.05999755859375
2018-07-31,113.55000305175781
2019-03-12,113.87999725341797
2019-02-08,115.41999816894531
2019-01-07,115.18000030517578
2018-12-06,116.27999877929688
2019-08-19,117.08000183105469
2019-07-18,115.75
2019-05-15,114.56999969482422
2019-09-20,116.0
2019-11-01,116.79000091552734
2020-04-07,117.73999786376953
2020-06-25,117.33000183105469
2020-06-16,117.51000213623047
2019-11-04,115.5
2020-01-22,115.55999755859375
2019-11-07,114.2699966430664
2020-04-13,113.81999969482422
2019-07-01,114.3499984741211
2019-05-30,114.63999938964844
2018-08-15,114.58999633789062
2018-10-18,115.37000274658203
2019-03-27,115.30999755859375
2019-01-22,114.95999908447266
2018-12-21,114.9800033569336
2019-09-03,115.22000122070312
2018-11-19,117.0
2019-08-02,116.3499984741211
2020-01-28,115.58999633789062
2020-04-16,114.83000183105469
2019-11-13,114.33999633789062
2020-01-31,115.0
2018-12-04,114.5
2018-11-02,114.5
2019-07-16,114.8499984741211
2018-08-30,113.54000091552734
2018-10-01,114.25
2019-06-14,113.37000274658203
2019-05-13,113.80999755859375
2019-04-11,113.79000091552734
2019-02-06,114.33000183105469
2019-09-18,114.44000244140625
2020-02-03,118.5
2020-04-22,119.12999725341797
2019-11-19,117.76000213623047
2020-02-06,117.04000091552734
2019-11-22,116.75
