Dates,VRSN
2020-05-19,983900.0
2019-03-06,878500.0
2018-11-30,806200.0
2019-08-13,1270700.0
2019-07-12,827300.0
2019-06-10,610200.0
2019-05-09,844200.0
2018-07-25,1422900.0
2018-09-27,882000.0
2018-10-29,676300.0
2019-10-16,1166400.0
2019-12-16,1128500.0
2020-03-04,913300.0
2020-05-22,1160400.0
2019-10-01,3782200.0
2019-12-19,600000.0
2018-09-10,907100.0
2019-05-24,938900.0
2018-08-09,535000.0
2019-04-22,544000.0
2019-03-21,560500.0
2019-01-16,665100.0
2019-08-28,789300.0
2018-11-13,643000.0
2018-10-12,942300.0
2019-06-25,860400.0
2020-03-10,496200.0
2020-05-28,512600.0
2019-10-07,596900.0
2020-03-13,592400.0
2019-10-10,876900.0
2020-03-16,481700.0
2020-06-03,1077900.0
2018-11-28,637700.0
2018-09-25,480700.0
2018-07-23,614700.0
2018-08-24,495900.0
2019-07-10,594300.0
2019-05-07,341200.0
2019-04-05,449100.0
2019-03-04,996100.0
2019-01-31,685000.0
2019-09-12,701500.0
2019-12-31,683800.0
2020-03-19,644800.0
2020-01-03,633800.0
2020-06-09,763600.0
2019-02-15,698500.0
2019-01-14,723400.0
2018-07-06,713200.0
2018-08-07,433500.0
2018-10-10,545900.0
2018-12-13,559000.0
2019-08-26,613400.0
2019-07-25,539400.0
2019-05-22,509900.0
2019-03-19,788300.0
2020-01-06,437200.0
2020-03-25,355300.0
2020-06-12,671800.0
2019-10-22,499600.0
2020-01-09,506600.0
2020-06-15,541500.0
2019-10-25,576200.0
2020-03-31,581300.0
2020-06-18,412000.0
2019-04-03,397100.0
2018-08-22,608800.0
2018-10-25,595400.0
2019-01-29,712800.0
2018-12-28,1226000.0
2018-11-26,489300.0
2019-08-09,1032900.0
2019-07-08,703000.0
2019-06-06,502300.0
2019-09-10,432000.0
2020-01-15,492800.0
2020-04-03,408400.0
2019-10-31,447800.0
2020-04-06,370900.0
2020-06-24,732600.0
2018-11-09,630500.0
2019-07-23,449500.0
2019-06-21,437500.0
2019-05-20,313600.0
2019-04-18,625100.0
2018-09-06,550700.0
2018-10-08,706000.0
2019-02-13,1035200.0
2018-12-11,1070700.0
2019-09-25,417900.0
2020-01-21,478400.0
2020-04-09,349100.0
2019-11-06,403700.0
2020-01-24,485200.0
2020-01-27,475800.0
2020-04-15,593000.0
2018-12-26,366200.0
2019-08-07,855400.0
2019-06-04,1096900.0
2018-09-21,560500.0
2018-07-19,922500.0
2018-08-20,467000.0
2018-10-23,719100.0
2019-05-03,415100.0
2019-04-01,431100.0
2019-02-28,805200.0
2019-11-12,669600.0
2020-01-30,506600.0
2019-11-15,604100.0
2020-04-21,459900.0
2019-04-16,583900.0
2019-03-15,408700.0
2019-02-11,611600.0
2019-01-10,349200.0
2019-08-22,412400.0
2018-11-07,343900.0
2018-08-03,673000.0
2018-09-04,548100.0
2019-06-19,506600.0
2019-09-23,662300.0
2019-11-18,463500.0
2020-02-05,447700.0
2020-04-24,435400.0
2019-03-29,771400.0
2019-11-21,538900.0
2020-04-27,549200.0
2020-02-11,507000.0
2020-04-30,552800.0
2019-05-01,426300.0
2019-02-26,561000.0
2019-01-25,407600.0
2018-12-24,505800.0
2019-09-06,620900.0
2018-07-17,439500.0
2018-09-19,617100.0
2019-08-05,479700.0
2019-10-08,585300.0
2019-12-11,1210600.0
2019-11-27,696500.0
2020-02-14,469300.0
2020-05-06,526200.0
2019-01-08,313900.0
2018-12-07,1179100.0
2019-08-20,493200.0
2018-11-05,659000.0
2019-07-19,382800.0
2018-10-04,519000.0
