Dates,VRSN
2018-06-20,141.39999389648438
2018-06-21,139.1199951171875
2018-06-25,138.35000610351562
2018-06-22,135.2100067138672
2018-06-26,135.6999969482422
2018-06-27,135.14999389648438
2018-06-28,134.83999633789062
2018-06-29,137.4199981689453
2018-07-02,136.6300048828125
2018-07-03,138.38999938964844
2018-07-05,139.5
2018-07-16,140.61000061035156
2018-09-18,141.6999969482422
2019-01-24,142.24000549316406
2019-09-05,142.6300048828125
2018-11-21,144.86000061035156
2020-01-13,146.22000122070312
2020-04-01,147.58999633789062
2020-06-19,145.61000061035156
2019-10-29,148.02999877929688
2020-01-16,147.72999572753906
2020-06-22,148.00999450683594
2018-10-03,147.75999450683594
2018-07-31,147.6300048828125
2019-03-12,148.89999389648438
2019-02-08,148.88999938964844
2019-01-07,148.0399932861328
2018-12-06,145.25999450683594
2019-08-19,145.1300048828125
2019-07-18,145.3800048828125
2019-05-15,146.91000366210938
2019-09-20,149.52999877929688
2019-11-01,150.72000122070312
2020-04-07,151.11000061035156
2020-06-25,151.2100067138672
2020-06-16,152.22000122070312
2019-11-04,152.30999755859375
2020-01-22,152.32000732421875
2019-11-07,151.92999267578125
2020-04-13,152.3000030517578
2019-07-01,152.5800018310547
2019-05-30,150.3699951171875
2018-08-15,149.8699951171875
2018-10-18,152.24000549316406
2019-03-27,151.97999572753906
2019-01-22,153.16000366210938
2018-12-21,154.72999572753906
2019-09-03,156.72000122070312
2018-11-19,157.30999755859375
2019-08-02,158.66000366210938
2020-01-28,157.0800018310547
2020-04-16,157.24000549316406
2019-11-13,157.8000030517578
2020-01-31,154.3000030517578
2018-12-04,156.00999450683594
2018-11-02,156.7899932861328
2019-07-16,158.08999633789062
2018-08-30,160.35000610351562
2018-10-01,159.85000610351562
2019-06-14,161.75999450683594
2019-05-13,162.02999877929688
2019-04-11,161.08999633789062
2019-02-06,160.38999938964844
2019-09-18,158.8000030517578
2020-02-03,159.63999938964844
2020-04-22,159.27999877929688
2019-11-19,157.00999450683594
2020-02-06,158.8000030517578
2019-11-22,158.75
2019-03-25,158.44000244140625
2019-02-21,158.57000732421875
2018-12-19,159.00999450683594
2018-07-12,157.24000549316406
2018-09-14,157.30999755859375
2018-08-13,153.9499969482422
2018-10-16,152.8000030517578
2019-07-31,148.88999938964844
2019-05-28,147.4499969482422
2019-04-26,140.77999877929688
2020-04-28,138.08999633789062
2019-11-25,141.47999572753906
2020-02-12,141.6999969482422
2020-05-01,143.4499969482422
2020-05-04,144.5800018310547
2019-06-12,141.63999938964844
2019-04-09,141.0
2019-03-08,141.64999389648438
2019-02-04,137.91000366210938
2018-07-27,133.7100067138672
2018-08-28,134.00999450683594
2019-01-03,131.27999877929688
2019-08-15,133.49000549316406
2018-10-31,134.19000244140625
2019-09-16,138.91000366210938
2020-02-18,138.97000122070312
2020-05-07,159.75
2018-08-17,159.2100067138672
2019-12-04,156.2100067138672
2020-02-21,156.83999633789062
2018-12-17,157.9499969482422
2019-08-30,156.85000610351562
2018-11-15,153.02999877929688
2019-07-29,151.97999572753906
2019-06-27,150.63999938964844
2019-04-24,150.60000610351562
2018-07-10,153.8300018310547
2018-09-12,148.83999633789062
2019-02-19,144.94000244140625
2019-01-18,147.22000122070312
2020-02-24,148.27999877929688
2020-05-13,151.0500030517578
2019-12-10,149.8699951171875
2020-02-27,151.25
2019-12-13,154.6699981689453
2020-05-19,155.52999877929688
2019-03-06,157.57000732421875
2018-11-30,153.35000610351562
2019-08-13,150.63999938964844
2019-07-12,152.3300018310547
2019-06-10,153.1999969482422
2019-05-09,154.3800048828125
