Dates,VRSN
2018-06-20,144.61000061035156
2018-06-21,142.25999450683594
2018-06-25,140.47000122070312
2018-06-22,138.1999969482422
2018-06-26,136.44000244140625
2018-06-27,136.8699951171875
2018-06-28,135.0
2018-06-29,138.3000030517578
2018-07-02,136.72999572753906
2018-07-03,140.63999938964844
2018-07-05,139.75999450683594
2018-07-16,140.69000244140625
2018-09-18,142.75999450683594
2019-01-24,143.30999755859375
2019-09-05,142.85000610351562
2018-11-21,145.25999450683594
2020-01-13,147.55999755859375
2020-04-01,147.77000427246094
2020-06-19,146.88999938964844
2019-10-29,150.02000427246094
2020-01-16,148.8800048828125
2020-06-22,148.14999389648438
2018-10-03,149.08999633789062
2018-07-31,149.64999389648438
2019-03-12,148.89999389648438
2019-02-08,150.3000030517578
2019-01-07,154.44000244140625
2018-12-06,149.82000732421875
2019-08-19,146.27999877929688
2019-07-18,145.72000122070312
2019-05-15,146.9199981689453
2019-09-20,151.11000061035156
2019-11-01,151.11000061035156
2020-04-07,151.11000061035156
2020-06-25,151.2100067138672
2020-06-16,152.55999755859375
2019-11-04,152.30999755859375
2020-01-22,153.00999450683594
2019-11-07,152.5500030517578
2020-04-13,153.0
2019-07-01,154.4199981689453
2019-05-30,152.07000732421875
2018-08-15,151.6199951171875
2018-10-18,152.33999633789062
2019-03-27,151.97999572753906
2019-01-22,153.1699981689453
2018-12-21,154.72999572753906
2019-09-03,157.00999450683594
2018-11-19,158.3699951171875
2019-08-02,158.99000549316406
2020-01-28,158.60000610351562
2020-04-16,158.11000061035156
2019-11-13,158.75
2020-01-31,158.3699951171875
2018-12-04,156.57000732421875
2018-11-02,157.11000061035156
2019-07-16,158.69000244140625
2018-08-30,160.82000732421875
2018-10-01,161.27000427246094
2019-06-14,162.3699951171875
2019-05-13,162.94000244140625
2019-04-11,163.30999755859375
2019-02-06,161.17999267578125
2019-09-18,163.1999969482422
2020-02-03,159.97999572753906
2020-04-22,161.1699981689453
2019-11-19,159.19000244140625
2020-02-06,159.64999389648438
2019-11-22,160.86000061035156
2019-03-25,159.47000122070312
2019-02-21,158.9199981689453
2018-12-19,161.0500030517578
2018-07-12,159.94000244140625
2018-09-14,158.33999633789062
2018-08-13,157.32000732421875
2018-10-16,155.52000427246094
2019-07-31,153.83999633789062
2019-05-28,150.77999877929688
2019-04-26,147.55999755859375
2020-04-28,140.0800018310547
2019-11-25,141.60000610351562
2020-02-12,143.02000427246094
2020-05-01,143.6699981689453
2020-05-04,147.1999969482422
2019-06-12,145.3300018310547
2019-04-09,143.2100067138672
2019-03-08,142.0
2019-02-04,140.7899932861328
2018-07-27,141.6699981689453
2018-08-28,135.0500030517578
2019-01-03,135.3699951171875
2019-08-15,141.44000244140625
2018-10-31,135.30999755859375
2019-09-16,140.1199951171875
2020-02-18,142.5399932861328
2020-05-07,160.0
2018-08-17,164.4499969482422
2019-12-04,160.2100067138672
2020-02-21,157.72999572753906
2018-12-17,158.63999938964844
2019-08-30,159.10000610351562
2018-11-15,159.63999938964844
2019-07-29,153.11000061035156
2019-06-27,154.0
2019-04-24,150.6300048828125
2018-07-10,154.1999969482422
2018-09-12,154.8699951171875
2019-02-19,146.25
2019-01-18,148.52999877929688
2020-02-24,148.27999877929688
2020-05-13,152.25
2019-12-10,153.1300048828125
2020-02-27,151.6699981689453
2019-12-13,155.02999877929688
2020-05-19,156.47999572753906
2019-03-06,158.66000366210938
2018-11-30,158.75999450683594
2019-08-13,151.25
2019-07-12,157.16000366210938
2019-06-10,153.92999267578125
2019-05-09,159.1699981689453
2018-07-25,157.8800048828125
2018-09-27,158.14999389648438
2018-10-29,154.99000549316406
2019-10-16,152.7899932861328
2019-12-16,150.80999755859375
2020-03-04,150.02000427246094
2020-05-22,149.17999267578125
2019-10-01,148.3800048828125
2019-12-19,141.4199981689453
2018-09-10,140.63999938964844
2019-05-24,144.44000244140625
2018-08-09,148.6199951171875
2019-04-22,147.9199981689453
2019-03-21,145.44000244140625
2019-01-16,145.6199951171875
2019-08-28,144.72999572753906
2018-11-13,149.1199951171875
2018-10-12,152.55999755859375
2019-06-25,156.6999969482422
2020-03-10,155.1699981689453
2020-05-28,156.8800048828125
2019-10-07,156.4199981689453
2020-03-13,157.97999572753906
2019-10-10,160.99000549316406
2020-03-16,160.6300048828125
2020-06-03,164.75
2018-11-28,163.6199951171875
2018-09-25,163.2899932861328
2018-07-23,163.1999969482422
2018-08-24,164.9199981689453
2019-07-10,167.2899932861328
2019-05-07,166.4499969482422
2019-04-05,165.1199951171875
2019-03-04,168.47000122070312
2019-01-31,169.72999572753906
2019-09-12,170.82000732421875
2019-12-31,173.3300018310547
2020-03-19,173.52999877929688
