Dates,INFO
2018-06-20,2357400.0
2018-06-21,1312800.0
2018-06-25,5372100.0
2018-06-22,1963300.0
2018-06-26,3864400.0
2018-06-27,5556100.0
2018-06-28,2873900.0
2018-06-29,2760500.0
2018-07-02,1852400.0
2018-07-03,1264000.0
2018-07-05,2515100.0
2018-07-16,1506600.0
2018-09-18,2014800.0
2019-01-24,2563300.0
2019-09-05,1964500.0
2018-11-21,1178300.0
2020-01-13,1453500.0
2020-04-01,984100.0
2020-06-19,1149900.0
2019-10-29,1200900.0
2020-01-16,905200.0
2020-06-22,1152100.0
2018-10-03,1919400.0
2018-07-31,1026900.0
2019-03-12,1170700.0
2019-02-08,1155100.0
2019-01-07,1020300.0
2018-12-06,942600.0
2019-08-19,1167000.0
2019-07-18,1191400.0
2019-05-15,1299400.0
2019-09-20,1484700.0
2019-11-01,845900.0
2020-04-07,821200.0
2020-06-25,634900.0
2020-06-16,975200.0
2019-11-04,773700.0
2020-01-22,978100.0
2019-11-07,894300.0
2020-04-13,1744300.0
2019-07-01,872400.0
2019-05-30,1587700.0
2018-08-15,989300.0
2018-10-18,1271300.0
2019-03-27,1899200.0
2019-01-22,1179800.0
2018-12-21,1095300.0
2019-09-03,1704000.0
2018-11-19,1564600.0
2019-08-02,1448600.0
2020-01-28,891300.0
2020-04-16,1473400.0
2019-11-13,1474300.0
2020-01-31,1156200.0
2018-12-04,1159100.0
2018-11-02,948300.0
2019-07-16,1151400.0
2018-08-30,1357200.0
2018-10-01,902800.0
2019-06-14,1120100.0
2019-05-13,1105100.0
2019-04-11,931100.0
2019-02-06,1420300.0
2019-09-18,1359600.0
2020-02-03,1281300.0
2020-04-22,2754100.0
2019-11-19,2856700.0
2020-02-06,3581300.0
2019-11-22,3031200.0
2019-03-25,2066600.0
2019-02-21,2494700.0
2018-12-19,1487000.0
2018-07-12,1375000.0
2018-09-14,1559900.0
2018-08-13,1666500.0
2018-10-16,1378000.0
2019-07-31,1710400.0
2019-05-28,1622000.0
2019-04-26,1965900.0
2020-04-28,2930000.0
2019-11-25,2288100.0
2020-02-12,1707400.0
2020-05-01,1136000.0
2020-05-04,1545000.0
2019-06-12,1777900.0
2019-04-09,1944200.0
2019-03-08,1409200.0
2019-02-04,1817600.0
2018-07-27,2103500.0
2018-08-28,3086400.0
2019-01-03,2483700.0
2019-08-15,2200800.0
2018-10-31,2055700.0
2019-09-16,2321300.0
2020-02-18,1963400.0
2020-05-07,1508700.0
2018-08-17,1353700.0
2019-12-04,1485400.0
2020-02-21,1542600.0
2018-12-17,2116800.0
2019-08-30,2368100.0
2018-11-15,1856700.0
2019-07-29,3413600.0
2019-06-27,2634100.0
2019-04-24,2503500.0
2018-07-10,2033800.0
2018-09-12,2713700.0
2019-02-19,4042800.0
2019-01-18,1491800.0
2020-02-24,1017100.0
2020-05-13,1942900.0
2019-12-10,1828100.0
2020-02-27,1898700.0
2019-12-13,1720800.0
2020-05-19,2070700.0
2019-03-06,3321900.0
2018-11-30,2214800.0
2019-08-13,2869100.0
2019-07-12,2408300.0
2019-06-10,2365400.0
2019-05-09,2350300.0
2018-07-25,2660400.0
2018-09-27,2261200.0
2018-10-29,2636200.0
2019-10-16,4136100.0
2019-12-16,4140800.0
2020-03-04,3013700.0
2020-05-22,3829200.0
2019-10-01,7106600.0
2019-12-19,1256100.0
2018-09-10,2042000.0
2019-05-24,2300100.0
2018-08-09,1261900.0
2019-04-22,1578500.0
2019-03-21,2424800.0
2019-01-16,1923000.0
2019-08-28,4098700.0
2018-11-13,2480100.0
2018-10-12,2038800.0
2019-06-25,1846300.0
2020-03-10,1645900.0
2020-05-28,1202800.0
2019-10-07,2023500.0
2020-03-13,2868600.0
2019-10-10,2999500.0
2020-03-16,1931800.0
2020-06-03,2416900.0
2018-11-28,1985700.0
2018-09-25,1384400.0
2018-07-23,1184200.0
2018-08-24,3612600.0
2019-07-10,2305000.0
2019-05-07,1873300.0
2019-04-05,2590100.0
2019-03-04,2825200.0
2019-01-31,1726800.0
2019-09-12,1906200.0
2019-12-31,1856100.0
2020-03-19,1218200.0
2020-01-03,1695000.0
2020-06-09,1570600.0
2019-02-15,1474400.0
2019-01-14,1580300.0
2018-07-06,1940600.0
2018-08-07,1123100.0
2018-10-10,1917600.0
2018-12-13,1541700.0
2019-08-26,1411600.0
2019-07-25,1535500.0
2019-05-22,1715300.0
2019-03-19,2174900.0
2020-01-06,1482700.0
2020-03-25,1618200.0
2020-06-12,2875800.0
2019-10-22,2573900.0
2020-01-09,1819100.0
2020-06-15,1145500.0
2019-10-25,1289800.0
2020-03-31,1646800.0
2020-06-18,1295400.0
2019-04-03,1819700.0
2018-08-22,1672600.0
2018-10-25,2047200.0
2019-01-29,1561200.0
2018-12-28,3958500.0
2018-11-26,2410000.0
2019-08-09,1588500.0
2019-07-08,1546800.0
