Dates,INFO
2018-06-20,50.89500045776367
2018-06-21,50.66999816894531
2018-06-25,50.83000183105469
2018-06-22,49.86000061035156
2018-06-26,51.13999938964844
2018-06-27,51.2599983215332
2018-06-28,51.25
2018-06-29,51.540000915527344
2018-07-02,50.119998931884766
2018-07-03,51.599998474121094
2018-07-05,51.755001068115234
2018-07-16,52.20000076293945
2018-09-18,52.400001525878906
2019-01-24,52.279998779296875
2019-09-05,46.16999816894531
2018-11-21,52.4900016784668
2020-01-13,52.20000076293945
2020-04-01,51.893001556396484
2020-06-19,52.060001373291016
2019-10-29,52.529998779296875
2020-01-16,52.5
2020-06-22,51.880001068115234
2018-10-03,52.54999923706055
2018-07-31,52.630001068115234
2019-03-12,53.04999923706055
2019-02-08,53.81100082397461
2019-01-07,53.2400016784668
2018-12-06,52.83000183105469
2019-08-19,52.790000915527344
2019-07-18,53.0
2019-05-15,52.75
2019-09-20,52.630001068115234
2019-11-01,52.98099899291992
2020-04-07,53.5
2020-06-25,53.709999084472656
2020-06-16,53.959999084472656
2019-11-04,53.65999984741211
2020-01-22,53.75
2019-11-07,53.939998626708984
2020-04-13,53.36000061035156
2019-07-01,53.290000915527344
2019-05-30,53.470001220703125
2018-08-15,53.65999984741211
2018-10-18,53.82500076293945
2019-03-27,53.529998779296875
2019-01-22,53.599998474121094
2018-12-21,53.630001068115234
2019-09-03,53.86000061035156
2018-11-19,54.20000076293945
2019-08-02,54.540000915527344
2020-01-28,54.41999816894531
2020-04-16,54.665000915527344
2019-11-13,54.82500076293945
2020-01-31,54.959999084472656
2018-12-04,54.209999084472656
2018-11-02,54.5
2019-07-16,54.56999969482422
2018-08-30,54.86000061035156
2018-10-01,54.61000061035156
2019-06-14,55.18000030517578
2019-05-13,54.939998626708984
2019-04-11,54.34000015258789
2019-02-06,54.529998779296875
2019-09-18,54.189998626708984
2020-02-03,54.36000061035156
2020-04-22,54.900001525878906
2019-11-19,54.209999084472656
2020-02-06,52.93000030517578
2019-11-22,53.22999954223633
2019-03-25,53.209999084472656
2019-02-21,53.08000183105469
2018-12-19,53.72999954223633
2018-07-12,53.720001220703125
2018-09-14,54.183998107910156
2018-08-13,53.25
2018-10-16,53.290000915527344
2019-07-31,52.5
2019-05-28,52.70000076293945
2019-04-26,51.08000183105469
2020-04-28,48.04999923706055
2019-11-25,50.90999984741211
2020-02-12,51.09000015258789
2020-05-01,51.29999923706055
2020-05-04,51.84000015258789
2019-06-12,52.06999969482422
2019-04-09,51.720001220703125
2019-03-08,51.75
2019-02-04,50.34000015258789
2018-07-27,49.93000030517578
2018-08-28,50.02000045776367
2019-01-03,49.95500183105469
2019-08-15,49.72999954223633
2018-10-31,50.5
2019-09-16,51.68000030517578
2020-02-18,52.38999938964844
2020-05-07,52.06999969482422
2018-08-17,51.720001220703125
2019-12-04,51.90999984741211
2020-02-21,52.439998626708984
2018-12-17,52.65999984741211
2019-08-30,52.54999923706055
2018-11-15,51.290000915527344
2019-07-29,50.9900016784668
2019-06-27,50.529998779296875
2019-04-24,50.65999984741211
2018-07-10,51.86000061035156
2018-09-12,50.41999816894531
2019-02-19,49.4900016784668
2019-01-18,49.720001220703125
2020-02-24,49.459999084472656
2020-05-13,50.0
2019-12-10,50.58000183105469
2020-02-27,51.15999984741211
2019-12-13,52.22999954223633
2020-05-19,52.599998474121094
2019-03-06,53.720001220703125
2018-11-30,52.310001373291016
2019-08-13,50.40999984741211
2019-07-12,50.790000915527344
2019-06-10,50.22999954223633
2019-05-09,50.25
2018-07-25,50.2599983215332
2018-09-27,49.529998779296875
2018-10-29,48.54999923706055
2019-10-16,48.20000076293945
2019-12-16,49.189998626708984
2020-03-04,48.0
2020-05-22,47.54999923706055
2019-10-01,46.154998779296875
2019-12-19,44.880001068115234
2018-09-10,44.93000030517578
2019-05-24,44.52000045776367
2018-08-09,46.849998474121094
2019-04-22,47.459999084472656
2019-03-21,46.96500015258789
2019-01-16,46.34000015258789
2019-08-28,46.68000030517578
2018-11-13,48.435001373291016
2018-10-12,48.91999816894531
2019-06-25,49.34000015258789
2020-03-10,49.2599983215332
2020-05-28,49.08000183105469
2019-10-07,49.11000061035156
2020-03-13,49.78799819946289
2019-10-10,50.439998626708984
2020-03-16,50.540000915527344
2020-06-03,51.30500030517578
2018-11-28,51.119998931884766
2018-09-25,50.95500183105469
2018-07-23,50.779998779296875
2018-08-24,51.189998626708984
2019-07-10,50.59000015258789
2019-05-07,50.470001220703125
2019-04-05,50.66999816894531
2019-03-04,51.25
2019-01-31,51.220001220703125
2019-09-12,51.770999908447266
2019-12-31,51.849998474121094
2020-03-19,51.89500045776367
2020-01-03,51.599998474121094
2020-06-09,51.736000061035156
2019-02-15,52.45000076293945
2019-01-14,51.11000061035156
2018-07-06,53.191001892089844
2018-08-07,52.31999969482422
2018-10-10,53.220001220703125
2018-12-13,52.845001220703125
2019-08-26,52.939998626708984
2019-07-25,52.5099983215332
2019-05-22,52.290000915527344
2019-03-19,52.939998626708984
2020-01-06,52.61000061035156
2020-03-25,52.7599983215332
2020-06-12,52.93000030517578
2019-10-22,53.209999084472656
2020-01-09,53.06100082397461
2020-06-15,53.41999816894531
2019-10-25,53.0
2020-03-31,52.439998626708984
2020-06-18,52.060001373291016
2019-04-03,52.58000183105469
2018-08-22,53.7599983215332
2018-10-25,54.220001220703125
2019-01-29,54.06999969482422
2018-12-28,54.06999969482422
2018-11-26,54.52000045776367
2019-08-09,55.13999938964844
2019-07-08,54.77000045776367
2019-06-06,54.22999954223633
2019-09-10,54.439998626708984
