Dates,AKAM
2018-06-20,81.88999938964844
2018-06-21,82.37000274658203
2018-06-25,81.8499984741211
2018-06-22,79.5999984741211
2018-06-26,74.48999786376953
2018-06-27,74.52999877929688
2018-06-28,71.05000305175781
2018-06-29,72.51000213623047
2018-07-02,72.68000030517578
2018-07-03,75.0
2018-07-05,73.62000274658203
2018-07-16,74.38999938964844
2018-09-18,75.80000305175781
2019-01-24,76.11000061035156
2019-09-05,75.18000030517578
2018-11-21,77.08000183105469
2020-01-13,76.95999908447266
2020-04-01,77.52999877929688
2020-06-19,77.22000122070312
2019-10-29,78.83000183105469
2020-01-16,77.95999908447266
2020-06-22,78.56999969482422
2018-10-03,78.44000244140625
2018-07-31,79.9000015258789
2019-03-12,79.44999694824219
2019-02-08,79.5
2019-01-07,80.93000030517578
2018-12-06,79.51000213623047
2019-08-19,75.2699966430664
2019-07-18,70.26000213623047
2019-05-15,70.0999984741211
2019-09-20,74.25
2019-11-01,74.54000091552734
2020-04-07,75.41000366210938
2020-06-25,75.23999786376953
2020-06-16,76.62000274658203
2019-11-04,75.9000015258789
2020-01-22,72.70999908447266
2019-11-07,72.23999786376953
2020-04-13,71.55000305175781
2019-07-01,72.37999725341797
2019-05-30,71.26000213623047
2018-08-15,71.8499984741211
2018-10-18,72.62000274658203
2019-03-27,72.75
2019-01-22,73.05000305175781
2018-12-21,73.22000122070312
2019-09-03,73.91999816894531
2018-11-19,74.76000213623047
2019-08-02,74.55999755859375
2020-01-28,75.12000274658203
2020-04-16,74.62999725341797
2019-11-13,74.66000366210938
2020-01-31,74.51000213623047
2018-12-04,73.62999725341797
2018-11-02,73.62000274658203
2019-07-16,75.83999633789062
2018-08-30,76.52999877929688
2018-10-01,76.69999694824219
2019-06-14,76.58999633789062
2019-05-13,76.19000244140625
2019-04-11,75.66999816894531
2019-02-06,74.13999938964844
2019-09-18,74.13999938964844
2020-02-03,73.6500015258789
2020-04-22,74.5
2019-11-19,73.27999877929688
2020-02-06,72.80999755859375
2019-11-22,73.1500015258789
2019-03-25,72.72000122070312
2019-02-21,72.36000061035156
2018-12-19,73.38999938964844
2018-07-12,71.1500015258789
2018-09-14,69.8499984741211
2018-08-13,68.8499984741211
2018-10-16,66.30000305175781
2019-07-31,65.94000244140625
2019-05-28,65.19000244140625
2019-04-26,64.62999725341797
2020-04-28,62.2599983215332
2019-11-25,62.70000076293945
2020-02-12,62.75
2020-05-01,63.97999954223633
2020-05-04,65.36000061035156
2019-06-12,65.5
2019-04-09,64.7300033569336
2019-03-08,64.56999969482422
2019-02-04,63.97999954223633
2018-07-27,64.2699966430664
2018-08-28,62.869998931884766
2019-01-03,62.38999938964844
2019-08-15,63.0
2018-10-31,69.97000122070312
2019-09-16,73.33999633789062
2020-02-18,72.51000213623047
2020-05-07,72.6500015258789
2018-08-17,71.19999694824219
2019-12-04,68.7300033569336
2020-02-21,70.29000091552734
2018-12-17,71.45999908447266
2019-08-30,71.94999694824219
2018-11-15,70.70999908447266
2019-07-29,69.18000030517578
2019-06-27,69.54000091552734
2019-04-24,68.25
2018-07-10,69.12000274658203
2018-09-12,69.83999633789062
2019-02-19,67.23999786376953
2019-01-18,67.29000091552734
2020-02-24,67.16999816894531
2020-05-13,68.37999725341797
2019-12-10,68.06999969482422
2020-02-27,68.18000030517578
2019-12-13,69.2300033569336
2020-05-19,68.31999969482422
2019-03-06,69.70999908447266
2018-11-30,69.91000366210938
2019-08-13,67.80999755859375
2019-07-12,68.94000244140625
2019-06-10,66.55000305175781
2019-05-09,68.08000183105469
2018-07-25,68.2300033569336
2018-09-27,68.16999816894531
2018-10-29,66.51000213623047
2019-10-16,65.01000213623047
2019-12-16,64.62000274658203
2020-03-04,64.7300033569336
2020-05-22,62.63999938964844
2019-10-01,62.439998626708984
2019-12-19,59.4900016784668
2018-09-10,58.939998626708984
2019-05-24,60.209999084472656
2018-08-09,62.2400016784668
2019-04-22,61.310001373291016
2019-03-21,58.869998931884766
2019-01-16,58.25
2019-08-28,58.439998626708984
2018-11-13,59.529998779296875
2018-10-12,61.7400016784668
2019-06-25,63.779998779296875
2020-03-10,62.709999084472656
2020-05-28,62.939998626708984
2019-10-07,62.45000076293945
2020-03-13,64.26000213623047
2019-10-10,63.34000015258789
2020-03-16,63.68000030517578
2020-06-03,65.36000061035156
2018-11-28,65.37999725341797
2018-09-25,64.56999969482422
2018-07-23,64.4000015258789
2018-08-24,65.0
2019-07-10,64.87000274658203
2019-05-07,65.0
2019-04-05,64.33000183105469
2019-03-04,64.8499984741211
2019-01-31,65.0
2019-09-12,65.58999633789062
2019-12-31,67.30999755859375
2020-03-19,68.08999633789062
2020-01-03,67.11000061035156
2020-06-09,66.12999725341797
2019-02-15,67.25
2019-01-14,68.80999755859375
2018-07-06,70.3499984741211
2018-08-07,70.16000366210938
2018-10-10,71.23999786376953
2018-12-13,69.7300033569336
2019-08-26,70.80000305175781
2019-07-25,69.7300033569336
2019-05-22,68.73999786376953
2019-03-19,70.37000274658203
2020-01-06,69.43000030517578
2020-03-25,69.4000015258789
2020-06-12,69.11000061035156
2019-10-22,70.05999755859375
2020-01-09,71.55000305175781
2020-06-15,70.20999908447266
2019-10-25,70.62000274658203
2020-03-31,71.08999633789062
2020-06-18,69.70999908447266
2019-04-03,70.66999816894531
2018-08-22,72.0
2018-10-25,72.37000274658203
2019-01-29,72.66000366210938
2018-12-28,72.88999938964844
2018-11-26,72.56999969482422
2019-08-09,72.41999816894531
2019-07-08,72.5999984741211
2019-06-06,72.13999938964844
2019-09-10,73.08999633789062
2020-01-15,68.2300033569336
2020-04-03,69.52999877929688
2019-10-31,69.7699966430664
2020-04-06,71.04000091552734
2020-06-24,71.68000030517578
2018-11-09,72.23999786376953
2019-07-23,73.0
2019-06-21,73.19000244140625
2019-05-20,73.61000061035156
2019-04-18,73.55999755859375
2018-09-06,73.9800033569336
2018-10-08,74.16000366210938
2019-02-13,74.33999633789062
2018-12-11,75.0999984741211
2019-09-25,75.80000305175781
2020-01-21,76.7699966430664
2020-04-09,77.12999725341797
2019-11-06,77.0
2020-01-24,75.5999984741211
2020-01-27,75.5199966430664
2020-04-15,76.87000274658203
2018-12-26,77.95999908447266
2019-08-07,78.1500015258789
2019-06-04,78.5
2018-09-21,78.94999694824219
2018-07-19,79.37000274658203
2018-08-20,86.01000213623047
2018-10-23,80.94999694824219
2019-05-03,80.4000015258789
2019-04-01,78.5
2019-02-28,78.13999938964844
2019-11-12,77.0
2020-01-30,76.16999816894531
2019-11-15,75.86000061035156
2020-04-21,74.68000030517578
2019-04-16,74.91999816894531
2019-03-15,75.04000091552734
2019-02-11,76.87999725341797
2019-01-10,77.04000091552734
2019-08-22,76.83000183105469
2018-11-07,77.5
2018-08-03,77.7300033569336
2018-09-04,78.5
2019-06-19,78.16999816894531
2019-09-23,78.2300033569336
2019-11-18,77.44000244140625
2020-02-05,77.68000030517578
2020-04-24,76.0
2019-03-29,74.69999694824219
2019-11-21,74.16000366210938
2020-04-27,76.4800033569336
2020-02-11,78.12000274658203
2020-04-30,78.5
2019-05-01,79.98999786376953
2019-02-26,80.37000274658203
2019-01-25,79.0999984741211
2018-12-24,79.5999984741211
