Dates,PVH
2018-06-20,931100.0
2018-06-21,1089800.0
2018-06-25,1493300.0
2018-06-22,1244400.0
2018-06-26,1597300.0
2018-06-27,1049100.0
2018-06-28,878900.0
2018-06-29,960700.0
2018-07-02,828300.0
2018-07-03,511400.0
2018-07-05,1009100.0
2018-07-16,618700.0
2018-09-18,1199800.0
2019-01-24,996100.0
2019-09-05,1097800.0
2018-11-21,717000.0
2020-01-13,471700.0
2020-04-01,927300.0
2020-06-19,1281300.0
2019-10-29,846000.0
2020-01-16,734600.0
2020-06-22,977700.0
2018-10-03,1065600.0
2018-07-31,1028800.0
2019-03-12,709300.0
2019-02-08,973000.0
2019-01-07,518300.0
2018-12-06,724400.0
2019-08-19,839800.0
2019-07-18,668500.0
2019-05-15,730400.0
2019-09-20,479000.0
2019-11-01,657300.0
2020-04-07,635700.0
2020-06-25,489500.0
2020-06-16,652800.0
2019-11-04,789800.0
2020-01-22,433000.0
2019-11-07,726800.0
2020-04-13,724300.0
2019-07-01,610800.0
2019-05-30,816800.0
2018-08-15,846400.0
2018-10-18,1132300.0
2019-03-27,1137600.0
2019-01-22,873400.0
2018-12-21,919300.0
2019-09-03,897300.0
2018-11-19,1026500.0
2019-08-02,1989300.0
2020-01-28,5233600.0
2020-04-16,2709000.0
2019-11-13,2526600.0
2020-01-31,2004700.0
2018-12-04,1908300.0
2018-11-02,2113400.0
2019-07-16,1599000.0
2018-08-30,1617400.0
2018-10-01,1109200.0
2019-06-14,905600.0
2019-05-13,1093700.0
2019-04-11,950200.0
2019-02-06,1069100.0
2019-09-18,1040000.0
2020-02-03,1350800.0
2020-04-22,1465100.0
2019-11-19,1373400.0
2020-02-06,885900.0
2019-11-22,1002400.0
2019-03-25,966900.0
2019-02-21,972700.0
2018-12-19,854200.0
2018-07-12,1143100.0
2018-09-14,902300.0
2018-08-13,1288800.0
2018-10-16,1610900.0
2019-07-31,992700.0
2019-05-28,995400.0
2019-04-26,1865800.0
2020-04-28,1321700.0
2019-11-25,947600.0
2020-02-12,633300.0
2020-05-01,691300.0
2020-05-04,770700.0
2019-06-12,844300.0
2019-04-09,1267500.0
2019-03-08,868900.0
2019-02-04,831500.0
2018-07-27,1096600.0
2018-08-28,728700.0
2019-01-03,800500.0
2019-08-15,906400.0
2018-10-31,1105000.0
2019-09-16,1120600.0
2020-02-18,1157300.0
2020-05-07,842300.0
2018-08-17,676800.0
2019-12-04,669500.0
2020-02-21,1471100.0
2018-12-17,1292000.0
2019-08-30,604600.0
2018-11-15,1038900.0
2019-07-29,528400.0
2019-06-27,1090200.0
2019-04-24,1320800.0
2018-07-10,1336400.0
2018-09-12,1086800.0
2019-02-19,1681000.0
2019-01-18,1149400.0
2020-02-24,405500.0
2020-05-13,1222300.0
2019-12-10,1731500.0
2020-02-27,2314800.0
2019-12-13,1848400.0
2020-05-19,3135600.0
2019-03-06,2579900.0
2018-11-30,1444200.0
2019-08-13,1322100.0
2019-07-12,1169400.0
2019-06-10,1136300.0
2019-05-09,1234000.0
2018-07-25,1271800.0
2018-09-27,1194200.0
2018-10-29,1222000.0
2019-10-16,1795300.0
2019-12-16,1799000.0
2020-03-04,1906600.0
2020-05-22,1606100.0
2019-10-01,1663400.0
2019-12-19,689900.0
2018-09-10,1249000.0
2019-05-24,885000.0
2018-08-09,1475600.0
2019-04-22,909500.0
2019-03-21,897300.0
2019-01-16,1286200.0
2019-08-28,1061700.0
2018-11-13,1860500.0
2018-10-12,1437200.0
2019-06-25,1055500.0
2020-03-10,1558800.0
2020-05-28,2323500.0
2019-10-07,1757900.0
2020-03-13,1011800.0
2019-10-10,909200.0
2020-03-16,1164900.0
2020-06-03,1634300.0
2018-11-28,1257700.0
2018-09-25,1268600.0
2018-07-23,581600.0
2018-08-24,590300.0
2019-07-10,537800.0
2019-05-07,792400.0
2019-04-05,806100.0
2019-03-04,803900.0
2019-01-31,1067200.0
2019-09-12,1011600.0
2019-12-31,1007900.0
2020-03-19,677700.0
2020-01-03,1091000.0
2020-06-09,851100.0
2019-02-15,691700.0
2019-01-14,1096400.0
2018-07-06,759900.0
2018-08-07,846900.0
2018-10-10,765600.0
2018-12-13,987500.0
2019-08-26,1054200.0
2019-07-25,911500.0
2019-05-22,1082000.0
2019-03-19,1512400.0
2020-01-06,707300.0
2020-03-25,816800.0
2020-06-12,927100.0
2019-10-22,951000.0
2020-01-09,1276200.0
2020-06-15,1163900.0
2019-10-25,1108500.0
2020-03-31,1079300.0
2020-06-18,835900.0
2019-04-03,601900.0
2018-08-22,662300.0
2018-10-25,652200.0
2019-01-29,483700.0
2018-12-28,1294100.0
2018-11-26,1215400.0
2019-08-09,844400.0
2019-07-08,1228500.0
2019-06-06,1019200.0
2019-09-10,1444900.0
2020-01-15,1225900.0
2020-04-03,822300.0
2019-10-31,1628600.0
2020-04-06,5484600.0
2020-06-24,2547300.0
2018-11-09,2051300.0
2019-07-23,1256700.0
2019-06-21,1153100.0
2019-05-20,1583000.0
2019-04-18,1385600.0
2018-09-06,1008600.0
2018-10-08,1165300.0
2019-02-13,796000.0
2018-12-11,725100.0
2019-09-25,955200.0
2020-01-21,904800.0
2020-04-09,852100.0
2019-11-06,1223300.0
2020-01-24,1048000.0
2020-01-27,782500.0
2020-04-15,1280100.0
2018-12-26,556200.0
2019-08-07,641700.0
2019-06-04,713900.0
2018-09-21,738900.0
2018-07-19,789100.0
2018-08-20,551900.0
2018-10-23,737200.0
2019-05-03,682300.0
2019-04-01,752700.0
2019-02-28,1051100.0
2019-11-12,885400.0
2020-01-30,1085000.0
2019-11-15,983800.0
2020-04-21,1568800.0
2019-04-16,1316900.0
2019-03-15,1180500.0
2019-02-11,805900.0
2019-01-10,802000.0
2019-08-22,1065300.0
2018-11-07,1077200.0
2018-08-03,1970700.0
2018-09-04,1586300.0
2019-06-19,1347500.0
2019-09-23,1416000.0
2019-11-18,2504700.0
2020-02-05,7940500.0
2020-04-24,2876800.0
2019-03-29,3332900.0
2019-11-21,2020000.0
2020-04-27,1557800.0
2020-02-11,1111500.0
2020-04-30,1352000.0
2019-05-01,922800.0
2019-02-26,1135600.0
2019-01-25,1436200.0
2018-12-24,741400.0
