Dates,PVH
2018-06-20,156.63999938964844
2018-06-21,154.02000427246094
2018-06-25,152.02999877929688
2018-06-22,148.8000030517578
2018-06-26,151.47999572753906
2018-06-27,150.8699951171875
2018-06-28,149.3300018310547
2018-06-29,149.63999938964844
2018-07-02,146.72999572753906
2018-07-03,145.63999938964844
2018-07-05,144.47000122070312
2018-07-16,145.5399932861328
2018-09-18,146.49000549316406
2019-01-24,149.0
2019-09-05,147.07000732421875
2018-11-21,147.86000061035156
2020-01-13,147.42999267578125
2020-04-01,147.89999389648438
2020-06-19,148.25
2019-10-29,150.33999633789062
2020-01-16,151.44000244140625
2020-06-22,153.5399932861328
2018-10-03,154.22999572753906
2018-07-31,153.52000427246094
2019-03-12,153.5500030517578
2019-02-08,156.22000122070312
2019-01-07,153.17999267578125
2018-12-06,152.36000061035156
2019-08-19,151.72000122070312
2019-07-18,150.00999450683594
2019-05-15,147.4199981689453
2019-09-20,150.25
2019-11-01,149.33999633789062
2020-04-07,152.08999633789062
2020-06-25,153.5399932861328
2020-06-16,153.2899932861328
2019-11-04,153.25999450683594
2020-01-22,152.5
2019-11-07,151.8699951171875
2020-04-13,147.5399932861328
2019-07-01,147.7100067138672
2019-05-30,147.88999938964844
2018-08-15,149.86000061035156
2018-10-18,151.69000244140625
2019-03-27,152.1300048828125
2019-01-22,153.5399932861328
2018-12-21,151.61000061035156
2019-09-03,153.69000244140625
2018-11-19,153.69000244140625
2019-08-02,153.05999755859375
2020-01-28,141.0
2020-04-16,140.25
2019-11-13,136.3000030517578
2020-01-31,134.7899932861328
2018-12-04,136.22000122070312
2018-11-02,131.60000610351562
2019-07-16,132.77999877929688
2018-08-30,135.33999633789062
2018-10-01,137.6199951171875
2019-06-14,139.24000549316406
2019-05-13,138.0
2019-04-11,138.02999877929688
2019-02-06,137.22999572753906
2019-09-18,137.02000427246094
2020-02-03,140.22999572753906
2020-04-22,141.07000732421875
2019-11-19,139.7100067138672
2020-02-06,138.89999389648438
2019-11-22,139.6699981689453
2019-03-25,142.30999755859375
2019-02-21,143.1199951171875
2018-12-19,141.3000030517578
2018-07-12,137.0800018310547
2018-09-14,137.00999450683594
2018-08-13,133.5
2018-10-16,130.89999389648438
2019-07-31,131.75999450683594
2019-05-28,132.91000366210938
2019-04-26,124.58000183105469
2020-04-28,123.26000213623047
2019-11-25,124.86000061035156
2020-02-12,125.19999694824219
2020-05-01,126.16000366210938
2020-05-04,127.52999877929688
2019-06-12,125.72000122070312
2019-04-09,121.08999633789062
2019-03-08,120.05999755859375
2019-02-04,117.66000366210938
2018-07-27,118.9800033569336
2018-08-28,119.62000274658203
2019-01-03,116.5199966430664
2019-08-15,116.70999908447266
2018-10-31,117.33999633789062
2019-09-16,119.54000091552734
2020-02-18,119.62000274658203
2020-05-07,124.04000091552734
2018-08-17,123.88999938964844
2019-12-04,124.26000213623047
2020-02-21,121.01000213623047
2018-12-17,123.02999877929688
2019-08-30,121.01000213623047
2018-11-15,119.44000244140625
2019-07-29,119.98999786376953
2019-06-27,120.37999725341797
2019-04-24,115.05000305175781
2018-07-10,114.12999725341797
2018-09-12,110.0
2019-02-19,106.62999725341797
2019-01-18,108.36000061035156
2020-02-24,110.04000091552734
2020-05-13,110.91000366210938
2019-12-10,108.54000091552734
2020-02-27,108.62999725341797
2019-12-13,109.13999938964844
2020-05-19,109.11000061035156
2019-03-06,113.27999877929688
2018-11-30,106.2300033569336
2019-08-13,102.76000213623047
