Dates,MAS
2018-06-20,3624700.0
2018-06-21,3238400.0
2018-06-25,3781600.0
2018-06-22,3203200.0
2018-06-26,3573300.0
2018-06-27,3381300.0
2018-06-28,2466200.0
2018-06-29,2992100.0
2018-07-02,2675100.0
2018-07-03,1008400.0
2018-07-05,2536800.0
2018-07-16,2460900.0
2018-09-18,2388500.0
2019-01-24,1894000.0
2019-09-05,3447800.0
2018-11-21,3581900.0
2020-01-13,2464700.0
2020-04-01,2310700.0
2020-06-19,3017700.0
2019-10-29,2836300.0
2020-01-16,2458000.0
2020-06-22,2726000.0
2018-10-03,2765200.0
2018-07-31,3343500.0
2019-03-12,5010200.0
2019-02-08,4336500.0
2019-01-07,3517500.0
2018-12-06,5509700.0
2019-08-19,6104400.0
2019-07-18,3965200.0
2019-05-15,4600400.0
2019-09-20,2632800.0
2019-11-01,1883800.0
2020-04-07,1852600.0
2020-06-25,1487100.0
2020-06-16,2323100.0
2019-11-04,2152900.0
2020-01-22,3047700.0
2019-11-07,2338300.0
2020-04-13,2042100.0
2019-07-01,2556600.0
2019-05-30,2162000.0
2018-08-15,2144300.0
2018-10-18,2308100.0
2019-03-27,2407500.0
2019-01-22,2745300.0
2018-12-21,2651000.0
2019-09-03,1869700.0
2018-11-19,1324500.0
2019-08-02,1591200.0
2020-01-28,1813400.0
2020-04-16,2026800.0
2019-11-13,4096300.0
2020-01-31,2642500.0
2018-12-04,2254200.0
2018-11-02,1984500.0
2019-07-16,2018100.0
2018-08-30,1957000.0
2018-10-01,4461300.0
2019-06-14,2066300.0
2019-05-13,2033500.0
2019-04-11,1910500.0
2019-02-06,2473600.0
2019-09-18,2070700.0
2020-02-03,1913400.0
2020-04-22,2989500.0
2019-11-19,2126000.0
2020-02-06,2733400.0
2019-11-22,3255500.0
2019-03-25,3116900.0
2019-02-21,4465100.0
2018-12-19,4348700.0
2018-07-12,5165100.0
2018-09-14,4968400.0
2018-08-13,4873000.0
2018-10-16,5883500.0
2019-07-31,4115800.0
2019-05-28,6535300.0
2019-04-26,5054000.0
2020-04-28,5230600.0
2019-11-25,6425500.0
2020-02-12,3292500.0
2020-05-01,4182900.0
2020-05-04,4019400.0
2019-06-12,4862600.0
2019-04-09,3626600.0
2019-03-08,7361400.0
2019-02-04,6247800.0
2018-07-27,5184900.0
2018-08-28,6039500.0
2019-01-03,12368600.0
2019-08-15,9001300.0
2018-10-31,7074500.0
2019-09-16,6630300.0
2020-02-18,8158900.0
2020-05-07,6507400.0
2018-08-17,4631900.0
2019-12-04,4030800.0
2020-02-21,4473500.0
2018-12-17,4122600.0
2019-08-30,4801600.0
2018-11-15,4722900.0
2019-07-29,3294300.0
2019-06-27,4106300.0
2019-04-24,5458600.0
2018-07-10,4179700.0
2018-09-12,3709300.0
2019-02-19,4727100.0
2019-01-18,4264100.0
2020-02-24,1010300.0
2020-05-13,5832800.0
2019-12-10,3862400.0
2020-02-27,5015100.0
2019-12-13,4349400.0
2020-05-19,2765500.0
2019-03-06,4905400.0
2018-11-30,4296000.0
2019-08-13,5368100.0
2019-07-12,4474500.0
2019-06-10,4137600.0
2019-05-09,3907400.0
2018-07-25,2880900.0
2018-09-27,3595700.0
2018-10-29,3373700.0
2019-10-16,3506300.0
2019-12-16,4011500.0
2020-03-04,6522000.0
2020-05-22,7410600.0
2019-10-01,6853700.0
2019-12-19,1927900.0
2018-09-10,3155100.0
2019-05-24,3269600.0
2018-08-09,3147800.0
2019-04-22,2639900.0
2019-03-21,2885300.0
2019-01-16,3889900.0
2019-08-28,4503600.0
2018-11-13,4663600.0
2018-10-12,5182000.0
2019-06-25,4954400.0
2020-03-10,4824100.0
2020-05-28,2641000.0
2019-10-07,3099200.0
2020-03-13,6602400.0
2019-10-10,5817400.0
2020-03-16,3929200.0
2020-06-03,5562000.0
2018-11-28,5134000.0
2018-09-25,3285800.0
2018-07-23,3476600.0
2018-08-24,2561400.0
2019-07-10,3887700.0
2019-05-07,3854100.0
2019-04-05,3189200.0
2019-03-04,5095200.0
2019-01-31,5508400.0
2019-09-12,2428200.0
2019-12-31,3238700.0
2020-03-19,5069000.0
2020-01-03,8549700.0
2020-06-09,7792000.0
2019-02-15,4654000.0
2019-01-14,5192100.0
2018-07-06,3446800.0
2018-08-07,2805300.0
2018-10-10,2673000.0
2018-12-13,3538900.0
2019-08-26,3524200.0
2019-07-25,4813600.0
2019-05-22,2362900.0
2019-03-19,3830100.0
2020-01-06,3888000.0
2020-03-25,2723300.0
2020-06-12,3909000.0
2019-10-22,8968100.0
2020-01-09,5591900.0
2020-06-15,3913000.0
2019-10-25,3743800.0
2020-03-31,3569900.0
2020-06-18,2559100.0
2019-04-03,3188100.0
2018-08-22,2680300.0
2018-10-25,3646900.0
2019-01-29,2943500.0
2018-12-28,4948300.0
2018-11-26,4508200.0
2019-08-09,2510500.0
2019-07-08,3791900.0
2019-06-06,2629400.0
2019-09-10,3302500.0
2020-01-15,2245700.0
2020-04-03,4321600.0
2019-10-31,2785000.0
2020-04-06,2172100.0
2020-06-24,3156000.0
2018-11-09,3446900.0
2019-07-23,3856100.0
2019-06-21,2995500.0
2019-05-20,1979900.0
2019-04-18,3161900.0
2018-09-06,1827400.0
2018-10-08,1575000.0
2019-02-13,2105400.0
2018-12-11,2579600.0
2019-09-25,2186800.0
2020-01-21,2298900.0
2020-04-09,2963100.0
2019-11-06,3123200.0
2020-01-24,4037500.0
2020-01-27,3053700.0
2020-04-15,4901800.0
2018-12-26,3705500.0
2019-08-07,9167100.0
2019-06-04,7555200.0
2018-09-21,5240100.0
2018-07-19,3938900.0
2018-08-20,3600200.0
2018-10-23,2992500.0
2019-05-03,2494000.0
2019-04-01,3441800.0
2019-02-28,4402500.0
2019-11-12,4606400.0
2020-01-30,6389900.0
2019-11-15,4946700.0
2020-04-21,4453500.0
2019-04-16,3219900.0
2019-03-15,4725400.0
2019-02-11,3417000.0
2019-01-10,2757200.0
2019-08-22,2441600.0
