Dates,EQR
2018-06-20,62.31999969482422
2018-06-21,62.77000045776367
2018-06-25,62.5099983215332
2018-06-22,63.25
2018-06-26,63.63999938964844
2018-06-27,63.189998626708984
2018-06-28,62.689998626708984
2018-06-29,62.970001220703125
2018-07-02,63.68000030517578
2018-07-03,63.47999954223633
2018-07-05,63.63999938964844
2018-07-16,64.55000305175781
2018-09-18,64.79000091552734
2019-01-24,64.55999755859375
2019-09-05,64.83000183105469
2018-11-21,65.11000061035156
2020-01-13,65.22000122070312
2020-04-01,64.30999755859375
2020-06-19,64.58999633789062
2019-10-29,63.75
2020-01-16,63.84000015258789
2020-06-22,64.01000213623047
2018-10-03,63.279998779296875
2018-07-31,63.16999816894531
2019-03-12,64.11000061035156
2019-02-08,65.26000213623047
2019-01-07,64.66999816894531
2018-12-06,64.01000213623047
2019-08-19,64.23999786376953
2019-07-18,64.9800033569336
2019-05-15,65.69999694824219
2019-09-20,65.98999786376953
2019-11-01,66.8499984741211
2020-04-07,67.0
2020-06-25,67.04000091552734
2020-06-16,66.58000183105469
2019-11-04,66.7699966430664
2020-01-22,65.91000366210938
2019-11-07,65.63999938964844
2020-04-13,66.56999969482422
2019-07-01,67.16000366210938
2019-05-30,67.44999694824219
2018-08-15,68.0
2018-10-18,67.62999725341797
2019-03-27,66.9800033569336
2019-01-22,67.0199966430664
2018-12-21,66.7699966430664
2019-09-03,67.52999877929688
2018-11-19,67.44000244140625
2019-08-02,67.91000366210938
2020-01-28,68.18000030517578
2020-04-16,67.83999633789062
2019-11-13,67.44999694824219
2020-01-31,67.05000305175781
2018-12-04,67.66999816894531
2018-11-02,67.54000091552734
2019-07-16,67.62999725341797
2018-08-30,67.5
2018-10-01,67.93000030517578
2019-06-14,68.12000274658203
2019-05-13,67.95999908447266
2019-04-11,67.80000305175781
2019-02-06,68.30999755859375
2019-09-18,67.83999633789062
2020-02-03,67.05999755859375
2020-04-22,67.36000061035156
2019-11-19,67.66999816894531
2020-02-06,66.18000030517578
2019-11-22,66.33999633789062
2019-03-25,65.04000091552734
2019-02-21,65.06999969482422
2018-12-19,66.20999908447266
2018-07-12,66.13999938964844
2018-09-14,66.27999877929688
2018-08-13,64.9800033569336
2018-10-16,65.05999755859375
2019-07-31,64.98999786376953
2019-05-28,65.41000366210938
2019-04-26,65.5
2020-04-28,64.94999694824219
2019-11-25,63.119998931884766
2020-02-12,62.5
2020-05-01,63.2400016784668
2020-05-04,64.29000091552734
2019-06-12,64.12000274658203
2019-04-09,64.41000366210938
2019-03-08,64.98999786376953
2019-02-04,63.400001525878906
2018-07-27,64.04000091552734
2018-08-28,65.51000213623047
2019-01-03,65.91999816894531
2019-08-15,65.43000030517578
2018-10-31,66.44999694824219
2019-09-16,65.69999694824219
2020-02-18,65.2699966430664
2020-05-07,64.51000213623047
2018-08-17,64.58999633789062
2019-12-04,65.87999725341797
2020-02-21,66.91000366210938
2018-12-17,67.23999786376953
2019-08-30,67.38999938964844
2018-11-15,67.55000305175781
2019-07-29,68.16000366210938
2019-06-27,68.3499984741211
2019-04-24,68.36000061035156
2018-07-10,67.72000122070312
2018-09-12,69.36000061035156
2019-02-19,69.44999694824219
2019-01-18,69.44999694824219
2020-02-24,69.47000122070312
2020-05-13,69.44999694824219
2019-12-10,69.4800033569336
2020-02-27,69.68000030517578
2019-12-13,69.98999786376953
2020-05-19,70.61000061035156
2019-03-06,71.5
2018-11-30,71.73999786376953
2019-08-13,70.44999694824219
2019-07-12,72.38999938964844
2019-06-10,71.9000015258789
2019-05-09,71.83999633789062
2018-07-25,71.79000091552734
2018-09-27,69.62999725341797
2018-10-29,69.86000061035156
2019-10-16,70.13999938964844
2019-12-16,68.20999908447266
2020-03-04,68.6500015258789
2020-05-22,68.3499984741211
2019-10-01,68.12000274658203
2019-12-19,67.23999786376953
2018-09-10,63.84000015258789
2019-05-24,65.05999755859375
2018-08-09,66.68000030517578
2019-04-22,65.77999877929688
2019-03-21,65.41999816894531
2019-01-16,63.66999816894531
2019-08-28,64.33000183105469
2018-11-13,64.7699966430664
2018-10-12,65.33000183105469
2019-06-25,66.48999786376953
2020-03-10,66.55000305175781
2020-05-28,67.30000305175781
2019-10-07,67.2699966430664
2020-03-13,67.76000213623047
2019-10-10,68.33000183105469
2020-03-16,69.0199966430664
2020-06-03,70.16999816894531
2018-11-28,70.08000183105469
2018-09-25,70.13999938964844
2018-07-23,70.31999969482422
2018-08-24,70.47000122070312
2019-07-10,70.37999725341797
2019-05-07,71.43000030517578
2019-04-05,72.08999633789062
2019-03-04,71.4000015258789
2019-01-31,72.79000091552734
2019-09-12,71.62000274658203
2019-12-31,72.33000183105469
2020-03-19,72.81999969482422
2020-01-03,72.86000061035156
2020-06-09,73.29000091552734
2019-02-15,73.4800033569336
2019-01-14,73.4000015258789
2018-07-06,72.27999877929688
2018-08-07,73.36000061035156
2018-10-10,73.72000122070312
2018-12-13,73.06999969482422
2019-08-26,73.41999816894531
2019-07-25,72.27999877929688
2019-05-22,74.0
2019-03-19,74.37000274658203
2020-01-06,73.7300033569336
2020-03-25,73.2699966430664
2020-06-12,73.23999786376953
2019-10-22,73.6500015258789
2020-01-09,73.72000122070312
2020-06-15,73.91999816894531
2019-10-25,74.01000213623047
2020-03-31,73.66000366210938
2020-06-18,73.44999694824219
2019-04-03,73.88999938964844
2018-08-22,74.5
2018-10-25,75.12999725341797
2019-01-29,74.83999633789062
2018-12-28,75.05999755859375
2018-11-26,74.8499984741211
2019-08-09,73.91000366210938
2019-07-08,73.45999908447266
2019-06-06,73.37000274658203
2019-09-10,74.51000213623047
2020-01-15,74.56999969482422
2020-04-03,74.73999786376953
2019-10-31,75.55000305175781
2020-04-06,75.30000305175781
2020-06-24,75.48999786376953
2018-11-09,75.02999877929688
2019-07-23,75.08999633789062
2019-06-21,75.44999694824219
2019-05-20,75.56999969482422
2019-04-18,75.25
2018-09-06,75.5
2018-10-08,75.69000244140625
2019-02-13,75.75
2018-12-11,76.48999786376953
2019-09-25,76.5
2020-01-21,77.54000091552734
2020-04-09,77.58999633789062
2019-11-06,75.70999908447266
2020-01-24,74.26000213623047
2020-01-27,74.69999694824219
2020-04-15,74.47000122070312
2018-12-26,75.23999786376953
2019-08-07,75.0999984741211
2019-06-04,76.37000274658203
2018-09-21,75.94999694824219
2018-07-19,75.41000366210938
2018-08-20,76.26000213623047
2018-10-23,76.5199966430664
2019-05-03,76.55000305175781
2019-04-01,76.43000030517578
2019-02-28,76.01000213623047
2019-11-12,74.87000274658203
2020-01-30,74.38999938964844
2019-11-15,74.72000122070312
2020-04-21,75.33000183105469
2019-04-16,75.9000015258789
2019-03-15,75.91999816894531
2019-02-11,75.66999816894531
2019-01-10,76.5
2019-08-22,76.58000183105469
