Dates,ROST
2018-06-20,85.5
2018-06-21,86.12000274658203
2018-06-25,86.5999984741211
2018-06-22,85.81999969482422
2018-06-26,85.16999816894531
2018-06-27,85.97000122070312
2018-06-28,84.93000030517578
2018-06-29,85.5
2018-07-02,84.2300033569336
2018-07-03,84.9000015258789
2018-07-05,85.62999725341797
2018-07-16,85.13999938964844
2018-09-18,86.54000091552734
2019-01-24,86.38999938964844
2019-09-05,85.5
2018-11-21,85.04000091552734
2020-01-13,84.76000213623047
2020-04-01,85.3499984741211
2020-06-19,84.69000244140625
2019-10-29,86.33000183105469
2020-01-16,86.83999633789062
2020-06-22,87.52999877929688
2018-10-03,86.45999908447266
2018-07-31,87.51000213623047
2019-03-12,86.54000091552734
2019-02-08,88.30999755859375
2019-01-07,88.36000061035156
2018-12-06,86.0
2019-08-19,86.80999755859375
2019-07-18,87.04000091552734
2019-05-15,85.87000274658203
2019-09-20,89.69999694824219
2019-11-01,89.31999969482422
2020-04-07,89.86000061035156
2020-06-25,90.77999877929688
2020-06-16,91.95999908447266
2019-11-04,91.31999969482422
2020-01-22,91.62999725341797
2019-11-07,91.41000366210938
2020-04-13,92.19000244140625
2019-07-01,91.88999938964844
2019-05-30,91.8499984741211
2018-08-15,92.2300033569336
2018-10-18,93.20999908447266
2019-03-27,93.13999938964844
2019-01-22,93.81999969482422
2018-12-21,92.0
2019-09-03,95.62999725341797
2018-11-19,94.3499984741211
2019-08-02,94.72000122070312
2020-01-28,95.44000244140625
2020-04-16,94.56999969482422
2019-11-13,96.16000366210938
2020-01-31,97.69999694824219
2018-12-04,97.52999877929688
2018-11-02,97.12999725341797
2019-07-16,96.98999786376953
2018-08-30,97.94999694824219
2018-10-01,98.12999725341797
2019-06-14,97.55000305175781
2019-05-13,97.08999633789062
2019-04-11,96.88999938964844
2019-02-06,96.02999877929688
2019-09-18,96.69000244140625
2020-02-03,96.9800033569336
2020-04-22,96.72000122070312
2019-11-19,97.3499984741211
2020-02-06,97.63999938964844
2019-11-22,97.98999786376953
2019-03-25,99.37000274658203
2019-02-21,99.37000274658203
2018-12-19,99.98999786376953
2018-07-12,98.44999694824219
2018-09-14,96.68000030517578
2018-08-13,96.58999633789062
2018-10-16,96.44999694824219
2019-07-31,94.56999969482422
2019-05-28,96.08000183105469
2019-04-26,97.16000366210938
