Dates,ROST
2018-06-20,2276800.0
2018-06-21,2406900.0
2018-06-25,3682300.0
2018-06-22,2794700.0
2018-06-26,2010800.0
2018-06-27,2404400.0
2018-06-28,1873800.0
2018-06-29,1793500.0
2018-07-02,2221600.0
2018-07-03,987400.0
2018-07-05,1747500.0
2018-07-16,2073500.0
2018-09-18,2189700.0
2019-01-24,1613900.0
2019-09-05,1798400.0
2018-11-21,1380000.0
2020-01-13,2009400.0
2020-04-01,1662000.0
2020-06-19,2420600.0
2019-10-29,1975600.0
2020-01-16,1822100.0
2020-06-22,2410600.0
2018-10-03,2186700.0
2018-07-31,1664000.0
2019-03-12,1622700.0
2019-02-08,2158000.0
2019-01-07,1654300.0
2018-12-06,1862400.0
2019-08-19,2837700.0
2019-07-18,3314800.0
2019-05-15,3280800.0
2019-09-20,2330000.0
2019-11-01,1332700.0
2020-04-07,2035700.0
2020-06-25,2099400.0
2020-06-16,1898500.0
2019-11-04,2718000.0
2020-01-22,3901900.0
2019-11-07,2215800.0
2020-04-13,3456000.0
2019-07-01,2764400.0
2019-05-30,2715100.0
2018-08-15,3425700.0
2018-10-18,3951800.0
2019-03-27,3277400.0
2019-01-22,5537300.0
2018-12-21,7465300.0
2019-09-03,3145600.0
2018-11-19,2268100.0
2019-08-02,2646000.0
2020-01-28,2404200.0
2020-04-16,2238300.0
2019-11-13,4290000.0
2020-01-31,2837300.0
2018-12-04,2201300.0
2018-11-02,2704600.0
2019-07-16,2859700.0
2018-08-30,2379300.0
2018-10-01,2733400.0
2019-06-14,2365800.0
2019-05-13,2922400.0
2019-04-11,3211200.0
2019-02-06,2421800.0
2019-09-18,3425900.0
2020-02-03,3752100.0
2020-04-22,5646500.0
2019-11-19,3693900.0
2020-02-06,3657000.0
2019-11-22,2853500.0
2019-03-25,2147400.0
2019-02-21,3438200.0
2018-12-19,2312900.0
2018-07-12,2446200.0
2018-09-14,2132100.0
2018-08-13,2938800.0
2018-10-16,2342000.0
2019-07-31,1868400.0
2019-05-28,2465500.0
2019-04-26,2873000.0
2020-04-28,3308400.0
2019-11-25,3037600.0
2020-02-12,2278900.0
2020-05-01,2079700.0
2020-05-04,3196000.0
2019-06-12,2210600.0
2019-04-09,2924200.0
2019-03-08,1713300.0
2019-02-04,2320700.0
2018-07-27,2670500.0
2018-08-28,2131900.0
2019-01-03,2833700.0
2019-08-15,3686500.0
2018-10-31,2635300.0
2019-09-16,3233300.0
2020-02-18,2710900.0
2020-05-07,2947000.0
2018-08-17,1952800.0
2019-12-04,1912300.0
2020-02-21,2291000.0
2018-12-17,2153300.0
2019-08-30,2070000.0
2018-11-15,2413600.0
2019-07-29,3345500.0
2019-06-27,4746600.0
2019-04-24,4252700.0
2018-07-10,3782900.0
2018-09-12,5776400.0
2019-02-19,7941900.0
2019-01-18,4443800.0
2020-02-24,2213300.0
2020-05-13,4839200.0
2019-12-10,6024700.0
2020-02-27,5930800.0
2019-12-13,3422400.0
2020-05-19,7369100.0
2019-03-06,5198000.0
2018-11-30,4881200.0
2019-08-13,4110600.0
2019-07-12,3474700.0
2019-06-10,3570600.0
2019-05-09,3008400.0
2018-07-25,3055700.0
2018-09-27,2956600.0
2018-10-29,3368100.0
2019-10-16,3915900.0
2019-12-16,2879100.0
2020-03-04,2941200.0
2020-05-22,2680000.0
2019-10-01,6272400.0
2019-12-19,1541000.0
2018-09-10,3865800.0
2019-05-24,3296800.0
2018-08-09,2258800.0
2019-04-22,2327700.0
2019-03-21,2471200.0
2019-01-16,2978700.0
2019-08-28,3146000.0
2018-11-13,3892100.0
2018-10-12,4593500.0
2019-06-25,3310400.0
2020-03-10,2830600.0
2020-05-28,2105100.0
2019-10-07,2394700.0
2020-03-13,2818700.0
2019-10-10,2189000.0
2020-03-16,2408400.0
2020-06-03,2931500.0
2018-11-28,2467800.0
2018-09-25,1665200.0
2018-07-23,2547300.0
2018-08-24,1668700.0
2019-07-10,2362200.0
2019-05-07,1722200.0
2019-04-05,1603500.0
2019-03-04,2854200.0
2019-01-31,1815500.0
2019-09-12,1962600.0
2019-12-31,1533600.0
2020-03-19,1393200.0
2020-01-03,1518100.0
2020-06-09,1656700.0
2019-02-15,1773100.0
2019-01-14,1541200.0
2018-07-06,2189200.0
2018-08-07,1996600.0
2018-10-10,2342600.0
2018-12-13,2225300.0
2019-08-26,2358100.0
2019-07-25,1624600.0
2019-05-22,1602600.0
2019-03-19,1826400.0
2020-01-06,2022100.0
2020-03-25,2659600.0
2020-06-12,2685900.0
2019-10-22,1997500.0
2020-01-09,1755200.0
2020-06-15,3723000.0
2019-10-25,4341600.0
2020-03-31,3599800.0
2020-06-18,3061900.0
2019-04-03,2375200.0
2018-08-22,2115400.0
2018-10-25,2007500.0
2019-01-29,3705700.0
2018-12-28,5396200.0
2018-11-26,2869000.0
2019-08-09,2599400.0
2019-07-08,2182000.0
2019-06-06,1520200.0
