Dates,ROST
2018-06-20,86.70999908447266
2018-06-21,86.75
2018-06-25,86.95999908447266
2018-06-22,86.23999786376953
2018-06-26,85.61000061035156
2018-06-27,87.22000122070312
2018-06-28,85.66999816894531
2018-06-29,86.05000305175781
2018-07-02,84.5999984741211
2018-07-03,85.91000366210938
2018-07-05,85.76000213623047
2018-07-16,86.4800033569336
2018-09-18,86.95999908447266
2019-01-24,86.55000305175781
2019-09-05,85.79000091552734
2018-11-21,85.43000030517578
2020-01-13,85.33000183105469
2020-04-01,85.62000274658203
2020-06-19,86.95999908447266
2019-10-29,87.11000061035156
2020-01-16,88.01000213623047
2020-06-22,87.69999694824219
2018-10-03,88.05999755859375
2018-07-31,87.87000274658203
2019-03-12,87.58999633789062
2019-02-08,89.3499984741211
2019-01-07,88.62999725341797
2018-12-06,87.12999725341797
2019-08-19,87.9000015258789
2019-07-18,87.44999694824219
2019-05-15,89.86000061035156
2019-09-20,89.86000061035156
2019-11-01,89.76000213623047
2020-04-07,91.01000213623047
2020-06-25,92.19000244140625
2020-06-16,92.72000122070312
2019-11-04,92.5999984741211
2020-01-22,91.80000305175781
2019-11-07,92.9800033569336
2020-04-13,92.19000244140625
2019-07-01,92.31999969482422
2019-05-30,92.22000122070312
2018-08-15,92.5
2018-10-18,94.11000061035156
2019-03-27,94.0999984741211
2019-01-22,95.56999969482422
2018-12-21,97.8499984741211
2019-09-03,96.0
2018-11-19,94.66000366210938
2019-08-02,96.23999786376953
2020-01-28,96.37999725341797
2020-04-16,95.88999938964844
2019-11-13,97.76000213623047
2020-01-31,98.19000244140625
2018-12-04,98.23999786376953
2018-11-02,97.63999938964844
2019-07-16,98.05999755859375
2018-08-30,98.69999694824219
2018-10-01,98.6500015258789
2019-06-14,98.0
2019-05-13,97.08999633789062
2019-04-11,97.19000244140625
2019-02-06,97.44000244140625
2019-09-18,97.38999938964844
2020-02-03,97.0999984741211
2020-04-22,97.87000274658203
2019-11-19,98.75
2020-02-06,98.48999786376953
2019-11-22,100.58999633789062
2019-03-25,99.63999938964844
2019-02-21,100.16999816894531
