Dates,TSN
2018-06-20,66.83443450927734
2018-06-21,66.01484680175781
2018-06-25,66.11968231201172
2018-06-22,66.54853057861328
2018-06-26,67.158447265625
2018-06-27,66.02438354492188
2018-06-28,66.00532531738281
2018-06-29,65.61457824707031
2018-07-02,63.29878616333008
2018-07-03,63.689510345458984
2018-07-05,64.12789154052734
2018-07-16,63.861053466796875
2018-09-18,63.49890899658203
2019-01-24,63.53702163696289
2019-09-05,62.898521423339844
2018-11-21,62.86039733886719
2020-01-13,63.18442916870117
2020-04-01,62.76509475708008
2020-06-19,62.47919845581055
2019-10-29,61.46900177001953
2020-01-16,61.85021209716797
2020-06-22,61.10686492919922
2018-10-03,60.57317352294922
2018-07-31,60.13479232788086
2019-03-12,59.677345275878906
2019-02-08,60.716129302978516
2019-01-07,60.57317352294922
2018-12-06,55.96062088012695
2019-08-19,54.94089889526367
2019-07-18,54.893253326416016
2019-05-15,54.84560012817383
2019-09-20,55.036197662353516
2019-11-01,56.83738708496094
2020-04-07,57.06610870361328
2020-06-25,56.75161361694336
2020-06-16,56.89456558227539
2019-11-04,57.35200500488281
2020-01-22,57.06610870361328
2019-11-07,56.78020477294922
2020-04-13,57.18046951293945
2019-07-01,58.09535217285156
2019-05-30,59.467689514160156
2018-08-15,60.42069625854492
2018-10-18,59.95371627807617
2019-03-27,59.56298828125
2019-01-22,59.65829086303711
2018-12-21,60.15385818481445
2019-09-03,59.88700866699219
2018-11-19,59.52486801147461
2019-08-02,60.106204986572266
2020-01-28,59.895538330078125
2020-04-16,60.144508361816406
2019-11-13,60.08705139160156
2020-01-31,59.847660064697266
2018-12-04,60.40304946899414
2018-11-02,60.584983825683594
2019-07-16,60.69989013671875
2018-08-30,60.83395004272461
2018-10-01,61.015892028808594
2019-06-14,60.80522537231445
2019-05-13,60.70946502685547
2019-04-11,60.3838996887207
2019-02-06,59.72317886352539
2019-09-18,58.94755172729492
2020-02-03,59.66572570800781
2020-04-22,58.64113235473633
2019-11-19,58.4017448425293
2020-02-06,57.96126174926758
2019-11-22,57.223941802978516
2019-03-25,57.25267028808594
2019-02-21,57.003700256347656
2018-12-19,56.3525505065918
2018-07-12,56.5249137878418
2018-09-14,56.62067794799805
2018-08-13,57.45375442504883
2018-10-16,58.9379768371582
2019-07-31,60.59456253051758
2019-05-28,60.16366195678711
2019-04-26,58.66986083984375
2020-04-28,57.67399215698242
2019-11-25,57.731449127197266
2020-02-12,58.50707244873047
2020-05-01,59.39760971069336
2020-05-04,59.34015655517578
2019-06-12,59.76148223876953
2019-04-09,59.7806282043457
2019-03-08,59.20610046386719
2019-02-04,59.512516021728516
2018-07-27,59.0911865234375
2018-08-28,59.062461853027344
2019-01-03,57.903812408447266
2019-08-15,58.94755172729492
2018-10-31,59.46463394165039
2019-09-16,57.37715530395508
2020-02-18,59.71359634399414
2020-05-07,58.94755172729492
2018-08-17,59.40718078613281
2019-12-04,59.38802719116211
2020-02-21,59.40718078613281
2018-12-17,58.890098571777344
2019-08-30,59.44548797607422
2018-11-15,58.99542999267578
2019-07-29,55.701416015625
2019-06-27,56.26637268066406
2019-04-24,56.5249137878418
2018-07-10,57.6644172668457
2018-09-12,56.89836502075195
2019-02-19,56.32383728027344
2019-01-18,56.41001510620117
2020-02-24,56.3908576965332
2020-05-13,56.936676025390625
2019-12-10,55.864192962646484
2020-02-27,54.57148742675781
2019-12-13,55.63660430908203
2020-05-19,56.822208404541016
2019-03-06,58.094566345214844
2018-11-30,56.13783645629883
2019-08-13,55.81010818481445
2019-07-12,54.18111038208008
2019-06-10,53.40998458862305
2019-05-09,53.78590393066406
2018-07-25,53.67023468017578
2018-09-27,54.05580139160156
2018-10-29,53.30396270751953
2019-10-16,51.540016174316406
2019-12-16,50.48936080932617
2020-03-04,50.76887893676758
2020-05-22,51.414703369140625
2019-10-01,49.862815856933594
