Dates,CCL
2018-06-20,63.91999816894531
2018-06-21,62.91999816894531
2018-06-25,62.65999984741211
2018-06-22,60.189998626708984
2018-06-26,58.540000915527344
2018-06-27,60.29999923706055
2018-06-28,58.099998474121094
2018-06-29,57.15999984741211
2018-07-02,56.83000183105469
2018-07-03,57.13999938964844
2018-07-05,57.06999969482422
2018-07-16,56.93000030517578
2018-09-18,57.5
2019-01-24,57.529998779296875
2019-09-05,58.0
2018-11-21,58.310001373291016
2020-01-13,58.02000045776367
2020-04-01,58.22999954223633
2020-06-19,58.31999969482422
2019-10-29,59.130001068115234
2020-01-16,59.20000076293945
2020-06-22,58.720001220703125
2018-10-03,58.20000076293945
2018-07-31,58.47999954223633
2019-03-12,57.43000030517578
2019-02-08,57.41999816894531
2019-01-07,57.869998931884766
2018-12-06,58.18000030517578
2019-08-19,58.84000015258789
2019-07-18,59.15999984741211
2019-05-15,57.95000076293945
2019-09-20,58.939998626708984
2019-11-01,58.5099983215332
2020-04-07,58.630001068115234
2020-06-25,59.130001068115234
2020-06-16,59.09000015258789
2019-11-04,59.7400016784668
2020-01-22,59.380001068115234
2019-11-07,58.91999816894531
2020-04-13,58.4900016784668
2019-07-01,59.27000045776367
2019-05-30,59.369998931884766
2018-08-15,60.369998931884766
2018-10-18,61.0
2019-03-27,61.29999923706055
2019-01-22,60.77000045776367
2018-12-21,61.04999923706055
2019-09-03,61.56999969482422
2018-11-19,61.7599983215332
2019-08-02,61.869998931884766
2020-01-28,61.970001220703125
2020-04-16,61.54999923706055
2019-11-13,61.209999084472656
2020-01-31,60.970001220703125
2018-12-04,61.4900016784668
2018-11-02,61.27000045776367
2019-07-16,62.33000183105469
2018-08-30,61.779998779296875
2018-10-01,61.900001525878906
2019-06-14,61.63999938964844
2019-05-13,62.790000915527344
2019-04-11,64.26000213623047
2019-02-06,64.70999908447266
2019-09-18,65.55999755859375
2020-02-03,66.7300033569336
2020-04-22,67.0
2019-11-19,66.9000015258789
2020-02-06,66.83999633789062
2019-11-22,67.1500015258789
2019-03-25,61.88999938964844
2019-02-21,63.7599983215332
2018-12-19,63.720001220703125
2018-07-12,63.54999923706055
2018-09-14,63.099998474121094
2018-08-13,62.59000015258789
2018-10-16,61.68000030517578
2019-07-31,60.33000183105469
2019-05-28,60.36000061035156
2019-04-26,60.52000045776367
2020-04-28,59.119998931884766
2019-11-25,58.90999984741211
2020-02-12,58.22999954223633
2020-05-01,58.459999084472656
2020-05-04,58.77000045776367
2019-06-12,58.869998931884766
2019-04-09,57.45000076293945
2019-03-08,57.4900016784668
2019-02-04,55.939998626708984
2018-07-27,56.560001373291016
2018-08-28,55.380001068115234
2019-01-03,55.380001068115234
2019-08-15,55.20000076293945
2018-10-31,54.09000015258789
2019-09-16,55.18000030517578
2020-02-18,56.38999938964844
2020-05-07,58.150001525878906
2018-08-17,56.75
2019-12-04,56.29999923706055
2020-02-21,57.59000015258789
2018-12-17,58.310001373291016
2019-08-30,57.93000030517578
2018-11-15,57.9900016784668
2019-07-29,58.560001373291016
2019-06-27,59.40999984741211
2019-04-24,58.65999984741211
2018-07-10,59.529998779296875
2018-09-12,59.959999084472656
2019-02-19,58.38999938964844
2019-01-18,59.54999923706055
2020-02-24,59.779998779296875
2020-05-13,61.20000076293945
2019-12-10,60.7599983215332
2020-02-27,60.43000030517578
2019-12-13,61.59000015258789
2020-05-19,60.459999084472656
2019-03-06,60.599998474121094
2018-11-30,59.86000061035156
2019-08-13,57.45000076293945
2019-07-12,58.310001373291016
2019-06-10,56.66999816894531
2019-05-09,57.29999923706055
2018-07-25,57.47999954223633
2018-09-27,56.84000015258789
2018-10-29,55.880001068115234
2019-10-16,56.79999923706055
2019-12-16,56.95000076293945
2020-03-04,56.43000030517578
2020-05-22,52.150001525878906
2019-10-01,50.40999984741211
2019-12-19,47.459999084472656
2018-09-10,46.310001373291016
2019-05-24,47.61000061035156
2018-08-09,48.459999084472656
2019-04-22,48.900001525878906
2019-03-21,48.939998626708984
2019-01-16,49.27000045776367
2019-08-28,48.439998626708984
2018-11-13,51.0099983215332
2018-10-12,52.400001525878906
2019-06-25,52.400001525878906
2020-03-10,51.84000015258789
2020-05-28,52.220001220703125
2019-10-07,52.20000076293945
2020-03-13,52.459999084472656
2019-10-10,52.77000045776367
2020-03-16,52.599998474121094
2020-06-03,53.88999938964844
