Dates,CCL
2018-06-20,3974700.0
2018-06-21,2829400.0
2018-06-25,5053800.0
2018-06-22,16790000.0
2018-06-26,6526300.0
2018-06-27,5691400.0
2018-06-28,5905800.0
2018-06-29,4986100.0
2018-07-02,5315100.0
2018-07-03,4037400.0
2018-07-05,4248800.0
2018-07-16,4357600.0
2018-09-18,4122700.0
2019-01-24,6025500.0
2019-09-05,5568900.0
2018-11-21,3451500.0
2020-01-13,3241000.0
2020-04-01,2864300.0
2020-06-19,2398900.0
2019-10-29,4563200.0
2020-01-16,3811300.0
2020-06-22,3348900.0
2018-10-03,2433500.0
2018-07-31,4035200.0
2019-03-12,3075600.0
2019-02-08,3106400.0
2019-01-07,3256700.0
2018-12-06,3241500.0
2019-08-19,3243200.0
2019-07-18,2499400.0
2019-05-15,4946000.0
2019-09-20,2644900.0
2019-11-01,2456400.0
2020-04-07,2708300.0
2020-06-25,2232100.0
2020-06-16,3606600.0
2019-11-04,4521900.0
2020-01-22,3623000.0
2019-11-07,3590400.0
2020-04-13,3590900.0
2019-07-01,3494500.0
2019-05-30,3421700.0
2018-08-15,2674000.0
2018-10-18,3207800.0
2019-03-27,4190900.0
2019-01-22,3340900.0
2018-12-21,2324800.0
2019-09-03,2647100.0
2018-11-19,2923000.0
2019-08-02,3879100.0
2020-01-28,2068000.0
2020-04-16,2477800.0
2019-11-13,2379100.0
2020-01-31,2980300.0
2018-12-04,4005000.0
2018-11-02,2365300.0
2019-07-16,3134500.0
2018-08-30,2268400.0
2018-10-01,2517800.0
2019-06-14,2817500.0
2019-05-13,4399700.0
2019-04-11,5740000.0
2019-02-06,6360200.0
2019-09-18,4030200.0
2020-02-03,3687400.0
2020-04-22,5272700.0
2019-11-19,3609300.0
2020-02-06,3043900.0
2019-11-22,4701500.0
2019-03-25,14342300.0
2019-02-21,6356300.0
2018-12-19,4563500.0
2018-07-12,3726100.0
2018-09-14,3515400.0
2018-08-13,4576500.0
2018-10-16,4292600.0
2019-07-31,3125500.0
2019-05-28,3078000.0
2019-04-26,4235100.0
2020-04-28,5871600.0
2019-11-25,3059200.0
2020-02-12,3188600.0
2020-05-01,3061400.0
2020-05-04,3000100.0
2019-06-12,2714100.0
2019-04-09,3208100.0
2019-03-08,2913700.0
2019-02-04,4782700.0
2018-07-27,5367100.0
2018-08-28,4876700.0
2019-01-03,5669700.0
2019-08-15,4332900.0
2018-10-31,5164500.0
2019-09-16,5108400.0
2020-02-18,4028200.0
2020-05-07,3138900.0
2018-08-17,2907000.0
2019-12-04,3252400.0
2020-02-21,4124300.0
2018-12-17,4268200.0
2019-08-30,2587000.0
2018-11-15,2340600.0
2019-07-29,3567600.0
2019-06-27,3835900.0
2019-04-24,3497000.0
2018-07-10,2779800.0
2018-09-12,3106700.0
2019-02-19,5681500.0
2019-01-18,3616000.0
2020-02-24,2044400.0
2020-05-13,3274000.0
2019-12-10,3890600.0
2020-02-27,3608400.0
2019-12-13,6206700.0
2020-05-19,5744700.0
2019-03-06,3997600.0
2018-11-30,5198400.0
2019-08-13,4443600.0
2019-07-12,3104400.0
2019-06-10,4973400.0
2019-05-09,2909300.0
2018-07-25,2505900.0
2018-09-27,2813500.0
2018-10-29,4024800.0
2019-10-16,5204200.0
2019-12-16,5103100.0
2020-03-04,5866000.0
2020-05-22,11301100.0
2019-10-01,8078800.0
