Dates,CCL
2018-06-20,63.0
2018-06-21,62.400001525878906
2018-06-25,63.529998779296875
2018-06-22,58.540000915527344
2018-06-26,59.7599983215332
2018-06-27,58.06999969482422
2018-06-28,57.15999984741211
2018-06-29,57.310001373291016
2018-07-02,57.150001525878906
2018-07-03,56.7599983215332
2018-07-05,56.88999938964844
2018-07-16,57.54999923706055
2018-09-18,57.939998626708984
2019-01-24,58.81999969482422
2019-09-05,57.9900016784668
2018-11-21,58.400001525878906
2020-01-13,58.04999923706055
2020-04-01,58.400001525878906
2020-06-19,58.59000015258789
2019-10-29,59.529998779296875
2020-01-16,58.86000061035156
2020-06-22,58.13999938964844
2018-10-03,58.150001525878906
2018-07-31,57.75
2019-03-12,57.77000045776367
2019-02-08,57.66999816894531
2019-01-07,58.220001220703125
2018-12-06,58.72999954223633
2019-08-19,59.2400016784668
2019-07-18,58.619998931884766
2019-05-15,58.849998474121094
2019-09-20,59.04999923706055
2019-11-01,58.40999984741211
2020-04-07,58.689998626708984
2020-06-25,58.599998474121094
2020-06-16,59.34000015258789
2019-11-04,59.599998474121094
2020-01-22,58.9900016784668
2019-11-07,59.31999969482422
2020-04-13,59.20000076293945
2019-07-01,59.83000183105469
2019-05-30,60.58000183105469
2018-08-15,60.75
2018-10-18,61.45000076293945
2019-03-27,61.869998931884766
2019-01-22,61.0
2018-12-21,61.22999954223633
2019-09-03,61.70000076293945
2018-11-19,61.7400016784668
2019-08-02,62.310001373291016
2020-01-28,61.58000183105469
2020-04-16,61.4900016784668
2019-11-13,61.20000076293945
2020-01-31,60.95000076293945
2018-12-04,61.7400016784668
2018-11-02,62.060001373291016
2019-07-16,61.9900016784668
2018-08-30,61.86000061035156
2018-10-01,62.529998779296875
2019-06-14,62.70000076293945
2019-05-13,63.95000076293945
2019-04-11,64.81999969482422
2019-02-06,65.66999816894531
2019-09-18,66.20999908447266
2020-02-03,66.94000244140625
2020-04-22,67.16999816894531
2019-11-19,66.80999755859375
2020-02-06,66.5999984741211
2019-11-22,66.9800033569336
2019-03-25,63.7400016784668
2019-02-21,63.77000045776367
2018-12-19,63.54999923706055
2018-07-12,63.119998931884766
2018-09-14,62.619998931884766
2018-08-13,61.689998626708984
2018-10-16,60.58000183105469
2019-07-31,61.09000015258789
2019-05-28,60.52000045776367
2019-04-26,59.060001373291016
2020-04-28,57.849998474121094
2019-11-25,58.2400016784668
2020-02-12,57.720001220703125
2020-05-01,59.09000015258789
2020-05-04,59.0
2019-06-12,57.540000915527344
2019-04-09,57.22999954223633
2019-03-08,56.47999954223633
2019-02-04,57.22999954223633
2018-07-27,54.75
2018-08-28,55.849998474121094
2019-01-03,54.27000045776367
2019-08-15,54.06999969482422
2018-10-31,54.13999938964844
2019-09-16,56.040000915527344
2020-02-18,57.75
2020-05-07,57.06999969482422
