Dates,USD
2008-06-20,8.816666603088379
2008-06-23,8.744999885559082
2008-06-25,8.62166690826416
2008-06-24,8.983333587646484
2008-06-26,8.208333015441895
2008-06-27,7.920000076293945
2008-06-30,8.024999618530273
2008-07-01,7.608333110809326
2008-07-02,7.53000020980835
2008-07-03,7.026666641235352
2008-09-22,7.103333473205566
2009-04-02,7.166666507720947
2008-11-25,6.800000190734863
2011-09-15,6.666666507720947
2011-05-10,6.735000133514404
2010-08-27,6.853333473205566
2018-02-01,6.701666831970215
2018-07-09,6.954999923706055
2018-12-14,7.385000228881836
2019-05-21,7.46999979019165
2019-07-15,7.635000228881836
2020-04-01,7.026666641235352
2014-11-10,7.241666793823242
2015-04-17,6.826666831970215
2015-09-22,6.735000133514404
2016-08-03,6.753333568572998
2017-06-15,6.856666564941406
2017-11-20,7.039999961853027
2018-04-27,7.086666584014893
2018-10-02,6.941666603088379
2008-10-07,7.073333263397217
2009-02-12,7.176666736602783
2011-07-28,7.2216668128967285
2011-03-22,7.449999809265137
2010-07-09,7.7816667556762695
2010-03-03,8.0
2012-12-21,8.256667137145996
2009-10-26,8.229999542236328
2012-08-15,8.223333358764648
2013-09-03,8.433333396911621
2014-03-24,8.146666526794434
2014-08-29,7.965000152587891
2019-08-14,7.8383331298828125
2020-06-25,7.586666584014893
2015-02-03,7.894999980926514
2020-06-16,7.753333568572998
2015-12-16,7.551666736602783
2016-10-27,7.643333435058594
2017-04-03,7.833333492279053
2017-09-08,7.545000076293945
2018-02-13,7.316666603088379
2018-12-26,6.690000057220459
2014-01-10,6.193333148956299
2019-11-07,5.974999904632568
2020-04-13,6.111666679382324
2008-08-19,5.809999942779541
2011-06-09,5.8416666984558105
2011-02-01,5.633333206176758
2010-05-21,5.628333568572998
2010-01-13,5.46999979019165
2012-11-02,5.166666507720947
2013-07-16,5.2166666984558105
2013-11-21,4.980000019073486
2014-08-04,5.766666889190674
2014-12-10,5.369999885559082
2015-04-29,5.2216668128967285
2016-03-10,5.28000020980835
2016-08-15,5.296666622161865
2017-01-20,5.203333377838135
2017-06-27,4.493333339691162
2018-05-09,4.5966668128967285
2019-03-21,4.766666889190674
2013-10-29,4.333333492279053
2019-08-26,4.244999885559082
2020-01-31,3.5866665840148926
2014-09-10,3.5
2015-07-23,3.323333263397217
2015-12-28,3.256666660308838
2008-11-06,2.825000047683716
2009-07-20,3.3966667652130127
2012-05-09,3.3916666507720947
2011-04-21,2.9149999618530273
2010-12-14,2.6700000762939453
2013-05-28,3.0233333110809326
2013-10-03,3.1533334255218506
2014-06-16,2.9800000190734863
2014-10-22,2.5483334064483643
2015-02-27,2.4183332920074463
2016-06-03,2.25
2016-11-08,2.4516665935516357
2017-09-20,2.558333396911621
2018-08-02,2.8350000381469727
2019-01-07,2.7850000858306885
2019-06-14,2.950000047683716
2014-01-22,3.2083332538604736
2019-11-19,3.31166672706604
2014-12-04,3.066666603088379
2015-05-11,2.5933332443237305
2015-10-16,2.634999990463257
2016-03-22,2.569999933242798
2017-02-01,2.4000000953674316
2010-02-12,2.2666666507720947
2009-06-01,2.0433332920074463
2008-09-18,2.196666717529297
2009-10-07,2.1016666889190674
2012-07-27,1.90666663646698
2012-03-21,1.774999976158142
2011-11-14,1.6349999904632568
2011-03-03,1.5733333826065063
2010-10-26,1.8616666793823242
2013-04-09,1.8916666507720947
2017-12-14,1.8116666078567505
2018-05-21,2.136666774749756
