Dates,UAA
2018-06-20,22.90999984741211
2018-06-21,22.989999771118164
2018-06-25,22.920000076293945
2018-06-22,22.110000610351562
2018-06-26,22.34000015258789
2018-06-27,22.65999984741211
2018-06-28,22.739999771118164
2018-06-29,23.84000015258789
2018-07-02,22.290000915527344
2018-07-03,22.6200008392334
2018-07-05,22.559999465942383
2018-07-16,22.100000381469727
2018-09-18,22.3700008392334
2019-01-24,22.309999465942383
2019-09-05,22.25
2018-11-21,22.270000457763672
2020-01-13,21.84000015258789
2020-04-01,21.5
2020-06-19,21.479999542236328
2019-10-29,21.559999465942383
2020-01-16,21.790000915527344
2020-06-22,22.139999389648438
2018-10-03,21.65999984741211
2018-07-31,21.389999389648438
2019-03-12,20.520000457763672
2019-02-08,21.280000686645508
2019-01-07,21.969999313354492
2018-12-06,20.56999969482422
2019-08-19,20.219999313354492
2019-07-18,19.84000015258789
2019-05-15,19.010000228881836
2019-09-20,19.010000228881836
2019-11-01,19.639999389648438
2020-04-07,19.75
2020-06-25,19.899999618530273
2020-06-16,20.239999771118164
2019-11-04,20.59000015258789
2020-01-22,20.719999313354492
2019-11-07,21.0
2020-04-13,21.209999084472656
2019-07-01,20.790000915527344
2019-05-30,20.799999237060547
2018-08-15,20.639999389648438
2018-10-18,21.399999618530273
2019-03-27,21.649999618530273
2019-01-22,21.639999389648438
2018-12-21,21.65999984741211
2019-09-03,21.540000915527344
2018-11-19,20.579999923706055
2019-08-02,20.260000228881836
2020-01-28,20.959999084472656
2020-04-16,20.56999969482422
2019-11-13,20.510000228881836
2020-01-31,20.68000030517578
2018-12-04,20.43000030517578
2018-11-02,20.329999923706055
2019-07-16,19.709999084472656
2018-08-30,20.110000610351562
2018-10-01,20.1200008392334
2019-06-14,20.09000015258789
2019-05-13,19.670000076293945
2019-04-11,18.850000381469727
2019-02-06,19.040000915527344
2019-09-18,18.84000015258789
2020-02-03,18.969999313354492
2020-04-22,20.1200008392334
2019-11-19,20.5
2020-02-06,20.8700008392334
2019-11-22,20.260000228881836
2019-03-25,21.25
2019-02-21,20.93000030517578
2018-12-19,21.3799991607666
2018-07-12,21.200000762939453
2018-09-14,20.270000457763672
2018-08-13,20.540000915527344
2018-10-16,19.799999237060547
2019-07-31,19.309999465942383
2019-05-28,19.3799991607666
2019-04-26,19.209999084472656
2020-04-28,18.149999618530273
2019-11-25,18.559999465942383
2020-02-12,18.709999084472656
2020-05-01,18.850000381469727
2020-05-04,19.559999465942383
2019-06-12,19.040000915527344
2019-04-09,18.739999771118164
2019-03-08,18.309999465942383
2019-02-04,18.239999771118164
2018-07-27,18.610000610351562
2018-08-28,18.399999618530273
2019-01-03,18.229999542236328
2019-08-15,18.280000686645508
2018-10-31,21.709999084472656
2019-09-16,22.959999084472656
2020-02-18,22.110000610351562
2020-05-07,23.260000228881836
2018-08-17,24.190000534057617
2019-12-04,23.6200008392334
2020-02-21,23.209999084472656
2018-12-17,22.850000381469727
2019-08-30,22.65999984741211
2018-11-15,22.729999542236328
2019-07-29,22.670000076293945
2019-06-27,23.110000610351562
2019-04-24,22.389999389648438
2018-07-10,22.170000076293945
2018-09-12,21.549999237060547
2019-02-19,20.5
2019-01-18,21.110000610351562
2020-02-24,21.31999969482422
2020-05-13,21.6299991607666
2019-12-10,21.780000686645508
2020-02-27,22.079999923706055
2019-12-13,22.8700008392334
2020-05-19,23.540000915527344
2019-03-06,24.43000030517578
2018-11-30,23.989999771118164
2019-08-13,22.850000381469727
2019-07-12,24.0
2019-06-10,23.40999984741211
2019-05-09,22.540000915527344
2018-07-25,21.049999237060547
2018-09-27,19.950000762939453
2018-10-29,18.5
2019-10-16,18.75
2019-12-16,18.559999465942383
2020-03-04,18.639999389648438
2020-05-22,18.06999969482422
2019-10-01,17.770000457763672
2019-12-19,16.739999771118164
2018-09-10,16.790000915527344
2019-05-24,17.579999923706055
2018-08-09,17.950000762939453
2019-04-22,17.639999389648438
2019-03-21,17.440000534057617
2019-01-16,17.639999389648438
2019-08-28,17.600000381469727
2018-11-13,18.219999313354492
2018-10-12,18.709999084472656
2019-06-25,18.899999618530273
2020-03-10,18.809999465942383
2020-05-28,19.209999084472656
2019-10-07,19.520000457763672
2020-03-13,19.700000762939453
2019-10-10,19.75
2020-03-16,19.530000686645508
2020-06-03,20.219999313354492
2018-11-28,20.959999084472656
2018-09-25,20.579999923706055
2018-07-23,20.280000686645508
2018-08-24,20.959999084472656
2019-07-10,21.25
2019-05-07,21.290000915527344
2019-04-05,21.030000686645508
2019-03-04,20.920000076293945
2019-01-31,20.690000534057617
2019-09-12,20.600000381469727
2019-12-31,20.950000762939453
2020-03-19,20.8700008392334
2020-01-03,20.549999237060547
2020-06-09,20.31999969482422
2019-02-15,20.889999389648438
2019-01-14,20.18000030517578
2018-07-06,22.549999237060547
2018-08-07,21.6299991607666
2018-10-10,22.030000686645508
2018-12-13,21.049999237060547
2019-08-26,21.399999618530273
2019-07-25,21.360000610351562
2019-05-22,21.479999542236328
2019-03-19,21.969999313354492
2020-01-06,21.75
2020-03-25,21.799999237060547
2020-06-12,22.520000457763672
2019-10-22,22.90999984741211
2020-01-09,22.850000381469727
2020-06-15,22.3799991607666
2019-10-25,22.280000686645508
2020-03-31,21.739999771118164
2020-06-18,21.420000076293945
2019-04-03,21.5
2018-08-22,21.950000762939453
2018-10-25,21.8799991607666
2019-01-29,22.110000610351562
2018-12-28,22.3799991607666
2018-11-26,22.260000228881836
2019-08-09,22.3700008392334
2019-07-08,22.1200008392334
2019-06-06,21.3700008392334
2019-09-10,21.5
2020-01-15,20.600000381469727
2020-04-03,21.049999237060547
2019-10-31,20.889999389648438
2020-04-06,21.280000686645508
2020-06-24,21.43000030517578
2018-11-09,21.280000686645508
2019-07-23,21.06999969482422
2019-06-21,21.459999084472656
2019-05-20,21.420000076293945
2019-04-18,22.020000457763672
2018-09-06,21.739999771118164
2018-10-08,21.6200008392334
2019-02-13,21.149999618530273
2018-12-11,21.43000030517578
2019-09-25,21.540000915527344
2020-01-21,21.920000076293945
2020-04-09,21.969999313354492
2019-11-06,21.790000915527344
2020-01-24,21.829999923706055
2020-01-27,22.059999465942383
2020-04-15,22.030000686645508
2018-12-26,22.440000534057617
2019-08-07,22.799999237060547
2019-06-04,22.59000015258789
2018-09-21,22.8799991607666
2018-07-19,22.829999923706055
2018-08-20,23.15999984741211
2018-10-23,23.959999084472656
2019-05-03,22.81999969482422
2019-04-01,22.280000686645508
2019-02-28,22.110000610351562
2019-11-12,21.809999465942383
2020-01-30,22.219999313354492
2019-11-15,22.040000915527344
2020-04-21,21.31999969482422
2019-04-16,21.0
2019-03-15,21.530000686645508
2019-02-11,21.440000534057617
2019-01-10,22.600000381469727
2019-08-22,23.399999618530273
2018-11-07,23.760000228881836
2018-08-03,23.719999313354492
2018-09-04,24.049999237060547
2019-06-19,23.440000534057617
2019-09-23,23.649999618530273
2019-11-18,23.350000381469727
2020-02-05,22.649999618530273
2020-04-24,22.6200008392334
2019-03-29,22.729999542236328
2019-11-21,23.860000610351562
2020-04-27,24.780000686645508
2020-02-11,25.75
2020-04-30,25.700000762939453
2019-05-01,26.010000228881836
2019-02-26,25.979999542236328
2019-01-25,26.219999313354492
2018-12-24,26.360000610351562
2019-09-06,26.579999923706055
2018-07-17,27.020000457763672
2018-09-19,26.8700008392334
2019-08-05,27.360000610351562
2019-10-08,27.100000381469727
2019-12-11,26.440000534057617
2019-11-27,26.149999618530273
2020-02-14,25.559999465942383
2020-05-06,25.010000228881836
2019-01-08,24.8799991607666
2018-12-07,25.299999237060547
2019-08-20,25.809999465942383
2018-11-05,25.209999084472656
2019-07-19,25.700000762939453
2018-10-04,25.780000686645508
2019-06-17,25.780000686645508
2019-05-16,26.399999618530273
2018-08-01,26.6299991607666
2019-03-13,26.5
2019-12-03,26.690000534057617
2020-02-20,27.399999618530273
2019-12-06,27.489999771118164
2020-05-12,27.360000610351562
2019-12-09,26.940000534057617
2020-02-26,27.25
2020-05-15,27.100000381469727
2019-03-28,26.969999313354492
2018-09-17,27.219999313354492
2018-08-16,27.270000457763672
2018-10-19,27.440000534057617
2019-04-29,27.31999969482422
2019-01-23,22.84000015258789
2019-09-04,23.829999923706055
2018-11-20,23.049999237060547
2019-07-02,21.440000534057617
2019-05-31,20.959999084472656
2019-12-12,21.040000915527344
2020-05-18,21.020000457763672
2019-09-27,21.149999618530273
2020-03-03,20.950000762939453
2020-05-21,20.0
2019-05-14,19.600000381469727
2018-08-31,19.389999389648438
2018-07-30,19.110000610351562
2018-10-02,18.65999984741211
2019-04-12,19.0
2019-03-11,18.610000610351562
2019-02-07,18.809999465942383
2019-07-17,18.81999969482422
2019-09-19,18.639999389648438
2019-10-21,18.219999313354492
2019-12-18,18.139999389648438
2020-03-06,17.649999618530273
2019-10-03,18.469999313354492
2020-03-09,18.81999969482422
2020-05-27,18.610000610351562
2019-12-24,18.600000381469727
2020-03-12,19.260000228881836
2018-12-20,19.899999618530273
2019-08-01,19.549999237060547
2018-08-14,20.049999237060547
2018-07-13,20.75
2018-10-17,21.420000076293945
2019-05-29,21.65999984741211
2019-03-26,20.90999984741211
2019-02-22,21.049999237060547
2019-10-04,21.0
2019-11-05,20.799999237060547
2019-12-27,20.270000457763672
2020-06-02,19.639999389648438
2019-12-30,19.889999389648438
2020-03-18,19.399999618530273
2020-06-05,19.639999389648438
2019-07-15,19.780000686645508
2018-12-03,19.639999389648438
2019-06-13,20.010000228881836
2019-01-04,19.5
2018-08-29,19.209999084472656
2019-02-05,19.219999313354492
2018-11-01,19.170000076293945
2019-08-16,18.84000015258789
2019-04-10,19.18000030517578
2019-09-17,19.5
2019-10-15,19.93000030517578
2020-01-02,19.940000534057617
2020-06-08,20.100000381469727
2019-10-18,20.420000076293945
2020-03-24,20.399999618530273
2020-06-11,20.040000915527344
2020-01-08,19.81999969482422
2019-04-25,20.479999542236328
2019-07-30,21.219999313354492
2019-02-20,20.860000610351562
2018-07-11,20.6200008392334
2018-09-13,21.1200008392334
2018-10-15,21.149999618530273
2019-06-28,20.829999923706055
2018-12-18,20.649999618530273
2018-11-16,20.809999465942383
2019-10-02,17.829999923706055
2020-03-27,17.25
2020-01-10,18.110000610351562
2019-10-24,18.440000534057617
2020-03-30,17.739999771118164
2020-06-17,17.450000762939453
2020-01-14,17.700000762939453
2020-04-02,17.200000762939453
2019-01-02,17.110000610351562
2019-08-14,17.1200008392334
2018-10-30,17.799999237060547
2019-06-11,17.25
2019-05-10,17.299999237060547
2019-04-08,17.010000228881836
2018-08-27,17.09000015258789
2018-07-26,17.6200008392334
2018-09-28,17.3799991607666
2019-03-07,18.799999237060547
2019-10-30,19.190000534057617
2020-01-17,18.950000762939453
2020-06-23,18.030000686645508
2020-04-08,18.229999542236328
2020-06-26,18.760000228881836
2019-03-22,18.940000534057617
2019-01-17,18.899999618530273
2019-08-29,19.229999542236328
2018-11-14,19.309999465942383
2019-06-26,19.149999618530273
2018-09-11,19.3799991607666
2018-07-09,19.6200008392334
2018-08-10,20.399999618530273
2019-04-23,20.420000076293945
2019-09-30,20.969999313354492
2020-01-23,21.200000762939453
2019-11-08,21.549999237060547
2020-04-14,21.559999465942383
2019-11-11,21.610000610351562
2020-01-29,21.8799991607666
2020-04-17,21.420000076293945
2018-07-24,21.239999771118164
2018-09-26,21.829999923706055
2019-05-08,21.479999542236328
2019-03-05,21.510000228881836
2019-02-01,20.3700008392334
2018-12-31,20.75
2018-11-29,20.450000762939453
2019-08-12,19.770000457763672
2019-07-11,19.799999237060547
2019-09-13,20.260000228881836
2019-11-14,21.010000228881836
2020-04-20,21.389999389648438
2020-02-04,21.280000686645508
2020-04-23,20.399999618530273
2018-12-14,20.440000534057617
2019-08-27,20.459999084472656
2018-08-08,21.239999771118164
2018-10-11,20.329999923706055
2018-11-12,20.780000686645508
2019-07-26,21.040000915527344
2019-06-24,20.90999984741211
2019-05-23,20.8700008392334
2019-03-20,20.329999923706055
