Dates,UAA
2018-09-21,3028300.0
2018-07-19,5749000.0
2018-08-20,7976100.0
2018-10-23,17779900.0
2019-05-03,6157900.0
2019-04-01,6136700.0
2019-02-28,6837000.0
2019-11-12,3659500.0
2020-01-30,4617700.0
2019-11-15,5153600.0
2020-04-21,5226800.0
2019-04-16,4392100.0
2019-03-15,4220800.0
2019-02-11,3756900.0
2019-01-10,14481500.0
2019-08-22,8659900.0
2018-11-07,4280700.0
2018-08-03,5058700.0
2018-09-04,5275400.0
2019-06-19,3327800.0
2019-09-23,4071600.0
2019-11-18,5466600.0
2020-02-05,3189500.0
2020-04-24,3548800.0
2019-03-29,6684000.0
2019-11-21,6538300.0
2020-04-27,7511800.0
2020-02-11,4595400.0
2020-04-30,3349800.0
2019-05-01,3602400.0
2019-02-26,3928900.0
2019-01-25,3124600.0
2018-12-24,3685600.0
2019-09-06,3584200.0
2018-07-17,4589500.0
2018-09-19,4564300.0
2019-08-05,4253700.0
2019-10-08,5433700.0
2019-12-11,5469500.0
2019-11-27,5853800.0
2020-02-14,4874400.0
2020-05-06,3632700.0
2019-01-08,3375600.0
2018-12-07,3855800.0
2019-08-20,4291300.0
2018-11-05,4062000.0
2019-07-19,2365700.0
2018-10-04,2963900.0
2019-06-17,3344700.0
2019-05-16,4373900.0
2018-08-01,4019900.0
2019-03-13,2813400.0
2019-12-03,3693800.0
2020-02-20,3772600.0
2019-12-06,2712500.0
2020-05-12,2940900.0
2019-12-09,2203100.0
2020-02-26,3187800.0
2020-05-15,2712600.0
2019-03-28,2487700.0
2018-09-17,2742400.0
2018-08-16,3971800.0
2018-10-19,3732500.0
2019-04-29,6859600.0
2019-01-23,25192100.0
2019-09-04,9407900.0
2018-11-20,11145700.0
2019-07-02,7780400.0
2019-05-31,5904400.0
2019-12-12,7050300.0
2020-05-18,5106200.0
2019-09-27,4250400.0
2020-03-03,6516300.0
2020-05-21,5018800.0
2019-05-14,4460400.0
2018-08-31,4799500.0
2018-07-30,5174400.0
2018-10-02,3324300.0
2019-04-12,3751500.0
2019-03-11,4220000.0
2019-02-07,2801500.0
2019-07-17,3704900.0
2019-09-19,5221000.0
2019-10-21,3814000.0
2019-12-18,5285100.0
2020-03-06,3731000.0
2019-10-03,3943200.0
2020-03-09,3113300.0
2020-05-27,3977700.0
2019-12-24,3677400.0
2020-03-12,4749800.0
2018-12-20,2931000.0
2019-08-01,5253000.0
2018-08-14,5308600.0
2018-07-13,5717900.0
2018-10-17,5915400.0
2019-05-29,5400100.0
2019-03-26,2371700.0
2019-02-22,3784700.0
2019-10-04,3298300.0
2019-11-05,3725700.0
2019-12-27,5103700.0
2020-06-02,3025300.0
2019-12-30,2546100.0
2020-03-18,3786400.0
2020-06-05,2774500.0
2019-07-15,2264600.0
2018-12-03,3015400.0
2019-06-13,3197300.0
2019-01-04,3098100.0
2018-08-29,3276100.0
2019-02-05,2445700.0
2018-11-01,3265900.0
2019-08-16,2852500.0
2019-04-10,4233000.0
2019-09-17,3930700.0
2019-10-15,3613400.0
2020-01-02,2695800.0
2020-06-08,2451500.0
2019-10-18,1916900.0
2020-03-24,1835600.0
2020-06-11,4220900.0
2020-01-08,2068200.0
2019-04-25,6511800.0
2019-07-30,4249800.0
2019-02-20,2800300.0
2018-07-11,2657000.0
2018-09-13,2842100.0
2018-10-15,2452800.0
2019-06-28,3041300.0
2018-12-18,3220300.0
2018-11-16,4983100.0
2019-10-02,43419100.0
2020-03-27,14968700.0
2020-01-10,7376200.0
2019-10-24,8128600.0
2020-03-30,4345100.0
2020-06-17,3646400.0
2020-01-14,3829000.0
2020-04-02,3905100.0
2019-01-02,3084300.0
2019-08-14,5872100.0
2018-10-30,4207900.0
2019-06-11,4580600.0
2019-05-10,2736000.0
2019-04-08,4108700.0
2018-08-27,3136100.0
2018-07-26,2983200.0
2018-09-28,6216800.0
2019-03-07,9704600.0
2019-10-30,3266100.0
2020-01-17,3672800.0
2020-06-23,3392700.0
2020-04-08,2758400.0
2020-06-26,3969000.0
2019-03-22,3407600.0
2019-01-17,3314500.0
2019-08-29,2489000.0
2018-11-14,2304900.0
2019-06-26,3084600.0
2018-09-11,5569800.0
2018-07-09,11063700.0
2018-08-10,5020900.0
2019-04-23,4278200.0
2019-09-30,3949900.0
2020-01-23,6496600.0
2019-11-08,2871600.0
2020-04-14,2122800.0
2019-11-11,1997600.0
2020-01-29,2125400.0
2020-04-17,3232600.0
2018-07-24,3156300.0
2018-09-26,4273600.0
2019-05-08,4596600.0
2019-03-05,11133800.0
2019-02-01,6638200.0
2018-12-31,4366300.0
2018-11-29,5836900.0
2019-08-12,3522400.0
2019-07-11,3005000.0
2019-09-13,4830700.0
2019-11-14,3072600.0
2020-04-20,4429100.0
2020-02-04,6915500.0
2020-04-23,5646500.0
2018-12-14,5394200.0
2019-08-27,5476000.0
2018-08-08,6097500.0
2018-10-11,3034700.0
