Dates,PFG
2018-06-20,55.93000030517578
2018-06-21,55.63999938964844
2018-06-25,55.65999984741211
2018-06-22,54.849998474121094
2018-06-26,54.16999816894531
2018-06-27,52.58000183105469
2018-06-28,52.970001220703125
2018-06-29,52.95000076293945
2018-07-02,52.86000061035156
2018-07-03,53.22999954223633
2018-07-05,53.529998779296875
2018-07-16,53.619998931884766
2018-09-18,55.189998626708984
2019-01-24,54.77000045776367
2019-09-05,53.400001525878906
2018-11-21,53.2400016784668
2020-01-13,53.15999984741211
2020-04-01,54.08000183105469
2020-06-19,54.86000061035156
2019-10-29,55.709999084472656
2020-01-16,54.540000915527344
2020-06-22,54.029998779296875
2018-10-03,54.689998626708984
2018-07-31,54.83000183105469
2019-03-12,55.02000045776367
2019-02-08,55.47999954223633
2019-01-07,57.7400016784668
2018-12-06,58.27000045776367
2019-08-19,58.08000183105469
2019-07-18,56.2599983215332
2019-05-15,55.650001525878906
2019-09-20,55.81999969482422
2019-11-01,56.099998474121094
2020-04-07,56.369998931884766
2020-06-25,56.29999923706055
2020-06-16,55.63999938964844
2019-11-04,53.97999954223633
2020-01-22,53.61000061035156
2019-11-07,54.40999984741211
2020-04-13,54.189998626708984
2019-07-01,55.47999954223633
2019-05-30,55.720001220703125
2018-08-15,55.70000076293945
2018-10-18,56.4900016784668
2019-03-27,56.189998626708984
2019-01-22,55.290000915527344
2018-12-21,55.5099983215332
2019-09-03,56.439998626708984
2018-11-19,56.25
2019-08-02,55.95000076293945
2020-01-28,55.25
2020-04-16,55.189998626708984
2019-11-13,55.709999084472656
2020-01-31,56.0
2018-12-04,55.720001220703125
2018-11-02,55.060001373291016
2019-07-16,55.2599983215332
2018-08-30,54.869998931884766
2018-10-01,54.529998779296875
2019-06-14,54.84000015258789
2019-05-13,56.939998626708984
2019-04-11,56.95000076293945
2019-02-06,57.720001220703125
2019-09-18,58.79999923706055
2020-02-03,59.38999938964844
2020-04-22,59.540000915527344
2019-11-19,58.52000045776367
2020-02-06,58.279998779296875
2019-11-22,58.02000045776367
2019-03-25,58.630001068115234
2019-02-21,58.59000015258789
2018-12-19,58.599998474121094
2018-07-12,58.86000061035156
2018-09-14,59.810001373291016
2018-08-13,60.56999969482422
2018-10-16,60.0
2019-07-31,60.650001525878906
2019-05-28,60.209999084472656
2019-04-26,58.65999984741211
2020-04-28,55.619998931884766
2019-11-25,55.13999938964844
2020-02-12,54.58000183105469
2020-05-01,54.56999969482422
2020-05-04,55.08000183105469
2019-06-12,53.83000183105469
2019-04-09,53.560001373291016
2019-03-08,52.540000915527344
2019-02-04,51.38999938964844
2018-07-27,48.93000030517578
2018-08-28,49.43000030517578
2019-01-03,45.97999954223633
2019-08-15,45.79999923706055
2018-10-31,46.25
2019-09-16,47.06999969482422
2020-02-18,48.16999816894531
2020-05-07,47.560001373291016
2018-08-17,48.040000915527344
2019-12-04,48.279998779296875
2020-02-21,49.40999984741211
2018-12-17,49.529998779296875
2019-08-30,49.29999923706055
2018-11-15,48.58000183105469
2019-07-29,49.0
2019-06-27,48.31999969482422
2019-04-24,48.52000045776367
2018-07-10,48.2400016784668
2018-09-12,49.02000045776367
2019-02-19,48.0
2019-01-18,48.470001220703125
2020-02-24,48.310001373291016
2020-05-13,48.9900016784668
2019-12-10,48.880001068115234
2020-02-27,50.36000061035156
2019-12-13,49.68000030517578
2020-05-19,49.31999969482422
2019-03-06,48.310001373291016
2018-11-30,45.869998931884766
2019-08-13,45.029998779296875
2019-07-12,44.400001525878906
2019-06-10,42.93000030517578
2019-05-09,42.06999969482422
2018-07-25,42.779998779296875
2018-09-27,43.25
2018-10-29,43.619998931884766
2019-10-16,43.77000045776367
2019-12-16,43.65999984741211
2020-03-04,43.2599983215332
2020-05-22,43.130001068115234
2019-10-01,41.599998474121094
2019-12-19,41.08000183105469
2018-09-10,43.369998931884766
2019-05-24,43.97999954223633
2018-08-09,43.560001373291016
2019-04-22,44.16999816894531
2019-03-21,44.36000061035156
2019-01-16,43.38999938964844
2019-08-28,45.29999923706055
2018-11-13,45.630001068115234
2018-10-12,45.13999938964844
2019-06-25,45.599998474121094
2020-03-10,45.91999816894531
2020-05-28,46.02000045776367
2019-10-07,46.84000015258789
2020-03-13,47.41999816894531
2019-10-10,48.27000045776367
2020-03-16,49.0099983215332
2020-06-03,50.099998474121094
2018-11-28,49.52000045776367
2018-09-25,48.91999816894531
2018-07-23,49.099998474121094
2018-08-24,50.08000183105469
2019-07-10,49.790000915527344
2019-05-07,49.619998931884766
2019-04-05,48.13999938964844
2019-03-04,50.06999969482422
2019-01-31,49.61000061035156
2019-09-12,49.70000076293945
2019-12-31,48.849998474121094
2020-03-19,48.77000045776367
2020-01-03,47.959999084472656
2020-06-09,47.83000183105469
2019-02-15,48.380001068115234
2019-01-14,48.79999923706055
2018-07-06,49.209999084472656
2018-08-07,48.849998474121094
2018-10-10,50.790000915527344
2018-12-13,51.36000061035156
2019-08-26,52.220001220703125
2019-07-25,52.04999923706055
2019-05-22,52.869998931884766
2019-03-19,53.09000015258789
2020-01-06,52.58000183105469
2020-03-25,52.41999816894531
2020-06-12,52.63999938964844
2019-10-22,51.400001525878906
2020-01-09,51.36000061035156
2020-06-15,51.58000183105469
2019-10-25,50.95000076293945
2020-03-31,50.0
2020-06-18,49.90999984741211
2019-04-03,50.59000015258789
2018-08-22,50.7599983215332
2018-10-25,51.11000061035156
2019-01-29,51.689998626708984
2018-12-28,52.16999816894531
2018-11-26,52.790000915527344
2019-08-09,51.93000030517578
2019-07-08,50.689998626708984
