Dates,MRK
2018-06-20,61.060001373291016
2018-06-21,61.27000045776367
2018-06-25,61.279998779296875
2018-06-22,61.40999984741211
2018-06-26,60.83000183105469
2018-06-27,60.70000076293945
2018-06-28,60.11000061035156
2018-06-29,60.529998779296875
2018-07-02,60.54999923706055
2018-07-03,60.7400016784668
2018-07-05,61.400001525878906
2018-07-16,61.79999923706055
2018-09-18,62.459999084472656
2019-01-24,62.38999938964844
2019-09-05,62.13999938964844
2018-11-21,62.439998626708984
2020-01-13,62.27000045776367
2020-04-01,62.93000030517578
2020-06-19,62.529998779296875
2019-10-29,62.599998474121094
2020-01-16,62.7400016784668
2020-06-22,62.060001373291016
2018-10-03,62.56999969482422
2018-07-31,62.900001525878906
2019-03-12,63.43000030517578
2019-02-08,64.61000061035156
2019-01-07,62.45000076293945
2018-12-06,63.790000915527344
2019-08-19,64.9000015258789
2019-07-18,65.70999908447266
2019-05-15,65.30000305175781
2019-09-20,65.19999694824219
2019-11-01,66.08999633789062
2020-04-07,66.08999633789062
2020-06-25,66.51000213623047
2020-06-16,66.87000274658203
2019-11-04,65.9000015258789
2020-01-22,66.12999725341797
2019-11-07,66.61000061035156
2020-04-13,66.7300033569336
2019-07-01,67.5999984741211
2019-05-30,68.77999877929688
2018-08-15,69.0
2018-10-18,70.20999908447266
2019-03-27,69.18000030517578
2019-01-22,68.87000274658203
2018-12-21,69.0
2019-09-03,69.33999633789062
2018-11-19,68.8499984741211
2019-08-02,68.37999725341797
2020-01-28,68.66000366210938
2020-04-16,68.3499984741211
2019-11-13,68.37000274658203
2020-01-31,67.94999694824219
2018-12-04,68.97000122070312
2018-11-02,69.16000366210938
2019-07-16,70.0
2018-08-30,69.80000305175781
2018-10-01,69.4000015258789
2019-06-14,70.16000366210938
2019-05-13,70.73999786376953
2019-04-11,69.8499984741211
2019-02-06,70.41000366210938
2019-09-18,70.1500015258789
2020-02-03,70.3499984741211
2020-04-22,70.91000366210938
2019-11-19,70.91999816894531
2020-02-06,70.8499984741211
2019-11-22,70.93000030517578
2019-03-25,70.33000183105469
2019-02-21,70.72000122070312
2018-12-19,71.06999969482422
2018-07-12,71.97000122070312
2018-09-14,72.08999633789062
2018-08-13,71.12000274658203
2018-10-16,71.2300033569336
2019-07-31,70.93000030517578
2019-05-28,71.45999908447266
2019-04-26,72.4800033569336
2020-04-28,70.37000274658203
2019-11-25,68.69999694824219
2020-02-12,69.19000244140625
2020-05-01,69.8499984741211
2020-05-04,71.08999633789062
2019-06-12,72.1500015258789
2019-04-09,72.30000305175781
2019-03-08,72.97000122070312
2019-02-04,72.16000366210938
2018-07-27,71.81999969482422
2018-08-28,66.94000244140625
2019-01-03,69.7699966430664
2019-08-15,71.37000274658203
2018-10-31,71.69000244140625
2019-09-16,73.41000366210938
2020-02-18,73.80000305175781
2020-05-07,73.56999969482422
2018-08-17,71.95999908447266
2019-12-04,72.94000244140625
2020-02-21,74.0999984741211
2018-12-17,74.88999938964844
2019-08-30,75.86000061035156
