Dates,MRK
2018-06-20,12172800.0
2018-06-21,8908900.0
2018-06-25,12295800.0
2018-06-22,10550800.0
2018-06-26,11996100.0
2018-06-27,10447300.0
2018-06-28,10201900.0
2018-06-29,14271900.0
2018-07-02,9109100.0
2018-07-03,4872700.0
2018-07-05,9081200.0
2018-07-16,8151900.0
2018-09-18,8325000.0
2019-01-24,10750500.0
2019-09-05,5778000.0
2018-11-21,8038600.0
2020-01-13,7352200.0
2020-04-01,4513300.0
2020-06-19,5049700.0
2019-10-29,6341200.0
2020-01-16,7282100.0
2020-06-22,6874700.0
2018-10-03,6933600.0
2018-07-31,9476200.0
2019-03-12,10518700.0
2019-02-08,11142400.0
2019-01-07,8411600.0
2018-12-06,9665200.0
2019-08-19,15443400.0
2019-07-18,7585500.0
2019-05-15,6895400.0
2019-09-20,6997200.0
2019-11-01,8206300.0
2020-04-07,8083300.0
2020-06-25,6509300.0
2020-06-16,7151800.0
2019-11-04,7439700.0
2020-01-22,9516800.0
2019-11-07,6596000.0
2020-04-13,10891100.0
2019-07-01,18490800.0
2019-05-30,7847100.0
2018-08-15,10419300.0
2018-10-18,9814600.0
2019-03-27,5893300.0
2019-01-22,5540700.0
2018-12-21,4956200.0
2019-09-03,5083800.0
2018-11-19,5934400.0
2019-08-02,5489700.0
2020-01-28,4744600.0
2020-04-16,5743300.0
2019-11-13,5768300.0
2020-01-31,6359100.0
2018-12-04,9637400.0
2018-11-02,9515200.0
2019-07-16,7267900.0
2018-08-30,5815500.0
2018-10-01,6090000.0
2019-06-14,10258200.0
2019-05-13,7436000.0
2019-04-11,6697300.0
2019-02-06,6800400.0
2019-09-18,7944200.0
2020-02-03,6140700.0
2020-04-22,17033100.0
2019-11-19,6438800.0
2020-02-06,6460400.0
2019-11-22,6928400.0
2019-03-25,6026200.0
2019-02-21,6808800.0
2018-12-19,7628500.0
2018-07-12,10395600.0
2018-09-14,9577600.0
2018-08-13,10340700.0
2018-10-16,7433500.0
2019-07-31,8854800.0
2019-05-28,7871300.0
2019-04-26,12651900.0
2020-04-28,12874000.0
2019-11-25,10161200.0
2020-02-12,6580900.0
2020-05-01,10229000.0
2020-05-04,9344500.0
2019-06-12,12226000.0
2019-04-09,14513400.0
2019-03-08,11914300.0
2019-02-04,11561900.0
2018-07-27,14645200.0
2018-08-28,20566500.0
2019-01-03,16950600.0
2019-08-15,18839600.0
2018-10-31,18937000.0
2019-09-16,15863100.0
2020-02-18,13843500.0
2020-05-07,12898700.0
2018-08-17,12330500.0
2019-12-04,10246100.0
2020-02-21,18670500.0
2018-12-17,13010200.0
2019-08-30,14656300.0
2018-11-15,14006700.0
2019-07-29,15827700.0
2019-06-27,9481100.0
2019-04-24,11974400.0
2018-07-10,13725200.0
2018-09-12,16422400.0
2019-02-19,13587800.0
2019-01-18,9054500.0
2020-02-24,3521800.0
2020-05-13,10884600.0
2019-12-10,14623600.0
2020-02-27,12047400.0
2019-12-13,10905700.0
2020-05-19,21355600.0
2019-03-06,12579300.0
2018-11-30,14773800.0
2019-08-13,16535800.0
2019-07-12,12622900.0
2019-06-10,15423300.0
2019-05-09,13232500.0
2018-07-25,10705800.0
2018-09-27,10756200.0
2018-10-29,13259900.0
2019-10-16,15106700.0
2019-12-16,15423500.0
2020-03-04,18860300.0
2020-05-22,19390700.0
2019-10-01,36183200.0
2019-12-19,11036100.0
2018-09-10,13429400.0
2019-05-24,12955300.0
2018-08-09,12577000.0
2019-04-22,9243800.0
2019-03-21,14427600.0
2019-01-16,13273500.0
2019-08-28,14077400.0
2018-11-13,15071700.0
2018-10-12,11351800.0
2019-06-25,11370500.0
2020-03-10,18257700.0
2020-05-28,9425600.0
2019-10-07,14951800.0
2020-03-13,12502000.0
2019-10-10,14573000.0
2020-03-16,16192100.0
2020-06-03,14294600.0
2018-11-28,10084700.0
2018-09-25,13711100.0
2018-07-23,20979600.0
2018-08-24,13410400.0
2019-07-10,12764000.0
2019-05-07,11418600.0
2019-04-05,13302700.0
2019-03-04,16028300.0
