Dates,MRK
2018-06-20,57.895896911621094
2018-06-21,57.80141830444336
2018-06-25,58.07540512084961
2018-06-22,57.70694351196289
2018-06-26,57.366825103759766
2018-06-27,56.57320785522461
2018-06-28,56.97001647949219
2018-06-29,57.347923278808594
2018-07-02,57.12118148803711
2018-07-03,57.35737609863281
2018-07-05,58.23601531982422
2018-07-16,58.76509094238281
2018-09-18,58.595027923583984
2019-01-24,58.85956573486328
2019-09-05,58.48165512084961
2018-11-21,59.199684143066406
2020-01-13,59.416988372802734
2020-04-01,59.13355255126953
2020-06-19,59.07686233520508
2019-10-29,59.4642219543457
2020-01-16,59.05796813964844
2020-06-22,59.067420959472656
2018-10-03,59.228023529052734
2018-07-31,59.91771697998047
2019-03-12,60.92863082885742
2019-02-08,60.475135803222656
2019-01-07,59.98384475708008
2018-12-06,61.230953216552734
2019-08-19,62.232418060302734
2019-07-18,61.8734016418457
2019-05-15,61.61832046508789
2019-09-20,62.28910827636719
2019-11-01,62.563087463378906
2020-04-07,62.90321350097656
2020-06-25,63.00713348388672
2020-06-16,62.35524368286133
2019-11-04,62.421363830566406
2020-01-22,63.035484313964844
2019-11-07,62.78984069824219
2020-04-13,63.64958953857422
2019-07-01,65.04785919189453
2019-05-30,65.24624633789062
2018-08-15,66.29495239257812
2018-10-18,65.35017395019531
2019-03-27,65.22736358642578
2019-01-22,65.1612319946289
2018-12-21,65.22736358642578
2019-09-03,65.18011474609375
2018-11-19,64.8399887084961
2019-08-02,65.01005554199219
2020-01-28,64.75496673583984
2020-04-16,64.80220794677734
2019-11-13,64.19754791259766
2020-01-31,64.83055877685547
2018-12-04,65.548583984375
2018-11-02,65.82257080078125
2019-07-16,65.71864318847656
2018-08-30,65.26515197753906
2018-10-01,66.0020751953125
2019-06-14,66.91850280761719
2019-05-13,66.56655883789062
2019-04-11,66.9850845336914
2019-02-06,66.9850845336914
2019-09-18,66.56655883789062
2020-02-03,67.3275375366211
2020-04-22,67.63192749023438
2019-11-19,67.3275375366211
2020-02-06,67.20388793945312
2019-11-22,66.89948272705078
2019-03-25,67.27046203613281
2019-02-21,67.479736328125
2018-12-19,68.04096221923828
2018-07-12,68.25022888183594
2018-09-14,67.88876342773438
2018-08-13,67.74607849121094
2018-10-16,67.56535339355469
2019-07-31,67.974365234375
2019-05-28,68.81143951416016
2019-04-26,67.01362609863281
2020-04-28,65.03509521484375
2019-11-25,66.40484619140625
2020-02-12,66.0719223022461
2020-05-01,67.74607849121094
2020-05-04,68.31681060791016
2019-06-12,68.68778228759766
2019-04-09,68.82095336914062
2019-03-08,69.03022766113281
2019-02-04,68.58314514160156
2018-07-27,67.0992431640625
2018-08-28,66.54752349853516
2019-01-03,66.96607208251953
2019-08-15,67.96484375
2018-10-31,69.31560516357422
2019-09-16,70.0195083618164
2020-02-18,69.55339813232422
2020-05-07,68.74486541748047
2018-08-17,69.55339813232422
2019-12-04,69.734130859375
2020-02-21,71.41780090332031
2018-12-17,71.79827880859375
2019-08-30,71.20853424072266
2018-11-15,71.04682159423828
2019-07-29,70.97071838378906
2019-06-27,70.47607421875
2019-04-24,71.18950653076172
2018-07-10,72.3499984741211
2018-09-12,72.62584686279297
2019-02-19,71.13241577148438
2019-01-18,71.1419448852539
