Dates,ORCL
2019-08-15,19248700.0
2018-10-31,24438200.0
2019-09-16,21082900.0
2020-02-18,17764900.0
2020-05-07,17289300.0
2018-08-17,13125800.0
2019-12-04,12362700.0
2020-02-21,14329800.0
2018-12-17,11966600.0
2019-08-30,15316100.0
2018-11-15,14374400.0
2019-07-29,13550600.0
2019-06-27,16094000.0
2019-04-24,24922800.0
2018-07-10,20929600.0
2018-09-12,19520500.0
2019-02-19,19389600.0
2019-01-18,13859500.0
2020-02-24,7807300.0
2020-05-13,21603800.0
2019-12-10,28054600.0
2020-02-27,29352900.0
2019-12-13,17052100.0
2020-05-19,22884500.0
2019-03-06,21966600.0
2018-11-30,24643500.0
2019-08-13,39877000.0
2019-07-12,23978000.0
2019-06-10,26375500.0
2019-05-09,22680200.0
2018-07-25,21404000.0
2018-09-27,23295400.0
2018-10-29,21434300.0
2019-10-16,30441100.0
2019-12-16,42855600.0
2020-03-04,34397300.0
2020-05-22,35165200.0
2019-10-01,58768400.0
2019-12-19,17230400.0
2018-09-10,21428900.0
2019-05-24,19048700.0
2018-08-09,39141200.0
2019-04-22,14932600.0
2019-03-21,14320400.0
2019-01-16,19868700.0
2019-08-28,20984000.0
2018-11-13,17967900.0
2018-10-12,16255700.0
2019-06-25,19100200.0
2020-03-10,16652700.0
2020-05-28,16397400.0
2019-10-07,14869400.0
2020-03-13,12142100.0
2019-10-10,14114000.0
2020-03-16,12711200.0
2020-06-03,15930600.0
2018-11-28,13318700.0
2018-09-25,15551200.0
2018-07-23,11442200.0
2018-08-24,16656600.0
2019-07-10,11799100.0
2019-05-07,10838600.0
2019-04-05,13483800.0
2019-03-04,20403600.0
2019-01-31,14849600.0
2019-09-12,12221200.0
2019-12-31,13345500.0
2020-03-19,9220900.0
2020-01-03,14905000.0
2020-06-09,11535600.0
2019-02-15,9714500.0
2019-01-14,14188500.0
2018-07-06,11342600.0
2018-08-07,11155300.0
2018-10-10,13822200.0
2018-12-13,12357500.0
2019-08-26,13440900.0
2019-07-25,14759500.0
2019-05-22,11689700.0
2019-03-19,14722200.0
2020-01-06,12041300.0
2020-03-25,10674200.0
2020-06-12,31856900.0
2019-10-22,15757700.0
2020-01-09,14850100.0
2020-06-15,16291900.0
2019-10-25,12389300.0
2020-03-31,16624100.0
2020-06-18,15071100.0
2019-04-03,20027700.0
2018-08-22,18048500.0
2018-10-25,19490800.0
2019-01-29,24000300.0
2018-12-28,43340200.0
2018-11-26,21953600.0
2019-08-09,19214000.0
2019-07-08,24111600.0
2019-06-06,16686300.0
2019-09-10,16201500.0
2020-01-15,11755900.0
2020-04-03,11657600.0
2019-10-31,12636000.0
2020-04-06,9103100.0
2020-06-24,11485700.0
2018-11-09,15191700.0
2019-07-23,10812100.0
2019-06-21,12853400.0
2019-05-20,9978800.0
2019-04-18,10016300.0
2018-09-06,10126700.0
2018-10-08,9789000.0
2019-02-13,8477300.0
2018-12-11,8147600.0
2019-09-25,9014000.0
