Dates,ORCL
2018-06-20,42.81999969482422
2018-06-21,43.099998474121094
2018-06-25,44.099998474121094
2018-06-22,44.279998779296875
2018-06-26,44.40999984741211
2018-06-27,43.45000076293945
2018-06-28,43.84000015258789
2018-06-29,44.060001373291016
2018-07-02,44.95000076293945
2018-07-03,44.720001220703125
2018-07-05,45.40999984741211
2018-07-16,46.0
2018-09-18,46.72999954223633
2019-01-24,46.9900016784668
2019-09-05,47.63999938964844
2018-11-21,48.150001525878906
2020-01-13,48.630001068115234
2020-04-01,48.459999084472656
2020-06-19,48.900001525878906
2019-10-29,48.63999938964844
2020-01-16,48.439998626708984
2020-06-22,48.52000045776367
2018-10-03,48.66999816894531
2018-07-31,48.66999816894531
2019-03-12,48.95000076293945
2019-02-08,48.869998931884766
2019-01-07,48.630001068115234
2018-12-06,47.72999954223633
2019-08-19,47.68000030517578
2019-07-18,47.349998474121094
2019-05-15,47.900001525878906
2019-09-20,48.470001220703125
2019-11-01,48.66999816894531
2020-04-07,48.47999954223633
2020-06-25,48.38999938964844
2020-06-16,48.540000915527344
2019-11-04,48.31999969482422
2020-01-22,48.0099983215332
2019-11-07,48.22999954223633
2020-04-13,47.84000015258789
2019-07-01,48.099998474121094
2019-05-30,48.36000061035156
2018-08-15,48.41999816894531
2018-10-18,48.40999984741211
2019-03-27,48.79999923706055
2019-01-22,48.959999084472656
2018-12-21,49.2599983215332
2019-09-03,49.33000183105469
2018-11-19,48.63999938964844
2019-08-02,48.88999938964844
2020-01-28,48.380001068115234
2020-04-16,48.58000183105469
2019-11-13,48.58000183105469
2020-01-31,48.040000915527344
2018-12-04,47.709999084472656
2018-11-02,47.810001373291016
2019-07-16,48.86000061035156
2018-08-30,48.91999816894531
2018-10-01,49.34000015258789
2019-06-14,48.959999084472656
2019-05-13,49.25
2019-04-11,49.18000030517578
2019-02-06,49.029998779296875
2019-09-18,49.43000030517578
2020-02-03,50.43000030517578
2020-04-22,51.099998474121094
2019-11-19,51.2400016784668
2020-02-06,51.720001220703125
2019-11-22,51.630001068115234
2019-03-25,51.689998626708984
2019-02-21,51.560001373291016
2018-12-19,51.79999923706055
2018-07-12,50.22999954223633
2018-09-14,49.75
2018-08-13,49.470001220703125
2018-10-16,49.349998474121094
2019-07-31,49.36000061035156
2019-05-28,48.869998931884766
2019-04-26,47.400001525878906
2020-04-28,46.779998779296875
2019-11-25,47.380001068115234
2020-02-12,47.119998931884766
2020-05-01,48.22999954223633
2020-05-04,47.86000061035156
2019-06-12,47.380001068115234
2019-04-09,47.59000015258789
2019-03-08,47.939998626708984
2019-02-04,47.9900016784668
2018-07-27,46.7599983215332
2018-08-28,47.959999084472656
2019-01-03,47.31999969482422
2019-08-15,47.02000045776367
2018-10-31,48.56999969482422
2019-09-16,48.84000015258789
2020-02-18,48.59000015258789
2020-05-07,48.83000183105469
2018-08-17,49.02000045776367
2019-12-04,49.25
2020-02-21,50.2599983215332
2018-12-17,50.43000030517578
2019-08-30,50.61000061035156
2018-11-15,49.220001220703125
2019-07-29,49.5099983215332
2019-06-27,48.84000015258789
2019-04-24,50.630001068115234
2018-07-10,51.16999816894531
2018-09-12,49.54999923706055
2019-02-19,48.33000183105469
2019-01-18,48.619998931884766
2020-02-24,48.70000076293945
2020-05-13,48.2599983215332
2019-12-10,47.439998626708984
2020-02-27,48.189998626708984
2019-12-13,47.900001525878906
2020-05-19,48.7599983215332
2019-03-06,49.83000183105469
2018-11-30,48.75
2019-08-13,46.68000030517578
2019-07-12,46.0
2019-06-10,46.66999816894531
2019-05-09,46.459999084472656
2018-07-25,47.31999969482422
2018-09-27,47.22999954223633
2018-10-29,46.599998474121094
2019-10-16,45.72999954223633
2019-12-16,45.849998474121094
2020-03-04,46.45000076293945
2020-05-22,46.2400016784668
2019-10-01,44.0
2019-12-19,42.689998626708984
2018-09-10,44.59000015258789
2019-05-24,44.970001220703125
2018-08-09,44.81999969482422
2019-04-22,45.150001525878906
2019-03-21,45.220001220703125
2019-01-16,44.779998779296875
2019-08-28,46.709999084472656
2018-11-13,47.45000076293945
2018-10-12,47.880001068115234
2019-06-25,47.779998779296875
2020-03-10,47.81999969482422
2020-05-28,48.290000915527344
2019-10-07,48.18000030517578
2020-03-13,48.380001068115234
2019-10-10,48.060001373291016
2020-03-16,48.58000183105469
2020-06-03,49.27000045776367
2018-11-28,48.939998626708984
2018-09-25,49.2400016784668
2018-07-23,49.20000076293945
2018-08-24,49.79999923706055
2019-07-10,49.52000045776367
2019-05-07,49.61000061035156
2019-04-05,50.36000061035156
2019-03-04,50.22999954223633
2019-01-31,50.810001373291016
2019-09-12,51.029998779296875
2019-12-31,51.2400016784668
2020-03-19,51.2599983215332
2020-01-03,50.220001220703125
2020-06-09,51.029998779296875
2019-02-15,51.22999954223633
2019-01-14,51.220001220703125
2018-07-06,51.41999816894531
2018-08-07,51.47999954223633
2018-10-10,51.720001220703125
2018-12-13,52.02000045776367
2019-08-26,51.77000045776367
2019-07-25,52.11000061035156
2019-05-22,52.47999954223633
2019-03-19,52.560001373291016
2020-01-06,52.599998474121094
2020-03-25,52.380001068115234
2020-06-12,52.130001068115234
2019-10-22,52.5099983215332
2020-01-09,52.040000915527344
2020-06-15,52.36000061035156
2019-10-25,52.349998474121094
2020-03-31,52.58000183105469
2020-06-18,52.77000045776367
2019-04-03,52.65999984741211
2018-08-22,52.79999923706055
2018-10-25,53.060001373291016
2019-01-29,53.04999923706055
2018-12-28,52.939998626708984
2018-11-26,53.459999084472656
2019-08-09,54.040000915527344
