Dates,HPE
2018-06-20,14.17962646484375
2018-06-21,14.432333946228027
2018-06-25,14.263863563537598
2018-06-22,14.104751586914062
2018-06-26,14.198346138000488
2018-06-27,13.777169227600098
2018-06-28,13.76780891418457
2018-06-29,13.674215316772461
2018-07-02,13.852045059204102
2018-07-03,13.823968887329102
2018-07-05,13.870763778686523
2018-07-16,14.020514488220215
2018-09-18,14.254502296447754
2019-01-24,14.507209777832031
2019-09-05,14.132830619812012
2018-11-21,14.404254913330078
2020-01-13,14.497849464416504
2020-04-01,14.6382417678833
2020-06-19,14.656960487365723
2019-10-29,14.90966796875
2020-01-16,14.6382417678833
2020-06-22,14.479131698608398
2018-10-03,14.479131698608398
2018-07-31,14.32002067565918
2019-03-12,14.488490104675293
2019-02-08,14.685039520263672
2019-01-07,14.59144401550293
2018-12-06,14.460411071777344
2019-08-19,14.45105266571045
2019-07-18,14.460411071777344
2019-05-15,14.554006576538086
2019-09-20,14.956465721130371
2019-11-01,14.984542846679688
2020-04-07,15.096856117248535
2020-06-25,15.1249361038208
2020-06-16,15.078139305114746
2019-11-04,14.834792137145996
2020-01-22,14.656960487365723
2019-11-07,14.96582317352295
2020-04-13,15.003262519836426
2019-07-01,15.227890014648438
2019-05-30,15.602270126342773
2018-08-15,15.649066925048828
2018-10-18,14.769274711608887
2019-03-27,14.806713104248047
2019-01-22,15.068778038024902
2018-12-21,15.162373542785645
2019-09-03,15.396360397338867
2018-11-19,15.667783737182617
2019-08-02,15.6397066116333
2020-01-28,15.714585304260254
2020-04-16,15.471238136291504
2019-11-13,15.602270126342773
2020-01-31,15.52739429473877
2018-12-04,15.461878776550293
2018-11-02,15.471238136291504
2019-07-16,15.35892391204834
2018-08-30,15.5031156539917
2018-10-01,15.455994606018066
2019-06-14,15.587937355041504
2019-05-13,15.625632286071777
2019-04-11,15.342903137207031
2019-02-06,15.597360610961914
2019-09-18,15.682177543640137
2020-02-03,15.898941040039062
2020-04-22,16.04030990600586
2019-11-19,15.946062088012695
2020-02-06,15.597360610961914
2019-11-22,15.559663772583008
2019-03-25,15.342903137207031
2019-02-21,15.371174812316895
2018-12-19,15.2486572265625
2018-07-12,15.578512191772461
2018-09-14,15.785847663879395
2018-08-13,15.880091667175293
2018-10-16,15.21096134185791
2019-07-31,14.975351333618164
2019-05-28,14.78686237335205
2019-04-26,14.240248680114746
2020-04-28,13.787878036499023
2019-11-25,14.532403945922852
2020-02-12,14.457010269165039
2020-05-01,14.61722469329834
2020-05-04,14.626648902893066
2019-06-12,14.447585105895996
2019-04-09,14.551253318786621
2019-03-08,14.928229331970215
2019-02-04,14.749163627624512
2018-07-27,14.221400260925293
2018-08-28,14.277945518493652
2019-01-03,13.787878036499023
2019-08-15,13.731330871582031
2018-10-31,14.070610046386719
2019-09-16,14.372190475463867
2020-02-18,14.890530586242676
2020-05-07,14.975351333618164
2018-08-17,15.01304817199707
2019-12-04,14.965925216674805
2020-02-21,15.305205345153809
2018-12-17,15.314628601074219
2019-08-30,14.815135955810547
2018-11-15,14.400463104248047
2019-07-29,14.457010269165039
2019-06-27,14.277945518493652
2019-04-24,14.43816089630127
2018-07-10,14.325066566467285
2018-09-12,13.97636604309082
2019-02-19,13.693634033203125
2019-01-18,13.853848457336426
2020-02-24,13.703059196472168
2020-05-13,14.051759719848633
2019-12-10,14.193126678466797
2020-02-27,14.570101737976074
2019-12-13,14.249671936035156
2020-05-19,14.136581420898438
2019-03-06,14.607799530029297
2018-11-30,14.183701515197754
2019-08-13,15.097868919372559
2019-07-12,13.863271713256836
2019-06-10,13.731330871582031
2019-05-09,14.000126838684082
2018-07-25,13.905145645141602
2018-09-27,13.762676239013672
2018-10-29,13.50622844696045
2019-10-16,12.90785026550293
2019-12-16,12.945842742919922
2020-03-04,12.508932113647461
2020-05-22,12.015031814575195
2019-10-01,11.977042198181152
2019-12-19,11.654109001159668
2018-09-10,12.167003631591797
2019-05-24,12.442445755004883
2018-08-09,12.375959396362305
2019-04-22,12.54692554473877
2019-03-21,12.784375190734863
2019-01-16,12.518430709838867
2019-08-28,13.107309341430664
2018-11-13,13.36375617980957
2018-10-12,13.107309341430664
2019-06-25,13.354257583618164
2020-03-10,13.420743942260742
2020-05-28,13.525223731994629
2019-10-07,13.449240684509277
2020-03-13,13.715184211730957
2019-10-10,13.60120677947998
2020-03-16,13.553717613220215
2020-06-03,13.943138122558594
2018-11-28,13.724681854248047
2018-09-25,13.715184211730957
2018-07-23,14.019122123718262
2018-08-24,14.579507827758789
2019-07-10,14.873946189880371
2019-05-07,14.598504066467285
2019-04-05,14.740974426269531
2019-03-04,14.807459831237793
2019-01-31,14.902440071105957
2019-09-12,14.997421264648438
2019-12-31,15.092401504516602
2020-03-19,15.282362937927246
2020-01-03,15.054410934448242
2020-06-09,15.120896339416504
2019-02-15,15.044912338256836
2019-01-14,15.196879386901855
2018-07-06,15.244368553161621
2018-08-07,15.187381744384766
2018-10-10,15.282362937927246
2018-12-13,15.282362937927246
2019-08-26,15.244368553161621
2019-07-25,15.415335655212402
2019-05-22,15.50081729888916
2019-03-19,15.918733596801758
2020-01-06,15.956727027893066
2020-03-25,15.861743927001953
2020-06-12,15.557806968688965
2019-10-22,15.557806968688965
2020-01-09,15.34885025024414
2020-06-15,15.329854011535645
2019-10-25,15.15888786315918
2020-03-31,14.883445739746094
2020-06-18,14.826456069946289
2019-04-03,15.092401504516602
2018-08-22,14.645666122436523
2018-10-25,14.84655475616455
2019-01-29,14.980477333068848
2018-12-28,15.372687339782715
2018-11-26,15.152667045593262
2019-08-09,15.19093132019043
2019-07-08,15.181365966796875
2019-06-06,15.324858665466309
2019-09-10,14.626534461975098
2020-01-15,14.492608070373535
2020-04-03,14.645666122436523
2019-10-31,14.597835540771484
2020-04-06,14.597835540771484
2020-06-24,14.760458946228027
2018-11-09,15.210064888000488
2019-07-23,15.133536338806152
2019-06-21,15.16223430633545
2019-05-20,15.372687339782715
2019-04-18,15.44921588897705
2018-09-06,15.487480163574219
