Dates,HPE
2018-06-20,14603800.0
2018-06-21,14506700.0
2018-06-25,9056600.0
2018-06-22,15972800.0
2018-06-26,7978600.0
2018-06-27,14323600.0
2018-06-28,14739100.0
2018-06-29,11694500.0
2018-07-02,7088700.0
2018-07-03,4748200.0
2018-07-05,9473800.0
2018-07-16,5527800.0
2018-09-18,6362000.0
2019-01-24,12151400.0
2019-09-05,8725700.0
2018-11-21,4759800.0
2020-01-13,8808200.0
2020-04-01,10738000.0
2020-06-19,8883000.0
2019-10-29,6992100.0
2020-01-16,11530100.0
2020-06-22,6592600.0
2018-10-03,13145600.0
2018-07-31,7481700.0
2019-03-12,5964900.0
2019-02-08,4970600.0
2019-01-07,5690100.0
2018-12-06,4940000.0
2019-08-19,6644700.0
2019-07-18,5640200.0
2019-05-15,7753100.0
2019-09-20,7397200.0
2019-11-01,5224100.0
2020-04-07,4396500.0
2020-06-25,4663000.0
2020-06-16,3503900.0
2019-11-04,5036700.0
2020-01-22,5039600.0
2019-11-07,5182800.0
2020-04-13,10275900.0
2019-07-01,10663400.0
2019-05-30,12400100.0
2018-08-15,9402400.0
2018-10-18,16634000.0
2019-03-27,8331000.0
2019-01-22,15522400.0
2018-12-21,9561000.0
2019-09-03,13743900.0
2018-11-19,10950200.0
2019-08-02,25330100.0
2020-01-28,16188100.0
2020-04-16,10675700.0
2019-11-13,10016400.0
2020-01-31,13574000.0
2018-12-04,8440700.0
2018-11-02,10228900.0
2019-07-16,12516300.0
2018-08-30,7953700.0
2018-10-01,5614500.0
2019-06-14,11155800.0
2019-05-13,8040300.0
2019-04-11,8686400.0
2019-02-06,6680200.0
2019-09-18,6871500.0
2020-02-03,8726300.0
2020-04-22,26709600.0
2019-11-19,7291300.0
2020-02-06,17845200.0
2019-11-22,8897900.0
2019-03-25,12514200.0
2019-02-21,12488000.0
2018-12-19,9808600.0
2018-07-12,9636500.0
2018-09-14,10580100.0
2018-08-13,10262800.0
2018-10-16,12794700.0
2019-07-31,8991800.0
2019-05-28,12074000.0
2019-04-26,10860900.0
2020-04-28,9075100.0
2019-11-25,16598800.0
2020-02-12,9344700.0
2020-05-01,6109300.0
2020-05-04,6231700.0
2019-06-12,8275200.0
2019-04-09,7652700.0
2019-03-08,7881600.0
2019-02-04,9081300.0
2018-07-27,8119500.0
2018-08-28,8175700.0
2019-01-03,10469500.0
2019-08-15,8024400.0
2018-10-31,8297100.0
2019-09-16,9547400.0
2020-02-18,6066800.0
2020-05-07,15140700.0
2018-08-17,6268100.0
2019-12-04,13047300.0
2020-02-21,18460200.0
2018-12-17,7195500.0
2019-08-30,10721500.0
2018-11-15,9571300.0
2019-07-29,9517000.0
2019-06-27,16235400.0
2019-04-24,15280000.0
2018-07-10,11150600.0
2018-09-12,12707700.0
2019-02-19,11300700.0
2019-01-18,8652300.0
2020-02-24,2909400.0
2020-05-13,9953900.0
2019-12-10,7771900.0
2020-02-27,13439200.0
2019-12-13,10922000.0
2020-05-19,20963100.0
2019-03-06,14845100.0
2018-11-30,18349500.0
2019-08-13,29136600.0
2019-07-12,18469900.0
2019-06-10,14047500.0
2019-05-09,16343600.0
2018-07-25,14122900.0
2018-09-27,12862100.0
2018-10-29,11166200.0
2019-10-16,17072700.0
2019-12-16,12805000.0
2020-03-04,14299900.0
2020-05-22,18528300.0
2019-10-01,25427500.0
