Dates,OIL
2007-02-12,96100
2007-02-13,101000
2007-02-15,168600
2007-02-14,218500
2007-02-16,146400
2007-02-20,110000
2007-02-21,159100
2007-02-22,148300
2007-02-23,360200
2007-02-26,93100
2007-02-27,192400
2007-03-28,187200
2007-11-07,160400
2007-09-04,100300
2007-08-03,112000
2008-04-15,86600
2008-05-21,141500
2008-08-08,115400
2008-08-11,190000
2008-01-25,123500
2007-05-14,129600
2007-04-12,179900
2007-12-24,125600
2007-09-19,154800
2008-04-30,216600
2007-07-17,146500
2007-06-15,120300
2008-02-26,148200
2008-05-27,172700
2008-08-14,158800
2008-05-30,98800
2008-08-20,245600
2007-08-01,389400
2008-03-12,220900
2007-03-26,123100
2007-05-29,227800
2007-04-27,175700
2008-01-08,130600
2007-12-07,355400
2007-11-05,112200
2007-10-04,154800
2008-05-15,72000
2008-06-05,115800
2008-08-26,138000
2007-10-19,175400
2007-09-17,188300
2007-08-16,127500
2008-04-28,62500
2007-04-10,161200
2007-03-09,202700
2007-06-13,144800
2008-03-27,206300
2008-01-23,148700
2007-11-20,103000
2008-06-11,158800
2008-08-29,154100
2007-12-05,232400
2007-10-02,408900
2007-04-25,128100
2007-08-31,93800
2007-07-30,119500
2008-04-11,69700
2007-06-28,103700
2008-03-10,68200
2008-02-07,114500
2008-05-13,198300
2008-06-23,149300
2007-07-13,159500
2008-03-25,244700
2008-02-22,96000
2007-12-20,98400
2007-05-10,98500
2007-03-07,87200
2007-06-11,218700
2007-10-17,63600
2007-08-14,210000
2008-05-28,74000
2008-06-26,131500
2007-05-31,38200
2008-07-02,135300
2007-08-29,114200
2008-04-09,251000
2007-06-26,86300
2008-02-05,81200
2008-01-04,98400
2007-03-22,139700
2007-05-25,55700
2007-04-23,53300
2007-12-03,104200
2007-11-01,247600
2008-07-08,45100
2007-12-18,187100
2007-11-16,51000
2007-10-15,56900
2007-09-13,79600
2008-04-24,76600
2007-07-11,69300
2008-02-20,90600
2007-03-05,41000
2007-05-08,88300
2008-06-27,46700
2008-07-11,26100
2008-07-14,51800
2008-03-06,16500
2007-05-23,73200
2008-01-02,37200
2007-03-20,34200
2007-10-30,51400
2007-09-28,60500
2007-08-27,38300
2007-07-26,51600
2008-04-07,37900
2008-05-09,47600
2008-07-23,66000
2007-09-11,159600
2007-04-04,50500
2007-06-07,49700
2007-08-10,54500
2008-04-22,119500
2007-07-09,116400
2008-01-17,102200
2007-11-14,85900
2008-06-25,74600
2008-08-28,60600
2008-07-29,51900
2007-11-29,39400
2007-05-21,25000
2007-04-19,26900
2007-09-26,88300
2007-07-24,61900
2007-06-22,80000
2008-03-04,92700
2008-02-01,148200
2007-12-31,121900
2008-05-07,38900
2008-08-01,32000
2008-08-04,34900
2008-08-07,38700
2008-01-15,47700
2007-12-14,23700
2007-04-02,51100
2007-03-01,26600
2007-05-04,26000
2007-06-05,52900
2007-11-12,40700
2007-10-11,49200
2007-08-08,47600
2008-03-19,62800
2008-05-23,48400
2008-08-13,59100
2007-08-23,49500
2008-04-03,88600
2007-06-20,59200
2008-01-30,30500
2007-04-17,64700
2007-03-16,31300
2007-11-27,23400
2007-10-26,84900
2007-09-24,111400
2008-05-05,62900
2008-05-29,72100
2008-03-14,74500
2008-08-19,100600
2008-06-04,98300
2008-08-22,16200
2007-10-09,37800
2007-09-07,26500
2007-08-06,19900
2008-04-18,23400
2007-07-05,27200
2008-03-17,48000
2007-05-02,130400
2008-02-14,272700
2007-12-12,116200
