Dates,PSA
2018-06-20,219.10000610351562
2018-06-21,222.02999877929688
2018-06-25,226.25
2018-06-22,226.25
2018-06-26,229.72000122070312
2018-06-27,230.08999633789062
2018-06-28,229.6199951171875
2018-06-29,229.47000122070312
2018-07-02,228.69000244140625
2018-07-03,230.94000244140625
2018-07-05,232.92999267578125
2018-07-16,234.89999389648438
2018-09-18,232.38999938964844
2019-01-24,232.3000030517578
2019-09-05,231.4199981689453
2018-11-21,230.50999450683594
2020-01-13,230.72999572753906
2020-04-01,226.72999572753906
2020-06-19,226.4600067138672
2019-10-29,220.67999267578125
2020-01-16,223.38999938964844
2020-06-22,222.4600067138672
2018-10-03,222.35000610351562
2018-07-31,221.24000549316406
2019-03-12,220.4199981689453
2019-02-08,221.6199951171875
2019-01-07,219.97000122070312
2018-12-06,216.88999938964844
2019-08-19,218.0500030517578
2019-07-18,217.91000366210938
2019-05-15,212.10000610351562
2019-09-20,215.5
2019-11-01,216.5399932861328
2020-04-07,217.44000244140625
2020-06-25,218.86000061035156
2020-06-16,218.1699981689453
2019-11-04,217.22999572753906
2020-01-22,216.50999450683594
2019-11-07,216.57000732421875
2020-04-13,219.47999572753906
2019-07-01,221.55999755859375
2019-05-30,223.8300018310547
2018-08-15,225.2899932861328
2018-10-18,222.7100067138672
2019-03-27,216.82000732421875
2019-01-22,211.9499969482422
2018-12-21,214.0800018310547
2019-09-03,214.63999938964844
2018-11-19,214.7100067138672
2019-08-02,214.8300018310547
2020-01-28,213.11000061035156
2020-04-16,213.52000427246094
2019-11-13,214.1199951171875
2020-01-31,215.9600067138672
2018-12-04,216.94000244140625
2018-11-02,213.6999969482422
2019-07-16,212.47999572753906
2018-08-30,210.6300048828125
2018-10-01,210.91000366210938
2019-06-14,211.2100067138672
2019-05-13,209.49000549316406
2019-04-11,208.74000549316406
2019-02-06,209.1699981689453
2019-09-18,205.77999877929688
2020-02-03,205.16000366210938
2020-04-22,205.94000244140625
2019-11-19,204.5800018310547
2020-02-06,204.3699951171875
2019-11-22,203.4600067138672
2019-03-25,202.4199981689453
2019-02-21,201.74000549316406
2018-12-19,202.2100067138672
2018-07-12,200.8300018310547
2018-09-14,201.30999755859375
2018-08-13,197.89999389648438
2018-10-16,199.92999267578125
2019-07-31,202.50999450683594
2019-05-28,201.4499969482422
2019-04-26,202.10000610351562
2020-04-28,200.0
2019-11-25,197.4199981689453
2020-02-12,200.24000549316406
2020-05-01,199.77999877929688
2020-05-04,199.5
2019-06-12,199.67999267578125
2019-04-09,200.64999389648438
2019-03-08,202.1699981689453
2019-02-04,199.13999938964844
2018-07-27,203.38999938964844
2018-08-28,203.3000030517578
2019-01-03,202.77000427246094
2019-08-15,206.7100067138672
2018-10-31,210.1999969482422
2019-09-16,211.5
2020-02-18,208.99000549316406
2020-05-07,206.0
2018-08-17,202.99000549316406
2019-12-04,203.44000244140625
2020-02-21,204.1699981689453
2018-12-17,205.08999633789062
2019-08-30,207.91000366210938
2018-11-15,210.13999938964844
2019-07-29,208.89999389648438
2019-06-27,211.0399932861328
2019-04-24,209.25999450683594
2018-07-10,211.4199981689453
2018-09-12,213.10000610351562
2019-02-19,214.99000549316406
2019-01-18,211.66000366210938
2020-02-24,208.89999389648438
2020-05-13,208.39999389648438
2019-12-10,208.85000610351562
2020-02-27,211.10000610351562
2019-12-13,213.1300048828125
2020-05-19,213.2899932861328
2019-03-06,214.38999938964844
2018-11-30,216.10000610351562
2019-08-13,216.6999969482422
2019-07-12,215.69000244140625
2019-06-10,214.7100067138672
2019-05-09,214.47000122070312
2018-07-25,212.2899932861328
2018-09-27,205.1999969482422
2018-10-29,204.07000732421875
2019-10-16,204.3000030517578
2019-12-16,205.16000366210938
2020-03-04,205.61000061035156
2020-05-22,205.16000366210938
2019-10-01,209.3300018310547
2019-12-19,204.00999450683594
2018-09-10,200.6699981689453
2019-05-24,201.8699951171875
2018-08-09,205.08999633789062
2019-04-22,202.8000030517578
2019-03-21,201.1999969482422
2019-01-16,200.66000366210938
2019-08-28,200.35000610351562
2018-11-13,198.42999267578125
2018-10-12,199.58999633789062
2019-06-25,200.64999389648438
2020-03-10,202.32000732421875
2020-05-28,201.99000549316406
2019-10-07,203.11000061035156
2020-03-13,204.1999969482422
2019-10-10,204.8300018310547
2020-03-16,205.32000732421875
2020-06-03,205.0
2018-11-28,203.5
2018-09-25,201.97999572753906
2018-07-23,204.6199951171875
2018-08-24,205.67999267578125
2019-07-10,208.49000549316406
2019-05-07,210.50999450683594
2019-04-05,211.97000122070312
2019-03-04,212.8300018310547
2019-01-31,213.13999938964844
2019-09-12,209.80999755859375
2019-12-31,209.47999572753906
2020-03-19,209.50999450683594
2020-01-03,209.97999572753906
2020-06-09,212.5
2019-02-15,211.13999938964844
2019-01-14,210.32000732421875
2018-07-06,208.60000610351562
2018-08-07,208.9199981689453
2018-10-10,209.0399932861328
