Dates,PSA
2018-06-20,216.49000549316406
2018-06-21,217.92999267578125
2018-06-25,221.1999969482422
2018-06-22,223.4199981689453
2018-06-26,224.5399932861328
2018-06-27,226.8300018310547
2018-06-28,226.7899932861328
2018-06-29,225.9499969482422
2018-07-02,223.67999267578125
2018-07-03,225.3000030517578
2018-07-05,228.8699951171875
2018-07-16,231.2899932861328
2018-09-18,226.86000061035156
2019-01-24,228.9600067138672
2019-09-05,229.1199951171875
2018-11-21,228.9499969482422
2020-01-13,227.67999267578125
2020-04-01,223.50999450683594
2020-06-19,219.42999267578125
2019-10-29,217.77999877929688
2020-01-16,218.99000549316406
2020-06-22,220.22999572753906
2018-10-03,219.9600067138672
2018-07-31,218.80999755859375
2019-03-12,218.82000732421875
2019-02-08,218.5399932861328
2019-01-07,214.49000549316406
2018-12-06,214.10000610351562
2019-08-19,214.8000030517578
2019-07-18,210.3800048828125
2019-05-15,201.0500030517578
2019-09-20,210.74000549316406
2019-11-01,213.47999572753906
2020-04-07,214.85000610351562
2020-06-25,216.0399932861328
2020-06-16,215.16000366210938
2019-11-04,214.22999572753906
2020-01-22,214.1999969482422
2019-11-07,214.5500030517578
2020-04-13,215.66000366210938
2019-07-01,218.77000427246094
2019-05-30,220.9499969482422
2018-08-15,222.02999877929688
2018-10-18,220.74000549316406
2019-03-27,209.97000122070312
2019-01-22,210.7100067138672
2018-12-21,211.5
2019-09-03,210.8699951171875
2018-11-19,211.42999267578125
2019-08-02,212.47999572753906
2020-01-28,210.99000549316406
2020-04-16,211.41000366210938
2019-11-13,212.41000366210938
2020-01-31,211.6199951171875
2018-12-04,214.7100067138672
2018-11-02,208.8300018310547
2019-07-16,210.3800048828125
2018-08-30,208.17999267578125
2018-10-01,207.19000244140625
2019-06-14,209.4499969482422
2019-05-13,205.41000366210938
2019-04-11,205.9499969482422
2019-02-06,205.16000366210938
2019-09-18,203.22000122070312
2020-02-03,203.0500030517578
2020-04-22,203.72999572753906
2019-11-19,201.00999450683594
2020-02-06,202.1199951171875
2019-11-22,200.9600067138672
2019-03-25,199.14999389648438
2019-02-21,199.41000366210938
2018-12-19,199.14999389648438
2018-07-12,199.22000122070312
2018-09-14,195.63999938964844
2018-08-13,194.7899932861328
2018-10-16,197.3699951171875
2019-07-31,199.1199951171875
2019-05-28,199.75
2019-04-26,198.55999755859375
2020-04-28,195.3300018310547
2019-11-25,194.52999877929688
2020-02-12,196.30999755859375
2020-05-01,197.72000122070312
2020-05-04,196.7100067138672
2019-06-12,196.8300018310547
2019-04-09,196.9499969482422
2019-03-08,196.42999267578125
2019-02-04,194.08999633789062
2018-07-27,197.11000061035156
2018-08-28,198.97999572753906
2019-01-03,198.52000427246094
2019-08-15,201.7899932861328
2018-10-31,205.0800018310547
2019-09-16,204.72999572753906
2020-02-18,204.8300018310547
2020-05-07,197.7100067138672
2018-08-17,199.3699951171875
2019-12-04,201.77999877929688
2020-02-21,201.3699951171875
2018-12-17,202.3800048828125
2019-08-30,205.10000610351562
2018-11-15,206.8800048828125
2019-07-29,206.2100067138672
2019-06-27,208.42999267578125
2019-04-24,206.9600067138672
2018-07-10,206.6199951171875
2018-09-12,209.97000122070312
2019-02-19,210.38999938964844
2019-01-18,208.67999267578125
2020-02-24,207.0
2020-05-13,206.27999877929688
2019-12-10,205.50999450683594
2020-02-27,207.9600067138672
2019-12-13,208.72000122070312
2020-05-19,210.6300048828125
2019-03-06,210.9199981689453
2018-11-30,211.0500030517578
2019-08-13,209.99000549316406
2019-07-12,212.5399932861328
2019-06-10,211.32000732421875
2019-05-09,210.7100067138672
2018-07-25,204.22000122070312
2018-09-27,198.52999877929688
2018-10-29,198.86000061035156
2019-10-16,199.16000366210938
2019-12-16,200.64999389648438
2020-03-04,202.25
2020-05-22,201.05999755859375
2019-10-01,202.27000427246094
2019-12-19,196.6300048828125
2018-09-10,195.72999572753906
2019-05-24,195.6999969482422
2018-08-09,201.07000732421875
2019-04-22,200.11000061035156
2019-03-21,193.88999938964844
2019-01-16,195.07000732421875
2019-08-28,196.1300048828125
2018-11-13,195.1300048828125
2018-10-12,195.57000732421875
2019-06-25,196.36000061035156
2020-03-10,198.3000030517578
2020-05-28,200.10000610351562
2019-10-07,199.75999450683594
2020-03-13,201.11000061035156
2019-10-10,201.6199951171875
2020-03-16,202.85000610351562
2020-06-03,202.4199981689453
2018-11-28,199.91000366210938
2018-09-25,198.4199981689453
2018-07-23,201.25999450683594
2018-08-24,202.83999633789062
2019-07-10,204.6699981689453
2019-05-07,207.52999877929688
2019-04-05,209.35000610351562
2019-03-04,209.16000366210938
2019-01-31,207.52000427246094
2019-09-12,207.92999267578125
2019-12-31,207.42999267578125
2020-03-19,207.75
2020-01-03,207.52000427246094
2020-06-09,209.25
2019-02-15,209.49000549316406
2019-01-14,207.38999938964844
2018-07-06,206.1999969482422
2018-08-07,206.6999969482422
2018-10-10,207.17999267578125
2018-12-13,206.97000122070312
2019-08-26,204.30999755859375
2019-07-25,199.52999877929688
2019-05-22,199.80999755859375
2019-03-19,199.58999633789062
2020-01-06,200.77000427246094
2020-03-25,202.67999267578125
2020-06-12,208.64999389648438
2019-10-22,209.25
2020-01-09,209.47000122070312
2020-06-15,211.5800018310547
2019-10-25,212.3000030517578
2020-03-31,213.4199981689453
2020-06-18,212.97000122070312
2019-04-03,214.72999572753906
2018-08-22,216.6300048828125
2018-10-25,217.92999267578125
2019-01-29,218.2899932861328
2018-12-28,215.99000549316406
2018-11-26,216.5500030517578
2019-08-09,215.2899932861328
2019-07-08,216.57000732421875
2019-06-06,218.05999755859375
2019-09-10,222.02000427246094
2020-01-15,222.13999938964844
2020-04-03,219.6699981689453
2019-10-31,217.77000427246094
2020-04-06,218.64999389648438
2020-06-24,217.52999877929688
2018-11-09,216.10000610351562
2019-07-23,216.49000549316406
2019-06-21,216.99000549316406
2019-05-20,216.9499969482422
2019-04-18,217.1999969482422
2018-09-06,216.66000366210938
2018-10-08,219.00999450683594
2019-02-13,218.47000122070312
2018-12-11,218.60000610351562
2019-09-25,217.8699951171875
2020-01-21,219.33999633789062
2020-04-09,216.19000244140625
2019-11-06,215.75
2020-01-24,216.0
2020-01-27,212.64999389648438
2020-04-15,213.97000122070312
2018-12-26,215.67999267578125
2019-08-07,215.85000610351562
2019-06-04,216.14999389648438
2018-09-21,216.74000549316406
2018-07-19,215.27999877929688
2018-08-20,220.4199981689453
2018-10-23,222.22999572753906
2019-05-03,225.50999450683594
2019-04-01,223.88999938964844
2019-02-28,221.19000244140625
2019-11-12,221.9600067138672
2020-01-30,221.5500030517578
2019-11-15,223.3300018310547
2020-04-21,224.75999450683594
2019-04-16,226.77999877929688
2019-03-15,226.99000549316406
2019-02-11,227.58999633789062
2019-01-10,227.72000122070312
2019-08-22,229.8000030517578
2018-11-07,229.77999877929688
2018-08-03,230.4199981689453
2018-09-04,231.61000061035156
2019-06-19,235.2899932861328
2019-09-23,233.27000427246094
2019-11-18,230.41000366210938
2020-02-05,231.6699981689453
2020-04-24,233.30999755859375
2019-03-29,237.5
2019-11-21,235.8300018310547
2020-04-27,237.72000122070312
2020-02-11,242.6699981689453
2020-04-30,244.94000244140625
2019-05-01,242.05999755859375
2019-02-26,238.91000366210938
2019-01-25,241.1999969482422
2018-12-24,240.47999572753906
2019-09-06,241.10000610351562
2018-07-17,242.8300018310547
2018-09-19,240.02000427246094
2019-08-05,237.97000122070312
2019-10-08,242.2100067138672
2019-12-11,238.86000061035156
2019-11-27,239.27000427246094
2020-02-14,238.11000061035156
2020-05-06,232.3800048828125
2019-01-08,234.9600067138672
2018-12-07,236.8699951171875
2019-08-20,233.77000427246094
2018-11-05,238.5
2019-07-19,243.0399932861328
2018-10-04,242.35000610351562
2019-06-17,244.85000610351562
2019-05-16,246.33999633789062
2018-08-01,246.66000366210938
2019-03-13,246.92999267578125
2019-12-03,247.38999938964844
