Dates,ROL
2018-06-20,35.14666748046875
2018-06-21,34.96666717529297
2018-06-25,35.060001373291016
2018-06-22,34.90666580200195
2018-06-26,34.82666778564453
2018-06-27,34.8466682434082
2018-06-28,34.573333740234375
2018-06-29,35.2066650390625
2018-07-02,35.026668548583984
2018-07-03,35.47999954223633
2018-07-05,35.393333435058594
2018-07-16,35.43333435058594
2018-09-18,36.073333740234375
2019-01-24,36.7066650390625
2019-09-05,36.49333190917969
2018-11-21,36.93333435058594
2020-01-13,37.22666549682617
2020-04-01,36.78666687011719
2020-06-19,36.63999938964844
2019-10-29,36.599998474121094
2020-01-16,36.900001525878906
2020-06-22,36.926666259765625
2018-10-03,37.20000076293945
2018-07-31,37.36666488647461
2019-03-12,36.70000076293945
2019-02-08,37.21333312988281
2019-01-07,37.47999954223633
2018-12-06,37.16666793823242
2019-08-19,36.46666717529297
2019-07-18,36.63999938964844
2019-05-15,37.279998779296875
2019-09-20,37.7066650390625
2019-11-01,37.62666702270508
2020-04-07,38.0
2020-06-25,37.573333740234375
2020-06-16,37.473331451416016
2019-11-04,37.2400016784668
2020-01-22,37.5533332824707
2019-11-07,37.58000183105469
2020-04-13,37.63999938964844
2019-07-01,38.0
2019-05-30,38.119998931884766
2018-08-15,38.246665954589844
2018-10-18,38.32666778564453
2019-03-27,38.393333435058594
2019-01-22,38.526668548583984
2018-12-21,38.81999969482422
2019-09-03,39.17333221435547
2018-11-19,39.86000061035156
2019-08-02,39.733333587646484
2020-01-28,39.86666488647461
2020-04-16,39.939998626708984
2019-11-13,40.01333236694336
2020-01-31,40.233333587646484
2018-12-04,40.266666412353516
2018-11-02,40.71333312988281
2019-07-16,41.20000076293945
2018-08-30,41.526668548583984
2018-10-01,41.81999969482422
2019-06-14,42.53333282470703
2019-05-13,42.48666763305664
2019-04-11,42.29999923706055
2019-02-06,42.20000076293945
2019-09-18,42.66666793823242
2020-02-03,41.85333251953125
2020-04-22,41.97999954223633
2019-11-19,41.67333221435547
2020-02-06,41.29999923706055
2019-11-22,41.3466682434082
2019-03-25,40.31999969482422
2019-02-21,39.380001068115234
2018-12-19,40.599998474121094
2018-07-12,39.53333282470703
2018-09-14,39.70000076293945
2018-08-13,38.913333892822266
2018-10-16,39.5
2019-07-31,39.426666259765625
2019-05-28,39.28666687011719
2019-04-26,39.30666732788086
2020-04-28,37.61333465576172
2019-11-25,37.52000045776367
2020-02-12,37.393333435058594
2020-05-01,37.7933349609375
2020-05-04,38.4466667175293
2019-06-12,38.19333267211914
2019-04-09,37.8466682434082
2019-03-08,38.060001373291016
2019-02-04,37.43333435058594
2018-07-27,38.34000015258789
2018-08-28,38.29999923706055
2019-01-03,37.35333251953125
2019-08-15,38.46666717529297
2018-10-31,38.35333251953125
2019-09-16,39.16666793823242
2020-02-18,39.413333892822266
2020-05-07,39.38666534423828
2018-08-17,39.53333282470703
2019-12-04,39.70000076293945
2020-02-21,39.83333206176758
2018-12-17,40.87333297729492
2019-08-30,41.1533317565918
2018-11-15,40.87333297729492
2019-07-29,40.380001068115234
2019-06-27,40.15999984741211
2019-04-24,39.779998779296875
2018-07-10,40.413333892822266
2018-09-12,41.22666549682617
2019-02-19,40.61333465576172
2019-01-18,40.606666564941406
2020-02-24,39.97999954223633
2020-05-13,40.33333206176758
2019-12-10,40.686668395996094
2020-02-27,41.246665954589844
2019-12-13,42.220001220703125
2020-05-19,42.573333740234375
2019-03-06,42.7400016784668
2018-11-30,42.560001373291016
2019-08-13,40.13333511352539
2019-07-12,39.22666549682617
2019-06-10,38.16666793823242
2019-05-09,38.970001220703125
2018-07-25,38.439998626708984
2018-09-27,38.20000076293945
2018-10-29,37.0
2019-10-16,36.56999969482422
2019-12-16,36.11000061035156
2020-03-04,35.72999954223633
2020-05-22,35.18000030517578
2019-10-01,35.150001525878906
2019-12-19,34.5
2018-09-10,33.939998626708984
2019-05-24,34.79999923706055
2018-08-09,35.88999938964844
2019-04-22,35.91999816894531
2019-03-21,35.75
2019-01-16,35.65999984741211
2019-08-28,35.779998779296875
2018-11-13,36.40999984741211
2018-10-12,36.970001220703125
2019-06-25,37.529998779296875
2020-03-10,38.0099983215332
2020-05-28,38.5
2019-10-07,38.0
2020-03-13,38.540000915527344
2019-10-10,38.54999923706055
2020-03-16,38.02000045776367
2020-06-03,38.0
2018-11-28,38.7599983215332
2018-09-25,36.290000915527344
2018-07-23,37.060001373291016
2018-08-24,38.02000045776367
2019-07-10,37.83000183105469
2019-05-07,37.540000915527344
2019-04-05,36.95000076293945
2019-03-04,37.040000915527344
2019-01-31,37.400001525878906
2019-09-12,37.369998931884766
2019-12-31,37.0099983215332
2020-03-19,37.599998474121094
2020-01-03,37.130001068115234
