Dates,ROL
2018-06-20,380500.0
2018-06-21,320400.0
2018-06-25,796000.0
2018-06-22,564000.0
2018-06-26,480400.0
2018-06-27,551700.0
2018-06-28,1000200.0
2018-06-29,808000.0
2018-07-02,706900.0
2018-07-03,331500.0
2018-07-05,1177600.0
2018-07-16,513000.0
2018-09-18,843400.0
2019-01-24,744400.0
2019-09-05,703000.0
2018-11-21,627100.0
2020-01-13,640600.0
2020-04-01,613200.0
2020-06-19,548200.0
2019-10-29,548500.0
2020-01-16,620800.0
2020-06-22,508900.0
2018-10-03,681900.0
2018-07-31,776100.0
2019-03-12,907000.0
2019-02-08,895300.0
2019-01-07,612900.0
2018-12-06,675600.0
2019-08-19,670900.0
2019-07-18,553900.0
2019-05-15,640200.0
2019-09-20,577300.0
2019-11-01,737400.0
2020-04-07,465700.0
2020-06-25,381400.0
2020-06-16,401100.0
2019-11-04,265000.0
2020-01-22,343900.0
2019-11-07,304000.0
2020-04-13,378400.0
2019-07-01,384700.0
2019-05-30,565000.0
2018-08-15,456700.0
2018-10-18,668700.0
2019-03-27,498000.0
2019-01-22,577000.0
2018-12-21,476500.0
2019-09-03,767500.0
2018-11-19,643200.0
2019-08-02,475600.0
2020-01-28,591600.0
2020-04-16,655000.0
2019-11-13,489900.0
2020-01-31,685800.0
2018-12-04,485800.0
2018-11-02,605700.0
2019-07-16,682800.0
2018-08-30,1171000.0
2018-10-01,1054600.0
2019-06-14,784800.0
2019-05-13,1330800.0
2019-04-11,995700.0
2019-02-06,1032900.0
2019-09-18,1985700.0
2020-02-03,1270900.0
2020-04-22,3511200.0
2019-11-19,1545000.0
2020-02-06,1609500.0
2019-11-22,3275700.0
2019-03-25,2910400.0
2019-02-21,38436900.0
2018-12-19,2237500.0
2018-07-12,2164500.0
2018-09-14,1740300.0
2018-08-13,1318800.0
2018-10-16,1461300.0
2019-07-31,1257700.0
2019-05-28,1213800.0
2019-04-26,1598200.0
2020-04-28,1445700.0
2019-11-25,1658500.0
2020-02-12,995500.0
2020-05-01,1410300.0
2020-05-04,1096200.0
2019-06-12,1154500.0
2019-04-09,1177500.0
2019-03-08,847200.0
2019-02-04,1702500.0
2018-07-27,2220600.0
2018-08-28,1690900.0
2019-01-03,2218800.0
2019-08-15,1649800.0
2018-10-31,2149200.0
2019-09-16,1749700.0
2020-02-18,2433100.0
2020-05-07,1857100.0
2018-08-17,1366200.0
2019-12-04,1370200.0
2020-02-21,1343700.0
2018-12-17,1303000.0
2019-08-30,1265200.0
2018-11-15,976900.0
2019-07-29,992200.0
2019-06-27,911400.0
2019-04-24,1129900.0
2018-07-10,4621200.0
2018-09-12,2728300.0
2019-02-19,1089700.0
2019-01-18,1107000.0
2020-02-24,469600.0
2020-05-13,1000500.0
2019-12-10,992200.0
2020-02-27,1257300.0
2019-12-13,892300.0
2020-05-19,1519600.0
2019-03-06,1743600.0
2018-11-30,2009100.0
2019-08-13,2974800.0
2019-07-12,1374300.0
2019-06-10,1144500.0
2019-05-09,996700.0
2018-07-25,1141100.0
2018-09-27,1652200.0
2018-10-29,1659400.0
2019-10-16,1082600.0
2019-12-16,1301900.0
2020-03-04,1102800.0
2020-05-22,1901700.0
2019-10-01,2504900.0
2019-12-19,597600.0
2018-09-10,1125700.0
2019-05-24,985900.0
2018-08-09,1316800.0
2019-04-22,1088500.0
2019-03-21,1149000.0
2019-01-16,1140000.0
2019-08-28,652500.0
2018-11-13,843200.0
2018-10-12,1194200.0
2019-06-25,1045800.0
2020-03-10,819500.0
2020-05-28,758200.0
2019-10-07,1535400.0
2020-03-13,662300.0
2019-10-10,1453500.0
2020-03-16,947600.0
2020-06-03,1059100.0
2018-11-28,2161400.0
2018-09-25,5985100.0
2018-07-23,2485800.0
2018-08-24,2026700.0
2019-07-10,1073200.0
2019-05-07,1109900.0
2019-04-05,1813700.0
2019-03-04,1460300.0
2019-01-31,2246700.0
2019-09-12,1680100.0
2019-12-31,1252700.0
2020-03-19,811000.0
2020-01-03,916400.0
2020-06-09,1090500.0
2019-02-15,1655900.0
2019-01-14,1424400.0
2018-07-06,1884900.0
2018-08-07,1658300.0
2018-10-10,4141300.0
2018-12-13,1425000.0
2019-08-26,1060100.0
2019-07-25,789500.0
2019-05-22,1440700.0
2019-03-19,1271900.0
2020-01-06,858300.0
2020-03-25,549300.0
2020-06-12,1091600.0
2019-10-22,1077500.0
2020-01-09,1544000.0
2020-06-15,913700.0
2019-10-25,863400.0
2020-03-31,1191100.0
2020-06-18,804300.0
2019-04-03,1985000.0
2018-08-22,1000800.0
2018-10-25,922100.0
2019-01-29,1097600.0
2018-12-28,2054500.0
2018-11-26,768300.0
2019-08-09,810800.0
2019-07-08,994000.0
2019-06-06,496000.0
2019-09-10,665200.0
2020-01-15,937800.0
2020-04-03,679800.0
2019-10-31,849800.0
2020-04-06,577000.0
2020-06-24,1244800.0
2018-11-09,671100.0
2019-07-23,754200.0
2019-06-21,491100.0
2019-05-20,605600.0
2019-04-18,710800.0
2018-09-06,595900.0
